,year,no_arctic_tas,arctic_tas,world_tas
0,1850,,-0.6775214827069884,
1,1851,,0.1081266951003878,
2,1852,,-0.3039454431279271,
3,1853,,-0.1000643255263731,
4,1854,,-0.1713391935992233,
5,1855,,-0.792784751609201,
6,1856,,-0.7449063287036275,
7,1857,,-0.5700224397547279,
8,1858,,-0.0885405147395005,
9,1859,,-0.4823846738443484,
10,1860,0.005717359310416318,-0.601228531573596,0.008002257059938163
11,1861,0.011318907523575592,-0.307040188118568,0.01361801596699691
12,1862,0.007536709082550758,-1.0937447410948655,0.00794643699931699
13,1863,0.0023996877840394767,-0.6036152307158226,0.0025709734228576003
14,1864,-0.0012626564051551534,-0.4864111392429671,-0.001998067922723004
15,1865,-0.006621080388619312,-0.9653773104224576,-0.007369757960271528
16,1866,-0.009974816555165321,-1.0720673445799198,-0.010266273458409128
17,1867,-0.01385846494343374,-1.173793660254256,-0.013751244648541768
18,1868,0.008176359157194177,-0.6562436628407685,0.007539543260877371
19,1869,0.027994071403329178,-0.4283801976700889,0.026649397858082607
20,1870,0.02631921005359312,-0.5571535283281243,0.024957960671033716
21,1871,0.02963618199419309,-0.901493227940084,0.028346117200647503
22,1872,0.04226745465364199,-0.5107171750466039,0.039046069411952315
23,1873,0.053241792622534326,-0.6086845176949541,0.049578371730867904
24,1874,0.05334035387616946,-0.2684023041461109,0.050670628350109284
25,1875,0.048948762112359545,-0.6359936846425353,0.04532138315115368
26,1876,0.0408409257755509,-0.6352274962281665,0.036942836917793
27,1877,0.03580336709522908,-0.499687724989867,0.032250604502077715
28,1878,0.026588383437371733,-0.0351444329045495,0.023956003258341706
29,1879,0.02123850695774903,-0.5366242060880247,0.01816558670266059
30,1880,0.024006479098479878,-0.4917029423608401,0.02106167133128872
31,1881,0.013818567862347236,-0.9936728433480686,0.01134986516251045
32,1882,0.011639574644180788,-1.0794688292065262,0.009318574679748035
33,1883,0.003076674603599261,-0.1221151104946733,-8.204990710155292e-05
34,1884,-0.004343237822339363,-1.0499069909938197,-0.007405507027063082
35,1885,-0.0085985607341767,-1.2799497119444785,-0.011741164074117178
36,1886,-0.01228803226759124,-1.0369307563871593,-0.015341159105253976
37,1887,-0.006086948132921305,-0.920484973293784,-0.00903129288381154
38,1888,-0.01786239540687352,-0.995852565719236,-0.019858342491187973
39,1889,-0.04279615639271521,-0.3204415271168514,-0.04490405872724969
40,1890,-0.043813598240597454,-0.5317856452545753,-0.046685160171811124
41,1891,-0.039379686632808324,-0.8664904869640094,-0.0426983742346007
42,1892,-0.04375987492597464,-1.101486061232717,-0.04589708137973668
43,1893,-0.051352281941628955,-0.7054791636803864,-0.053331280566680704
44,1894,-0.06135176054728375,-0.4082217245295702,-0.06337919649551885
45,1895,-0.0681488480236671,-0.6710781469541967,-0.06857066975710502
46,1896,-0.06677126046945855,-0.4596330989927067,-0.06542145227078724
47,1897,-0.06262734135653504,-0.2714480762314989,-0.0595396458361299
48,1898,-0.06425736904462495,-0.5964222623985157,-0.060330374454407185
49,1899,-0.07257319686865765,-0.8796198944337926,-0.06682201981611213
50,1900,-0.08781387683472744,-0.593117413038851,-0.08190382163365631
51,1901,-0.09048740944673661,-0.4783618718409413,-0.0845258064464585
52,1902,-0.10070365783730342,-1.1081422453331398,-0.09277596804408213
53,1903,-0.09976379347645949,-0.3476206118674122,-0.09167115599896011
54,1904,-0.09886814722283291,-0.4043144648593557,-0.09085553728230542
55,1905,-0.08798449691769049,-0.3672151507167369,-0.08064981767903709
56,1906,-0.0775900007784113,-0.1118402819863921,-0.07058557218170955
57,1907,-0.08588776136369125,-0.5456670558859572,-0.07882917936668787
58,1908,-0.09914758046573671,-0.2745834152449092,-0.09384084243553734
59,1909,-0.09636092342533203,-0.5478615694538712,-0.09204292321167824
60,1910,-0.09766250410203996,-0.546553440988767,-0.09281503201539952
61,1911,-0.10557434231626986,-0.1310979914539462,-0.09949139949280027
62,1912,-0.1048198213551638,-0.9651198517710166,-0.09783230493769658
63,1913,-0.10169420599210097,-0.7109597406032127,-0.09302101102075647
64,1914,-0.09179483875029554,-0.5033069462173061,-0.08246970519019999
65,1915,-0.07891816842412404,-0.5886601462986754,-0.06886657820089749
66,1916,-0.07367838676546029,-0.5770874652336865,-0.06348588184951637
67,1917,-0.06528402249976042,-1.3225419394483695,-0.05456282177278062
68,1918,-0.05256688203682117,-0.9917426503023772,-0.04095538470965475
69,1919,-0.03923770709202223,-0.6702842253729452,-0.026471323888280208
70,1920,-0.032989715731247794,-0.1803151917456021,-0.019570398767385904
71,1921,-0.016732523883922042,-0.0508227002148556,-0.0019151534186392636
72,1922,0.004188911084857233,-0.2695198720351425,0.01937648808373419
73,1923,0.01800289139568348,0.1418458765491246,0.03554632490996944
74,1924,0.022777132063150473,0.1921784422795054,0.04146796738211357
75,1925,0.02359291593331036,-0.2026904765476148,0.044907478691842376
76,1926,0.02113786108751224,0.3059077016018763,0.044567721045738626
77,1927,0.032592326790553496,0.1296981098254278,0.057369799657277454
