,year,Experiment,Model,adjusted_world_tas_anom,adjusted_no_arctic_tas_anom
0,1850,historical,ACCESS-CM2,,
392,1851,historical,ACCESS-CM2,,
783,1852,historical,ACCESS-CM2,,
1174,1853,historical,ACCESS-CM2,,
1565,1854,historical,ACCESS-CM2,,
1956,1855,historical,ACCESS-CM2,,
2347,1856,historical,ACCESS-CM2,,
2738,1857,historical,ACCESS-CM2,,
3129,1858,historical,ACCESS-CM2,,
3520,1859,historical,ACCESS-CM2,,
3911,1860,historical,ACCESS-CM2,0.02841578123750026,0.018281454782327462
4302,1861,historical,ACCESS-CM2,0.023269160907125913,0.01292346870042332
4693,1862,historical,ACCESS-CM2,0.02054560675211456,0.008897153372855033
5084,1863,historical,ACCESS-CM2,0.015887485258875556,0.0029346874389726847
5475,1864,historical,ACCESS-CM2,0.0008243148383218939,-0.009707698481233776
5866,1865,historical,ACCESS-CM2,-0.006977879481241984,-0.018736799045294884
6257,1866,historical,ACCESS-CM2,-0.003933930464467605,-0.016219301667838894
6648,1867,historical,ACCESS-CM2,-0.005290183377573088,-0.017516938549523176
7039,1868,historical,ACCESS-CM2,-0.0041849231016991345,-0.017404461485522688
7430,1869,historical,ACCESS-CM2,-0.0014076059706305901,-0.015135713705224785
7821,1870,historical,ACCESS-CM2,-0.007654723874937982,-0.020793248317388498
8212,1871,historical,ACCESS-CM2,-0.014880785286955368,-0.026374933592913256
8603,1872,historical,ACCESS-CM2,-0.012254305195744103,-0.022849023509883142
8994,1873,historical,ACCESS-CM2,-0.006103363495379079,-0.014785677428101664
9385,1874,historical,ACCESS-CM2,-0.00024358690567245701,-0.010134646649623297
9776,1875,historical,ACCESS-CM2,-0.02177997759649104,-0.032353991430977065
10167,1876,historical,ACCESS-CM2,-0.03585220385463446,-0.04315216411968366
10558,1877,historical,ACCESS-CM2,-0.050922127825105724,-0.05710393340225636
10949,1878,historical,ACCESS-CM2,-0.06283510398209693,-0.06511690886312614
11340,1879,historical,ACCESS-CM2,-0.06528211485947834,-0.0657264684771485
11731,1880,historical,ACCESS-CM2,-0.06879782333623642,-0.06668219864641382
12122,1881,historical,ACCESS-CM2,-0.07290167943425638,-0.06859795669562208
12513,1882,historical,ACCESS-CM2,-0.0819574336266826,-0.07489528205788186
12904,1883,historical,ACCESS-CM2,-0.10750674322042619,-0.09879563464816103
13295,1884,historical,ACCESS-CM2,-0.10664955040489682,-0.09914555518741251
13686,1885,historical,ACCESS-CM2,-0.11286086664366728,-0.10329059902450767
14077,1886,historical,ACCESS-CM2,-0.11536055662288272,-0.10458830926470426
14468,1887,historical,ACCESS-CM2,-0.11241423431554626,-0.1003312490363393
14859,1888,historical,ACCESS-CM2,-0.11217164410865325,-0.09875022596725729
15250,1889,historical,ACCESS-CM2,-0.1054292388547966,-0.09278131479049037
15641,1890,historical,ACCESS-CM2,-0.0999138296776414,-0.08818712077105703
16032,1891,historical,ACCESS-CM2,-0.09132124845718861,-0.08069541106335644
16423,1892,historical,ACCESS-CM2,-0.08868125943298548,-0.07909846668225765
16814,1893,historical,ACCESS-CM2,-0.08716895228790571,-0.07963156906077853
17205,1894,historical,ACCESS-CM2,-0.09175651771534954,-0.08487771909267351
17596,1895,historical,ACCESS-CM2,-0.07494259819995266,-0.06837382990017016
17987,1896,historical,ACCESS-CM2,-0.05982737859940853,-0.0557960985542244
18378,1897,historical,ACCESS-CM2,-0.04021113219171989,-0.03821842887316851
18769,1898,historical,ACCESS-CM2,-0.03777491119230479,-0.037394124459376066
19160,1899,historical,ACCESS-CM2,-0.033499329744091755,-0.034107690445189506
19551,1900,historical,ACCESS-CM2,-0.036203048941174286,-0.03600209210934695
19942,1901,historical,ACCESS-CM2,-0.03077748525917231,-0.030012068266729273
20333,1902,historical,ACCESS-CM2,-0.025239103513114727,-0.023036406776807968
20724,1903,historical,ACCESS-CM2,-0.02465384806624468,-0.017700098720761524
21115,1904,historical,ACCESS-CM2,-0.03650856748651802,-0.024914956321331356
21506,1905,historical,ACCESS-CM2,-0.060547576378354714,-0.044569866286570295
21897,1906,historical,ACCESS-CM2,-0.07467946873612787,-0.054392533136669585
22288,1907,historical,ACCESS-CM2,-0.07924220349135647,-0.05706355728322915
22679,1908,historical,ACCESS-CM2,-0.10336926158653718,-0.07765058249644465
23070,1909,historical,ACCESS-CM2,-0.11749909956649986,-0.08816329894784154
23461,1910,historical,ACCESS-CM2,-0.12933018334063262,-0.09682707102468795
23852,1911,historical,ACCESS-CM2,-0.14469692025653766,-0.10863985693084319
24243,1912,historical,ACCESS-CM2,-0.1573682952643201,-0.11770644045920237
24634,1913,historical,ACCESS-CM2,-0.17712448567856875,-0.13386566752702622
25025,1914,historical,ACCESS-CM2,-0.17492712810263739,-0.13203959543297217
25416,1915,historical,ACCESS-CM2,-0.17047605508029656,-0.12821473419879315
25807,1916,historical,ACCESS-CM2,-0.16529068369780445,-0.12447420810551241
26198,1917,historical,ACCESS-CM2,-0.17038185781927476,-0.1275869247260154
26589,1918,historical,ACCESS-CM2,-0.15763814529018222,-0.11475309578252645
26980,1919,historical,ACCESS-CM2,-0.15065583955765427,-0.1055183162245069
27371,1920,historical,ACCESS-CM2,-0.13372416231382855,-0.08942505586630654
27762,1921,historical,ACCESS-CM2,-0.1339414228219047,-0.09067252228862041
28153,1922,historical,ACCESS-CM2,-0.13711651974425937,-0.09721091862705028
28544,1923,historical,ACCESS-CM2,-0.11678501800476307,-0.08282167548306504
28935,1924,historical,ACCESS-CM2,-0.09064955673468046,-0.06245144703063143
29326,1925,historical,ACCESS-CM2,-0.04446130276477297,-0.02288492278635569
29717,1926,historical,ACCESS-CM2,-0.016305404660829775,-0.0025762681640232985
30108,1927,historical,ACCESS-CM2,0.0011980111725444081,0.009719373403515164
30499,1928,historical,ACCESS-CM2,0.023746103992800274,0.02585733081680917
30890,1929,historical,ACCESS-CM2,0.03637746645045276,0.03470760341816207
31281,1930,historical,ACCESS-CM2,0.053909112041177015,0.0502307176057967
31672,1931,historical,ACCESS-CM2,0.07372732200216878,0.0654336338166099
32063,1932,historical,ACCESS-CM2,0.10231314902488936,0.08964425068327775
32454,1933,historical,ACCESS-CM2,0.1308573553938436,0.11367972340695724
32845,1934,historical,ACCESS-CM2,0.14543501825240374,0.1275718353999124
33236,1935,historical,ACCESS-CM2,0.1627265546556873,0.14339849045980121
33627,1936,historical,ACCESS-CM2,0.18050630314831073,0.15943153612094718
34018,1937,historical,ACCESS-CM2,0.19796835723982217,0.173224593487032
34409,1938,historical,ACCESS-CM2,0.19888589408804005,0.17192994643497275
34800,1939,historical,ACCESS-CM2,0.20285941484764655,0.17483370031319553
35191,1940,historical,ACCESS-CM2,0.2070276855425718,0.17753621614537432
35582,1941,historical,ACCESS-CM2,0.20637251805695428,0.17556559346986453
35973,1942,historical,ACCESS-CM2,0.21681918451397497,0.18836801653928684
36364,1943,historical,ACCESS-CM2,0.22108173808572987,0.1922831858544152
36755,1944,historical,ACCESS-CM2,0.22148090661100026,0.1922482774400322
37146,1945,historical,ACCESS-CM2,0.20555982482843055,0.17762485089733662
37537,1946,historical,ACCESS-CM2,0.19891411873880038,0.17350118829517872
37928,1947,historical,ACCESS-CM2,0.1845209566471515,0.16205843506035106
38319,1948,historical,ACCESS-CM2,0.18807488703309222,0.16846280374848777
38710,1949,historical,ACCESS-CM2,0.18644639976975683,0.167262803288049
39101,1950,historical,ACCESS-CM2,0.1866112981621506,0.16789084343523297
39492,1951,historical,ACCESS-CM2,0.19159572193281954,0.17293691330665947
39882,1952,historical,ACCESS-CM2,0.18572062365369768,0.1677803411220827
40272,1953,historical,ACCESS-CM2,0.1808225420299279,0.1646020738997336
40662,1954,historical,ACCESS-CM2,0.1674844063072889,0.15160625811473963
