year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,288.2649368823411,287.00749363807813,258.5692182373955,ACCESS-CM2,historical,r1i1p1f1
1851,288.2839112824203,287.01698444052835,258.3642284560095,ACCESS-CM2,historical,r1i1p1f1
1852,288.4580835972809,287.1745420900534,258.14602964045696,ACCESS-CM2,historical,r1i1p1f1
1853,288.31974234544754,287.0709477389318,258.8282695099026,ACCESS-CM2,historical,r1i1p1f1
1854,288.4126006360619,287.14115861556246,258.3862875707357,ACCESS-CM2,historical,r1i1p1f1
1855,288.17818874651425,286.91223347872034,258.2814505668672,ACCESS-CM2,historical,r1i1p1f1
1856,288.19912747317716,286.94124767070133,258.49309909065414,ACCESS-CM2,historical,r1i1p1f1
1857,288.2795672683189,287.00147688874665,258.09624687771003,ACCESS-CM2,historical,r1i1p1f1
1858,288.19898359662295,286.9179173993631,257.9453864398951,ACCESS-CM2,historical,r1i1p1f1
1859,288.28480595118384,287.029288515715,258.6345671132748,ACCESS-CM2,historical,r1i1p1f1
1860,288.24281545154537,286.99652523485497,258.8104861646065,ACCESS-CM2,historical,r1i1p1f1
1861,288.13641630660277,286.87603408192575,258.3712908427938,ACCESS-CM2,historical,r1i1p1f1
1862,288.1227004721741,286.8631533861742,258.3772976028439,ACCESS-CM2,historical,r1i1p1f1
1863,288.0786884989049,286.7752658148791,257.29712163545844,ACCESS-CM2,historical,r1i1p1f1
1864,288.1932825712577,286.8841493070829,257.27685492408494,ACCESS-CM2,historical,r1i1p1f1
1865,288.1039731535707,286.8186757463815,257.7504519484439,ACCESS-CM2,historical,r1i1p1f1
1866,288.1294468883329,286.84208766448074,257.72723392093854,ACCESS-CM2,historical,r1i1p1f1
1867,288.18878219096064,286.94323134292233,258.77391379822956,ACCESS-CM2,historical,r1i1p1f1
1868,288.05118102698384,286.7976250175398,258.4472631309111,ACCESS-CM2,historical,r1i1p1f1
1869,288.09765726084936,286.85467057527813,258.74334400452585,ACCESS-CM2,historical,r1i1p1f1
1870,288.17077693505826,286.91939688265467,258.6182463348682,ACCESS-CM2,historical,r1i1p1f1
1871,288.2131537938429,286.97036427644497,258.8634968515326,ACCESS-CM2,historical,r1i1p1f1
1872,288.35330066775697,287.0948071643,258.63277915263785,ACCESS-CM2,historical,r1i1p1f1
1873,288.0975681229729,286.8131054355834,257.7637596201398,ACCESS-CM2,historical,r1i1p1f1
1874,288.2539254136691,287.00760533970083,258.8208910186937,ACCESS-CM2,historical,r1i1p1f1
1875,288.22243063455255,286.9643379695976,258.51137530205125,ACCESS-CM2,historical,r1i1p1f1
1876,288.17632311749134,286.9180321479877,258.46058463438897,ACCESS-CM2,historical,r1i1p1f1
1877,288.28154391294896,287.0203960702585,258.4983376512868,ACCESS-CM2,historical,r1i1p1f1
1878,288.23885401960007,286.9654578457771,258.1663917642007,ACCESS-CM2,historical,r1i1p1f1
1879,288.1853818107159,286.9223541038506,258.3577807679098,ACCESS-CM2,historical,r1i1p1f1
1880,288.1447242689146,286.8728338560421,258.10782199106546,ACCESS-CM2,historical,r1i1p1f1
1881,288.1983797948365,286.92099259049394,258.0316655563371,ACCESS-CM2,historical,r1i1p1f1
1882,288.26440375963654,286.96844151154914,257.6590221893234,ACCESS-CM2,historical,r1i1p1f1
1883,288.1604245852288,286.87556995078234,257.81735987971217,ACCESS-CM2,historical,r1i1p1f1
1884,287.80280519761567,286.51550230738127,257.4019226022057,ACCESS-CM2,historical,r1i1p1f1
1885,287.9142086869264,286.57779582998035,256.3535475004877,ACCESS-CM2,historical,r1i1p1f1
1886,287.88426188037124,286.5841297579215,257.1804047594415,ACCESS-CM2,historical,r1i1p1f1
1887,288.04796410456754,286.739312172768,257.14290357941616,ACCESS-CM2,historical,r1i1p1f1
1888,288.04046877423724,286.7557385551733,257.70034225635794,ACCESS-CM2,historical,r1i1p1f1
1889,288.0808614907636,286.794490789334,257.7019934209352,ACCESS-CM2,historical,r1i1p1f1
1890,288.13710986796195,286.8491495390091,257.7207012316698,ACCESS-CM2,historical,r1i1p1f1
1891,288.10248612597866,286.8153533156485,257.7056201293346,ACCESS-CM2,historical,r1i1p1f1
1892,287.933281670779,286.65746942923585,257.8037616773311,ACCESS-CM2,historical,r1i1p1f1
1893,288.0914187043246,286.82777834731434,258.24934934541955,ACCESS-CM2,historical,r1i1p1f1
1894,288.18108141907487,286.9012837592423,257.9574419806809,ACCESS-CM2,historical,r1i1p1f1
1895,288.1996249896819,286.9215497780082,258.01666280342965,ACCESS-CM2,historical,r1i1p1f1
1896,288.25113566096485,286.96846552349365,257.95965993002477,ACCESS-CM2,historical,r1i1p1f1
1897,288.30932842872824,287.0245485837048,257.968029946602,ACCESS-CM2,historical,r1i1p1f1
1898,288.34375021625846,287.08087028898956,258.5196391292288,ACCESS-CM2,historical,r1i1p1f1
1899,288.2661190616279,287.016763565235,258.76140027795395,ACCESS-CM2,historical,r1i1p1f1
1900,288.27638175744715,287.0199165001159,258.6037592044265,ACCESS-CM2,historical,r1i1p1f1
1901,288.22644410788985,286.9661823368627,258.46416327163075,ACCESS-CM2,historical,r1i1p1f1
1902,288.2550351477942,286.99432827686945,258.4822428539552,ACCESS-CM2,historical,r1i1p1f1
1903,288.0682300175516,286.7970427613827,258.04793345429505,ACCESS-CM2,historical,r1i1p1f1
1904,288.09284054160014,286.80331288212255,257.6394179036883,ACCESS-CM2,historical,r1i1p1f1
1905,288.1352466856014,286.8365290799277,257.4647947242212,ACCESS-CM2,historical,r1i1p1f1
1906,288.19316758210755,286.91990888114685,258.12395187915274,ACCESS-CM2,historical,r1i1p1f1
1907,288.0624502303172,286.78101394048457,257.8001129853432,ACCESS-CM2,historical,r1i1p1f1
1908,288.0982237681462,286.82892539021407,258.122534861679,ACCESS-CM2,historical,r1i1p1f1
1909,288.0475697355961,286.7482101481463,257.36195676374257,ACCESS-CM2,historical,r1i1p1f1
