year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,288.4536397397612,287.1533438535621,257.95552020839824,CAMS-CSM1-0,historical,r1i1p1f2
1851,288.57773474757266,287.2943096640143,258.4753157340569,CAMS-CSM1-0,historical,r1i1p1f2
1852,288.5838031294402,287.2857649442686,258.1386374192323,CAMS-CSM1-0,historical,r1i1p1f2
1853,288.56092634178407,287.2778614310789,258.4669550937728,CAMS-CSM1-0,historical,r1i1p1f2
1854,288.4515585878742,287.1640286280599,258.2528607134927,CAMS-CSM1-0,historical,r1i1p1f2
1855,288.60183510247657,287.36790462565256,259.66029989115106,CAMS-CSM1-0,historical,r1i1p1f2
1856,288.6007196320327,287.342999951066,259.10121450078645,CAMS-CSM1-0,historical,r1i1p1f2
1857,288.4454279493242,287.1862503270597,258.91172716426973,CAMS-CSM1-0,historical,r1i1p1f2
1858,288.46883605366673,287.21375788966884,259.03128705187913,CAMS-CSM1-0,historical,r1i1p1f2
1859,288.21434303098,286.93238664525495,258.1463719631655,CAMS-CSM1-0,historical,r1i1p1f2
1860,288.12356989490326,286.85688882897387,258.4138776880379,CAMS-CSM1-0,historical,r1i1p1f2
1861,288.43177074114664,287.1337301367478,257.98654828855734,CAMS-CSM1-0,historical,r1i1p1f2
1862,288.32262125370045,287.0504995518469,258.48532027216737,CAMS-CSM1-0,historical,r1i1p1f2
1863,288.1755977691842,286.8814053842731,257.8206343562196,CAMS-CSM1-0,historical,r1i1p1f2
1864,288.2283337055839,286.96441201192135,258.58336189514637,CAMS-CSM1-0,historical,r1i1p1f2
1865,288.21323414692915,286.91299466120836,257.71643747488366,CAMS-CSM1-0,historical,r1i1p1f2
1866,288.1010255697575,286.8210799159792,258.0802157241735,CAMS-CSM1-0,historical,r1i1p1f2
1867,288.36427110135656,287.050072958447,257.5400775652889,CAMS-CSM1-0,historical,r1i1p1f2
1868,288.29479127220577,286.9760873227614,257.36491515439144,CAMS-CSM1-0,historical,r1i1p1f2
1869,288.04306847387994,286.7596314057919,257.94036836617676,CAMS-CSM1-0,historical,r1i1p1f2
1870,288.18043043187953,286.9067830039313,258.3073439208371,CAMS-CSM1-0,historical,r1i1p1f2
