year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,289.0759805319673,287.8062477567406,259.294711235677,CAMS-CSM1-0,ssp245,r1i1p1f1
2016,289.15804104713004,287.86759487056673,258.89094402764954,CAMS-CSM1-0,ssp245,r1i1p1f1
2017,289.03124081205806,287.76361808526747,259.2994621817799,CAMS-CSM1-0,ssp245,r1i1p1f1
2018,289.1420338941391,287.86120413617476,259.1004876027711,CAMS-CSM1-0,ssp245,r1i1p1f1
2019,289.19579492059785,287.9186869457812,259.24154213566965,CAMS-CSM1-0,ssp245,r1i1p1f1
2020,289.2824954259667,288.0110621465627,259.4613412233131,CAMS-CSM1-0,ssp245,r1i1p1f1
2021,289.3755758803178,288.1007852886653,259.4756767463458,CAMS-CSM1-0,ssp245,r1i1p1f1
2022,289.2637837295442,288.00509159421347,259.74146992086816,CAMS-CSM1-0,ssp245,r1i1p1f1
2023,289.1543248693924,287.86621165600866,258.9419469262914,CAMS-CSM1-0,ssp245,r1i1p1f1
2024,289.2153305521502,287.97047899602467,260.0176441174906,CAMS-CSM1-0,ssp245,r1i1p1f1
2025,289.2833587335751,288.0368106566881,260.0458808225893,CAMS-CSM1-0,ssp245,r1i1p1f1
2026,289.1884546396874,287.9497834083496,260.13572619968164,CAMS-CSM1-0,ssp245,r1i1p1f1
2027,289.33454797651075,288.0956456808661,260.27639998013893,CAMS-CSM1-0,ssp245,r1i1p1f1
2028,289.20396721649115,287.95540165676204,259.9191697426866,CAMS-CSM1-0,ssp245,r1i1p1f1
2029,289.0856623726885,287.8812403061286,260.8362396512767,CAMS-CSM1-0,ssp245,r1i1p1f1
2030,289.082284167645,287.83521567066475,259.83259993164313,CAMS-CSM1-0,ssp245,r1i1p1f1
2031,289.4185396606373,288.1821887994348,260.4202349302629,CAMS-CSM1-0,ssp245,r1i1p1f1
2032,289.4494146252887,288.2137179612086,260.46645392717994,CAMS-CSM1-0,ssp245,r1i1p1f1
2033,289.3302044368544,288.1003663189403,260.48465449513725,CAMS-CSM1-0,ssp245,r1i1p1f1
2034,289.1363247292761,287.911619442189,260.4111640695349,CAMS-CSM1-0,ssp245,r1i1p1f1
2035,289.2128626460361,287.96266185136074,259.88971113960054,CAMS-CSM1-0,ssp245,r1i1p1f1
2036,289.42367047508696,288.17195190032203,260.06491981073157,CAMS-CSM1-0,ssp245,r1i1p1f1
2037,289.36185834462657,288.1090672710767,259.9779524856055,CAMS-CSM1-0,ssp245,r1i1p1f1
2038,289.3463490976713,288.1093944850649,260.33388352691946,CAMS-CSM1-0,ssp245,r1i1p1f1
2039,289.4619992699978,288.2475432760035,260.9772332536399,CAMS-CSM1-0,ssp245,r1i1p1f1
2040,289.65758030196776,288.41714206062335,260.56340707776485,CAMS-CSM1-0,ssp245,r1i1p1f1
2041,289.459919272145,288.18830047244404,259.63441373665785,CAMS-CSM1-0,ssp245,r1i1p1f1
2042,289.5527674587901,288.2940219931477,260.029202800794,CAMS-CSM1-0,ssp245,r1i1p1f1
2043,289.63510602469375,288.3725392633487,260.0219138178165,CAMS-CSM1-0,ssp245,r1i1p1f1
2044,289.5162631558379,288.2464257491576,259.73253975458937,CAMS-CSM1-0,ssp245,r1i1p1f1
2045,289.5878238722506,288.2939431325594,259.2401700211065,CAMS-CSM1-0,ssp245,r1i1p1f1
2046,289.4739659523421,288.19825012554435,259.5523656560764,CAMS-CSM1-0,ssp245,r1i1p1f1
2047,289.78181280549546,288.512408697412,260.0082523160442,CAMS-CSM1-0,ssp245,r1i1p1f1
2048,289.7062377393058,288.4396938870831,259.99976384610767,CAMS-CSM1-0,ssp245,r1i1p1f1
2049,289.7330159996945,288.45686223500877,259.8011439782037,CAMS-CSM1-0,ssp245,r1i1p1f1
2050,289.6759976804214,288.40025833362506,259.75384572838277,CAMS-CSM1-0,ssp245,r1i1p1f1
2051,289.9141083609705,288.6844126953726,261.0718996032131,CAMS-CSM1-0,ssp245,r1i1p1f1
2052,289.96374802147176,288.73881823844823,261.2333218648714,CAMS-CSM1-0,ssp245,r1i1p1f1
2053,289.8395497099966,288.6193345202429,261.2197031765489,CAMS-CSM1-0,ssp245,r1i1p1f1
2054,289.84138403509206,288.6033193128913,260.8028811174114,CAMS-CSM1-0,ssp245,r1i1p1f1
2055,289.89762644110357,288.63811515777974,260.35609971813955,CAMS-CSM1-0,ssp245,r1i1p1f1
2056,289.8050037130193,288.5509086057224,260.3905120638637,CAMS-CSM1-0,ssp245,r1i1p1f1
2057,289.87096812745676,288.6081228399224,260.2512431574542,CAMS-CSM1-0,ssp245,r1i1p1f1
2058,289.9357904181331,288.7001628460274,260.9544502552542,CAMS-CSM1-0,ssp245,r1i1p1f1
2059,289.98758463347997,288.7583758457758,261.1567954767248,CAMS-CSM1-0,ssp245,r1i1p1f1
2060,289.8870562951347,288.63730176531396,260.57437182087244,CAMS-CSM1-0,ssp245,r1i1p1f1
2061,290.10200615243633,288.8217958099338,260.0749880980634,CAMS-CSM1-0,ssp245,r1i1p1f1
2062,290.0490432336021,288.7923854529921,260.57444471349817,CAMS-CSM1-0,ssp245,r1i1p1f1
2063,289.98651147628584,288.7476624954991,260.9296139667684,CAMS-CSM1-0,ssp245,r1i1p1f1
