year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,288.0559504525555,286.9118915457743,261.7882026754393,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2016,288.00605302236534,286.8476063835416,261.40796096477754,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2017,288.10535598764136,286.96857132040185,262.0046257377011,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2018,288.20214437030654,287.1090780979516,263.1051944005957,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2019,288.13630778958105,287.0413168117435,262.99516632075637,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2020,288.09115351368274,286.9650880423084,262.23653745566844,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2021,288.1309548071295,286.96422151835463,261.3426001419608,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2022,288.20329380379326,287.0588501185931,261.92671146195545,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2023,288.23244532933955,287.0874012760158,261.942078453899,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2024,288.36395678323123,287.20656169669456,261.790008508878,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2025,288.43990748641835,287.305112058335,262.38485043749205,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2026,288.4205047769257,287.29542528306365,262.58852689641424,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2027,288.43382071437037,287.3371465479602,263.25403300746797,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2028,288.54898044267134,287.38545775112567,261.83434152564394,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2029,288.59813991030126,287.46436714939625,262.5665634385905,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2030,288.50224369682934,287.3922331849713,263.01625168836904,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2031,288.5044467157987,287.38004358777533,262.6879982867459,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2032,288.52556331978826,287.3807159672184,262.23971272035453,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2033,288.7130376754649,287.5893708937134,262.9134958567538,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2034,288.7105785074038,287.62355560315063,263.7523850895426,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2035,288.6923608078207,287.61509064855665,263.9580917386015,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2036,288.7457906191928,287.6417181003483,263.39613573625735,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2037,288.7521109483484,287.6444249703562,263.3194905529481,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2038,288.74276562799895,287.64010330231395,263.42548897140347,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2039,288.8622211866679,287.75774703611114,263.5033447851084,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2040,288.69773849226516,287.58177726339136,263.0751172134624,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2041,288.861932255933,287.7527111463226,263.39406503022195,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2042,289.00282806574063,287.8675781212374,262.93733525812434,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2043,288.99540664415457,287.87046425666637,263.16657674459833,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2044,289.03553939471794,287.9291656975935,263.6330491461459,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2045,288.9861486736612,287.8758662034604,263.4939124647435,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2046,289.03030320511186,287.93053834760303,263.7795528111017,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2047,289.13125363377094,288.0545657661992,264.4103540608392,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2048,289.2009347484132,288.0859754715569,263.60131842392383,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2049,289.3376901987274,288.2148119757021,263.55625379539913,CNRM-CM6-1-HR,ssp245,r1i1p1f2
2050,289.27317140746663,288.1698791660359,263.9414317998557,CNRM-CM6-1-HR,ssp245,r1i1p1f2
