year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,286.89243,285.75708,259.3679,IPSL-CM6A-LR,historical,r1i1p1f1
1851,287.03195,285.9384,260.52014,IPSL-CM6A-LR,historical,r1i1p1f1
1852,287.0059,285.9277,260.86682,IPSL-CM6A-LR,historical,r1i1p1f1
1853,287.0749,286.00223,261.06982,IPSL-CM6A-LR,historical,r1i1p1f1
1854,287.18616,286.09717,260.7861,IPSL-CM6A-LR,historical,r1i1p1f1
1855,287.12,286.00836,260.17035,IPSL-CM6A-LR,historical,r1i1p1f1
1856,287.23874,286.13385,260.4524,IPSL-CM6A-LR,historical,r1i1p1f1
1857,287.19534,286.092,260.44635,IPSL-CM6A-LR,historical,r1i1p1f1
1858,287.11386,286.02844,260.7986,IPSL-CM6A-LR,historical,r1i1p1f1
1859,287.20837,286.1453,261.43512,IPSL-CM6A-LR,historical,r1i1p1f1
1860,287.071,285.97946,260.60812,IPSL-CM6A-LR,historical,r1i1p1f1
1861,287.207,286.15988,261.8201,IPSL-CM6A-LR,historical,r1i1p1f1
1862,286.84433,285.76385,260.64938,IPSL-CM6A-LR,historical,r1i1p1f1
1863,286.95953,285.893,261.10318,IPSL-CM6A-LR,historical,r1i1p1f1
1864,287.05713,285.99158,261.22308,IPSL-CM6A-LR,historical,r1i1p1f1
1865,287.19388,286.10287,260.74365,IPSL-CM6A-LR,historical,r1i1p1f1
1866,287.3385,286.2338,260.55695,IPSL-CM6A-LR,historical,r1i1p1f1
1867,287.20197,286.08768,260.18878,IPSL-CM6A-LR,historical,r1i1p1f1
1868,287.08017,285.9469,259.6063,IPSL-CM6A-LR,historical,r1i1p1f1
1869,286.98337,285.89038,260.48523,IPSL-CM6A-LR,historical,r1i1p1f1
1870,287.11615,286.01675,260.46255,IPSL-CM6A-LR,historical,r1i1p1f1
1871,287.1963,286.10278,260.68497,IPSL-CM6A-LR,historical,r1i1p1f1
1872,287.32773,286.2135,260.3161,IPSL-CM6A-LR,historical,r1i1p1f1
1873,287.3269,286.21344,260.33246,IPSL-CM6A-LR,historical,r1i1p1f1
1874,287.23993,286.1226,260.1511,IPSL-CM6A-LR,historical,r1i1p1f1
1875,287.13632,286.0287,260.28403,IPSL-CM6A-LR,historical,r1i1p1f1
1876,287.24835,286.14737,260.5566,IPSL-CM6A-LR,historical,r1i1p1f1
1877,287.24695,286.15695,260.8206,IPSL-CM6A-LR,historical,r1i1p1f1
1878,287.15387,286.04688,260.3164,IPSL-CM6A-LR,historical,r1i1p1f1
1879,287.04178,285.97485,261.1755,IPSL-CM6A-LR,historical,r1i1p1f1
1880,287.16956,286.05838,260.22974,IPSL-CM6A-LR,historical,r1i1p1f1
1881,287.07306,285.96075,260.10605,IPSL-CM6A-LR,historical,r1i1p1f1
1882,286.92267,285.8044,259.81277,IPSL-CM6A-LR,historical,r1i1p1f1
1883,286.83044,285.71585,259.8102,IPSL-CM6A-LR,historical,r1i1p1f1
1884,286.68964,285.56763,259.48782,IPSL-CM6A-LR,historical,r1i1p1f1
1885,286.77606,285.6437,259.3239,IPSL-CM6A-LR,historical,r1i1p1f1
1886,286.93686,285.7828,258.95773,IPSL-CM6A-LR,historical,r1i1p1f1
1887,286.82718,285.72284,260.05472,IPSL-CM6A-LR,historical,r1i1p1f1
1888,286.828,285.72595,260.11136,IPSL-CM6A-LR,historical,r1i1p1f1
1889,286.8768,285.71652,258.74896,IPSL-CM6A-LR,historical,r1i1p1f1
1890,287.07474,285.93582,259.4643,IPSL-CM6A-LR,historical,r1i1p1f1
1891,286.91373,285.7948,259.78738,IPSL-CM6A-LR,historical,r1i1p1f1
1892,287.12723,286.0064,259.9556,IPSL-CM6A-LR,historical,r1i1p1f1
1893,286.916,285.8097,260.0954,IPSL-CM6A-LR,historical,r1i1p1f1
