year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,288.21246,287.19513,263.54874,IPSL-CM6A-LR,ssp126,r1i1p1f1
2016,288.29828,287.30618,264.24585,IPSL-CM6A-LR,ssp126,r1i1p1f1
2017,288.52225,287.5248,264.33835,IPSL-CM6A-LR,ssp126,r1i1p1f1
2018,288.589,287.60892,264.82703,IPSL-CM6A-LR,ssp126,r1i1p1f1
2019,288.40714,287.46518,265.5688,IPSL-CM6A-LR,ssp126,r1i1p1f1
2020,288.3953,287.43185,265.0363,IPSL-CM6A-LR,ssp126,r1i1p1f1
2021,288.5349,287.56158,264.93604,IPSL-CM6A-LR,ssp126,r1i1p1f1
2022,288.54626,287.5746,264.98672,IPSL-CM6A-LR,ssp126,r1i1p1f1
2023,288.6755,287.69702,264.95062,IPSL-CM6A-LR,ssp126,r1i1p1f1
2024,288.72733,287.75027,265.0384,IPSL-CM6A-LR,ssp126,r1i1p1f1
2025,288.7509,287.7544,264.58987,IPSL-CM6A-LR,ssp126,r1i1p1f1
2026,288.45142,287.48468,265.0122,IPSL-CM6A-LR,ssp126,r1i1p1f1
2027,288.4278,287.43454,264.34506,IPSL-CM6A-LR,ssp126,r1i1p1f1
2028,288.57928,287.58823,264.551,IPSL-CM6A-LR,ssp126,r1i1p1f1
2029,288.5867,287.61334,264.98618,IPSL-CM6A-LR,ssp126,r1i1p1f1
2030,288.83255,287.83102,264.55084,IPSL-CM6A-LR,ssp126,r1i1p1f1
2031,288.88098,287.87347,264.45395,IPSL-CM6A-LR,ssp126,r1i1p1f1
2032,288.79364,287.7971,264.63187,IPSL-CM6A-LR,ssp126,r1i1p1f1
2033,288.971,287.97336,264.7818,IPSL-CM6A-LR,ssp126,r1i1p1f1
2034,288.88437,287.93445,265.85284,IPSL-CM6A-LR,ssp126,r1i1p1f1
2035,288.98517,287.99356,264.94266,IPSL-CM6A-LR,ssp126,r1i1p1f1
2036,288.82413,287.84903,265.18243,IPSL-CM6A-LR,ssp126,r1i1p1f1
2037,289.03452,288.07547,265.78256,IPSL-CM6A-LR,ssp126,r1i1p1f1
2038,289.12054,288.14236,265.40417,IPSL-CM6A-LR,ssp126,r1i1p1f1
2039,289.00012,288.03687,265.64487,IPSL-CM6A-LR,ssp126,r1i1p1f1
2040,288.75427,287.77496,265.01108,IPSL-CM6A-LR,ssp126,r1i1p1f1
