year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,289.2644896513445,288.0546666510749,261.3390941375956,NorESM2-MM,ssp245,r1i1p1f1
2016,289.2125683616819,288.0184914103769,261.65062654736977,NorESM2-MM,ssp245,r1i1p1f1
2017,289.15126445299313,287.9393561335524,261.177735152223,NorESM2-MM,ssp245,r1i1p1f1
2018,289.10253970169583,287.8665908177302,260.5741009037672,NorESM2-MM,ssp245,r1i1p1f1
2019,289.248661072873,288.0351636223089,261.23845110466,NorESM2-MM,ssp245,r1i1p1f1
2020,289.3521476628477,288.1150517364224,260.79723258338856,NorESM2-MM,ssp245,r1i1p1f1
2021,289.2213004278007,287.9993451317108,261.0158646443622,NorESM2-MM,ssp245,r1i1p1f1
2022,289.20812812566004,287.96742967078933,260.5700587073704,NorESM2-MM,ssp245,r1i1p1f1
2023,289.16838426693914,287.93950044148147,260.8030226737892,NorESM2-MM,ssp245,r1i1p1f1
2024,288.9200697818001,287.6835627764465,260.3787483055762,NorESM2-MM,ssp245,r1i1p1f1
2025,288.99784150138976,287.71195778414585,259.3167961081985,NorESM2-MM,ssp245,r1i1p1f1
2026,289.0436269579802,287.7804557057175,259.88683558174125,NorESM2-MM,ssp245,r1i1p1f1
2027,289.13882712689735,287.86521917978854,259.7411337084897,NorESM2-MM,ssp245,r1i1p1f1
2028,289.25644673891827,288.0286915504514,260.91713658830037,NorESM2-MM,ssp245,r1i1p1f1
2029,289.353936629217,288.1059997254367,260.54878777149025,NorESM2-MM,ssp245,r1i1p1f1
2030,289.478156771586,288.24459635538756,261.0048491019779,NorESM2-MM,ssp245,r1i1p1f1
2031,289.3304957626333,288.1132295631392,261.2332947185007,NorESM2-MM,ssp245,r1i1p1f1
2032,289.37595202763214,288.1473653688182,261.01744969906605,NorESM2-MM,ssp245,r1i1p1f1
2033,289.4267621223085,288.18640710956373,260.7966201092696,NorESM2-MM,ssp245,r1i1p1f1
2034,289.2829114493161,288.06372512495483,261.1413896687263,NorESM2-MM,ssp245,r1i1p1f1
2035,289.13693444098277,287.9065190486554,260.73622089090924,NorESM2-MM,ssp245,r1i1p1f1
2036,289.3816931527876,288.12061470561224,260.2732083551018,NorESM2-MM,ssp245,r1i1p1f1
2037,289.79544722388704,288.60187742640994,262.2452116436517,NorESM2-MM,ssp245,r1i1p1f1
2038,289.67116525174333,288.4748091615117,262.0566158610001,NorESM2-MM,ssp245,r1i1p1f1
2039,289.38320052226953,288.13457159740864,260.5620782846541,NorESM2-MM,ssp245,r1i1p1f1
2040,289.36674712970705,288.14954864370713,261.27110906305256,NorESM2-MM,ssp245,r1i1p1f1
2041,289.47140312635867,288.24747832176166,261.2205067226343,NorESM2-MM,ssp245,r1i1p1f1
2042,289.556374150052,288.33165813228794,261.28721479330096,NorESM2-MM,ssp245,r1i1p1f1
2043,289.4538628079095,288.22946352568215,261.1920144091525,NorESM2-MM,ssp245,r1i1p1f1
2044,289.4919963412271,288.3170781733538,262.3722816996332,NorESM2-MM,ssp245,r1i1p1f1
2045,289.5953315777528,288.40203065943643,262.0513023243164,NorESM2-MM,ssp245,r1i1p1f1
2046,289.9676244694063,288.8032804768977,263.0919852249757,NorESM2-MM,ssp245,r1i1p1f1
2047,289.8196989949978,288.67068700982645,263.29795645183464,NorESM2-MM,ssp245,r1i1p1f1
2048,289.8630331711647,288.67288800573317,262.3918456866791,NorESM2-MM,ssp245,r1i1p1f1
2049,289.8944207172916,288.71587735309237,262.6910285119538,NorESM2-MM,ssp245,r1i1p1f1
2050,289.82066525697803,288.6269375974786,262.2667858714839,NorESM2-MM,ssp245,r1i1p1f1
2051,289.8837641610409,288.67409080116283,261.961822679089,NorESM2-MM,ssp245,r1i1p1f1
2052,290.0502979993552,288.86738374008104,262.7460158508711,NorESM2-MM,ssp245,r1i1p1f1
2053,289.94527465840963,288.7730021196076,262.8866269978381,NorESM2-MM,ssp245,r1i1p1f1
