year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,288.95912143584366,287.75428990415605,260.5058784423319,UKESM1-0-LL,ssp245,r10i1p1f2
2016,289.0218244416121,287.8308634604147,260.8961476954796,UKESM1-0-LL,ssp245,r10i1p1f2
2017,289.187617012878,287.99668599816863,261.0626479538719,UKESM1-0-LL,ssp245,r10i1p1f2
2018,289.07602444184465,287.8663459321257,260.50831545032355,UKESM1-0-LL,ssp245,r10i1p1f2
2019,288.9432321902886,287.7405312886668,260.54030605303615,UKESM1-0-LL,ssp245,r10i1p1f2
2020,289.1704270762227,287.98869240543314,261.2626384290151,UKESM1-0-LL,ssp245,r10i1p1f2
2021,289.3795320659352,288.1943500228954,261.39033044293086,UKESM1-0-LL,ssp245,r10i1p1f2
2022,289.41533186367246,288.2422961496832,261.71297735818155,UKESM1-0-LL,ssp245,r10i1p1f2
2023,289.2934247510009,288.1638417605974,262.61724765737614,UKESM1-0-LL,ssp245,r10i1p1f2
2024,289.28758818942475,288.1397404499159,262.1800716671406,UKESM1-0-LL,ssp245,r10i1p1f2
2025,289.3045133114831,288.1704922063245,262.52352591513966,UKESM1-0-LL,ssp245,r10i1p1f2
2026,289.3911487711849,288.2711886900707,262.9422258364255,UKESM1-0-LL,ssp245,r10i1p1f2
2027,289.4972215394512,288.38015816651824,263.1167071245536,UKESM1-0-LL,ssp245,r10i1p1f2
2028,289.67581177112777,288.50759929400994,262.087362593573,UKESM1-0-LL,ssp245,r10i1p1f2
2029,289.64154359862147,288.4727794149669,262.04006534626166,UKESM1-0-LL,ssp245,r10i1p1f2
2030,289.7391346962093,288.6033733008023,262.9170486897982,UKESM1-0-LL,ssp245,r10i1p1f2
2031,289.7019126151347,288.5803406319189,263.2149230785569,UKESM1-0-LL,ssp245,r10i1p1f2
2032,289.7095782370844,288.6007230312042,263.52290749704184,UKESM1-0-LL,ssp245,r10i1p1f2
2033,289.70149935850117,288.61584337946107,264.0627004338791,UKESM1-0-LL,ssp245,r10i1p1f2
2034,289.73306040479133,288.61636406364704,263.3612137948038,UKESM1-0-LL,ssp245,r10i1p1f2
2035,289.7422272877143,288.6477026388602,263.893986287074,UKESM1-0-LL,ssp245,r10i1p1f2
2036,290.07200022311565,288.9724464509153,264.1049916895489,UKESM1-0-LL,ssp245,r10i1p1f2
2037,290.052060391995,288.95731975293177,264.1987185770619,UKESM1-0-LL,ssp245,r10i1p1f2
2038,289.9601832716945,288.85131384466746,263.7731766857338,UKESM1-0-LL,ssp245,r10i1p1f2
2039,289.84558527356995,288.7180315193394,263.21733052294474,UKESM1-0-LL,ssp245,r10i1p1f2
2040,289.9535670066484,288.8468280509043,263.81687352714243,UKESM1-0-LL,ssp245,r10i1p1f2
2041,290.2809892927946,289.1887949196286,264.48777996974314,UKESM1-0-LL,ssp245,r10i1p1f2
2042,290.1906974607281,289.1247365936349,265.01701734423136,UKESM1-0-LL,ssp245,r10i1p1f2
2043,290.10623638593995,289.0378180086374,264.8745198275806,UKESM1-0-LL,ssp245,r10i1p1f2
2044,290.0435772660901,288.98228018204367,264.98003682373985,UKESM1-0-LL,ssp245,r10i1p1f2
2045,290.1151571977889,289.0597730007545,265.1912552082184,UKESM1-0-LL,ssp245,r10i1p1f2
2046,290.3030716824234,289.23818892900806,265.15485224623416,UKESM1-0-LL,ssp245,r10i1p1f2
2047,290.32556722241185,289.26149106837505,265.19639639800914,UKESM1-0-LL,ssp245,r10i1p1f2
2048,290.3181816494346,289.2553598736691,265.21863416142213,UKESM1-0-LL,ssp245,r10i1p1f2
2049,290.30471976503725,289.24862251009455,265.36397823450045,UKESM1-0-LL,ssp245,r10i1p1f2
2050,290.3367972116063,289.29029421274095,265.62263316707634,UKESM1-0-LL,ssp245,r10i1p1f2
2051,290.4424450441028,289.389117004363,265.5671011654365,UKESM1-0-LL,ssp245,r10i1p1f2
2052,290.5561304999635,289.4880502862416,265.332399996319,UKESM1-0-LL,ssp245,r10i1p1f2
2053,290.537671469361,289.51995040948583,266.5032202995117,UKESM1-0-LL,ssp245,r10i1p1f2
2054,290.4951633687033,289.47212926143874,266.3352395295042,UKESM1-0-LL,ssp245,r10i1p1f2
2055,290.44600285304375,289.4472063887367,266.85847401390765,UKESM1-0-LL,ssp245,r10i1p1f2
2056,290.4582775673715,289.4279274368764,266.12557887853404,UKESM1-0-LL,ssp245,r10i1p1f2
2057,290.48323525196963,289.42632810090004,265.5233672537999,UKESM1-0-LL,ssp245,r10i1p1f2
2058,290.55632833131205,289.48532090444974,265.2634689041673,UKESM1-0-LL,ssp245,r10i1p1f2
2059,290.60678202970223,289.56738019703135,266.0603187814688,UKESM1-0-LL,ssp245,r10i1p1f2
2060,290.6538991665041,289.6277569335606,266.4205739820709,UKESM1-0-LL,ssp245,r10i1p1f2
2061,290.65153550780343,289.6193021146154,266.274361778584,UKESM1-0-LL,ssp245,r10i1p1f2
2062,290.8711678343132,289.8220762879009,266.09587277651434,UKESM1-0-LL,ssp245,r10i1p1f2
2063,290.8222288692611,289.7952739800679,266.5697120342719,UKESM1-0-LL,ssp245,r10i1p1f2
2064,290.7503995846761,289.7314452049963,266.68682239416273,UKESM1-0-LL,ssp245,r10i1p1f2
2065,290.8058342184438,289.8072780247073,267.2239795974404,UKESM1-0-LL,ssp245,r10i1p1f2
2066,290.7911287250307,289.7962920638544,267.2971144044965,UKESM1-0-LL,ssp245,r10i1p1f2
2067,290.9124757137551,289.914022081741,267.33304318541167,UKESM1-0-LL,ssp245,r10i1p1f2
2068,290.8627191259018,289.8675273221823,267.36031777630143,UKESM1-0-LL,ssp245,r10i1p1f2
2069,290.89563779066907,289.92378775720243,267.94447455481156,UKESM1-0-LL,ssp245,r10i1p1f2
2070,291.01303175561156,290.0367145300357,267.9563715276474,UKESM1-0-LL,ssp245,r10i1p1f2
2071,291.08595126653665,290.1236036255686,268.3591960708613,UKESM1-0-LL,ssp245,r10i1p1f2
2072,290.9766581678831,290.0382231010126,268.8146211618566,UKESM1-0-LL,ssp245,r10i1p1f2
2073,291.1342801124325,290.17880120297235,268.56973654678137,UKESM1-0-LL,ssp245,r10i1p1f2
2074,291.01878388982755,290.0447106711689,268.0151180203441,UKESM1-0-LL,ssp245,r10i1p1f2
2075,290.96664963022505,289.98115631162017,267.6932872345163,UKESM1-0-LL,ssp245,r10i1p1f2
2076,291.078166095457,290.08183300819934,267.5488122491911,UKESM1-0-LL,ssp245,r10i1p1f2
2077,291.2880859150906,290.3235207232772,268.5089611462541,UKESM1-0-LL,ssp245,r10i1p1f2
2078,291.3871998512679,290.4453734621568,269.14507354374217,UKESM1-0-LL,ssp245,r10i1p1f2
2079,291.43731430851244,290.4917782969072,269.1075817361643,UKESM1-0-LL,ssp245,r10i1p1f2
2080,291.33834549071037,290.3804593389281,268.7169526071757,UKESM1-0-LL,ssp245,r10i1p1f2
2081,291.174536813636,290.2467011273371,269.26281426489584,UKESM1-0-LL,ssp245,r10i1p1f2
2082,291.22853380622234,290.28351641739295,268.91104900418526,UKESM1-0-LL,ssp245,r10i1p1f2
2083,291.3860545216461,290.44703176063393,269.21013855927987,UKESM1-0-LL,ssp245,r10i1p1f2
2084,291.47047523153793,290.5211245159036,269.05065479392846,UKESM1-0-LL,ssp245,r10i1p1f2
2085,291.4625717956322,290.49554807261785,268.6253864732399,UKESM1-0-LL,ssp245,r10i1p1f2
2086,291.49710824312933,290.5273512917861,268.59537513313666,UKESM1-0-LL,ssp245,r10i1p1f2
2087,291.36075560562034,290.4163447019914,269.05759352865664,UKESM1-0-LL,ssp245,r10i1p1f2
2088,291.32807381432264,290.37258980655594,268.76340984730723,UKESM1-0-LL,ssp245,r10i1p1f2
2089,291.5614824334066,290.60778628197727,269.0390403949072,UKESM1-0-LL,ssp245,r10i1p1f2
2090,291.70778058507346,290.763326721592,269.4036039703103,UKESM1-0-LL,ssp245,r10i1p1f2
2091,291.52803403130537,290.59863248516365,269.5793322124925,UKESM1-0-LL,ssp245,r10i1p1f2
2092,291.603489682724,290.6852616490094,269.91866099124945,UKESM1-0-LL,ssp245,r10i1p1f2
2093,291.52743750439174,290.61078678960564,269.8798587002027,UKESM1-0-LL,ssp245,r10i1p1f2
2094,291.57552531228623,290.68497839546984,270.5444125343843,UKESM1-0-LL,ssp245,r10i1p1f2
2095,291.63485639007655,290.7107912800581,269.8121795878275,UKESM1-0-LL,ssp245,r10i1p1f2
2096,291.75097700463795,290.82881185443836,269.9731695612859,UKESM1-0-LL,ssp245,r10i1p1f2
2097,291.5372076410051,290.6271136124391,270.04447122045684,UKESM1-0-LL,ssp245,r10i1p1f2
2098,291.6370465691462,290.7118776216324,269.7883015941684,UKESM1-0-LL,ssp245,r10i1p1f2
2099,291.81725909730545,290.8978040389949,270.10345305251565,UKESM1-0-LL,ssp245,r10i1p1f2
2100,291.66815140342226,290.7345025955788,269.6191464583428,UKESM1-0-LL,ssp245,r10i1p1f2
