year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,288.225912118106,286.96524340560046,258.4540209716413,UKESM1-1-LL,historical,r1i1p1f2
1851,288.25935218669827,286.98842005782245,258.2450806972153,UKESM1-1-LL,historical,r1i1p1f2
1852,288.2851100049688,287.0097012102298,258.1651177916763,UKESM1-1-LL,historical,r1i1p1f2
1853,288.1958206139978,286.9138907415405,257.92182694571045,UKESM1-1-LL,historical,r1i1p1f2
1854,288.23843825083895,286.94939888581604,257.79654715107233,UKESM1-1-LL,historical,r1i1p1f2
1855,288.20498275681445,286.8905744500647,257.16397996013995,UKESM1-1-LL,historical,r1i1p1f2
1856,288.4122929087184,287.1268584543263,258.0555352035031,UKESM1-1-LL,historical,r1i1p1f2
1857,288.3835627021182,287.09098852040285,257.85819354285763,UKESM1-1-LL,historical,r1i1p1f2
1858,288.4414043454532,287.15937752783367,258.1651212249187,UKESM1-1-LL,historical,r1i1p1f2
1859,288.3522754196601,287.0711113504855,258.09636692453665,UKESM1-1-LL,historical,r1i1p1f2
1860,288.2508327037696,286.9736918729585,258.08993681063566,UKESM1-1-LL,historical,r1i1p1f2
1861,288.3385119914014,287.0729141617442,258.4502150534486,UKESM1-1-LL,historical,r1i1p1f2
1862,288.1278433343765,286.85255292584225,258.0106469239486,UKESM1-1-LL,historical,r1i1p1f2
1863,287.9972239572066,286.73303679391813,258.1422412477701,UKESM1-1-LL,historical,r1i1p1f2
1864,288.09413989387036,286.83033017916415,258.24807099183784,UKESM1-1-LL,historical,r1i1p1f2
1865,288.3279540181873,287.0409217740581,257.9334629880605,UKESM1-1-LL,historical,r1i1p1f2
1866,288.36897238090825,287.1016717528604,258.4404622387776,UKESM1-1-LL,historical,r1i1p1f2
1867,288.27562067526515,286.9717688130232,257.483918359891,UKESM1-1-LL,historical,r1i1p1f2
1868,288.0699063470237,286.7756394442633,257.50456196969384,UKESM1-1-LL,historical,r1i1p1f2
1869,288.1684477816424,286.86646424632767,257.42086778431985,UKESM1-1-LL,historical,r1i1p1f2
1870,288.2676220599666,286.9705571663784,257.63620046701504,UKESM1-1-LL,historical,r1i1p1f2
1871,288.09542594039624,286.80948393475944,257.72668192960987,UKESM1-1-LL,historical,r1i1p1f2
1872,288.0165836211338,286.752352539416,258.16056373619205,UKESM1-1-LL,historical,r1i1p1f2
1873,287.987745509833,286.71631301941596,257.9616575064704,UKESM1-1-LL,historical,r1i1p1f2
1874,288.1566933653497,286.8957439807042,258.3781738792422,UKESM1-1-LL,historical,r1i1p1f2
1875,288.08818453989124,286.83854831188717,258.5768360121142,UKESM1-1-LL,historical,r1i1p1f2
1876,288.2641241379546,287.0170629250961,258.81358704291307,UKESM1-1-LL,historical,r1i1p1f2
1877,288.48442218517766,287.2396780762515,259.08860570417653,UKESM1-1-LL,historical,r1i1p1f2
