year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,289.17618944723677,287.94492701672124,260.09875562944455,ACCESS-CM2,ssp245,r1i1p1f1
2016,289.05755897602495,287.8430903064815,260.37672580251075,ACCESS-CM2,ssp245,r1i1p1f1
2017,289.24852166844397,288.0226052842057,260.2973398201433,ACCESS-CM2,ssp245,r1i1p1f1
2018,289.2817492890965,288.04133349946056,259.9881501864421,ACCESS-CM2,ssp245,r1i1p1f1
2019,289.20099607413107,287.9934392561746,260.6833928523322,ACCESS-CM2,ssp245,r1i1p1f1
2020,289.23635173963623,288.03968413262504,260.97590759516993,ACCESS-CM2,ssp245,r1i1p1f1
2021,289.3360769925237,288.12787592467834,260.80325919660356,ACCESS-CM2,ssp245,r1i1p1f1
2022,289.4729360394165,288.2783886105138,261.2625619182939,ACCESS-CM2,ssp245,r1i1p1f1
2023,289.45788512549774,288.25440408413886,261.0365352460626,ACCESS-CM2,ssp245,r1i1p1f1
2024,289.44443138157243,288.28500174843475,262.0633974213017,ACCESS-CM2,ssp245,r1i1p1f1
2025,289.55077046973764,288.35336337837,261.2728626985892,ACCESS-CM2,ssp245,r1i1p1f1
2026,289.56251511224417,288.373557085986,261.4841400527675,ACCESS-CM2,ssp245,r1i1p1f1
2027,289.71424421347166,288.5187136855811,261.4806532743478,ACCESS-CM2,ssp245,r1i1p1f1
2028,289.6855764124198,288.5107395117252,261.9406851690926,ACCESS-CM2,ssp245,r1i1p1f1
2029,289.6760847604394,288.47813162392134,261.3852816135134,ACCESS-CM2,ssp245,r1i1p1f1
2030,289.5907772621664,288.41642127333677,261.8572432101082,ACCESS-CM2,ssp245,r1i1p1f1
2031,289.75368205935257,288.5579414576001,261.51513002609846,ACCESS-CM2,ssp245,r1i1p1f1
2032,289.63884995832507,288.4271517986326,261.02344501102573,ACCESS-CM2,ssp245,r1i1p1f1
2033,289.78363855775433,288.6009458162552,261.8532241591577,ACCESS-CM2,ssp245,r1i1p1f1
2034,289.8941437842738,288.690189520667,261.46161831119804,ACCESS-CM2,ssp245,r1i1p1f1
2035,289.88888750460177,288.6975051986371,261.7532607732024,ACCESS-CM2,ssp245,r1i1p1f1
2036,289.6064499346528,288.42732088236824,261.7601954476342,ACCESS-CM2,ssp245,r1i1p1f1
2037,289.78548414227197,288.620994079374,262.2849433183171,ACCESS-CM2,ssp245,r1i1p1f1
