year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,289.06287062311145,287.78735520414045,260.42598089955567,ACCESS-ESM1-5,historical,r1i1p1f1
1851,288.91671340011425,287.66659819268796,260.85008966170017,ACCESS-ESM1-5,historical,r1i1p1f1
1852,288.88383961035396,287.60427091655043,260.1559488822896,ACCESS-ESM1-5,historical,r1i1p1f1
1853,288.89830156382357,287.62501376222696,260.31142458973915,ACCESS-ESM1-5,historical,r1i1p1f1
1854,288.9975855913047,287.73812222266235,260.72108413766995,ACCESS-ESM1-5,historical,r1i1p1f1
1855,288.8792002278491,287.6442570773207,261.15320782465983,ACCESS-ESM1-5,historical,r1i1p1f1
1856,288.99322428945226,287.7402253964583,260.8618582638293,ACCESS-ESM1-5,historical,r1i1p1f1
1857,288.9130716393881,287.6431206501027,260.4011102051408,ACCESS-ESM1-5,historical,r1i1p1f1
1858,288.78141823256794,287.5204010362628,260.4700314370816,ACCESS-ESM1-5,historical,r1i1p1f1
1859,288.8531654835661,287.57480296382903,260.1523548465876,ACCESS-ESM1-5,historical,r1i1p1f1
1860,288.8882372791453,287.60487679175105,260.0752161219978,ACCESS-ESM1-5,historical,r1i1p1f1
1861,288.8902379239067,287.6047137994718,260.0286404544616,ACCESS-ESM1-5,historical,r1i1p1f1
1862,288.8523842551114,287.57564198009555,260.1879501046199,ACCESS-ESM1-5,historical,r1i1p1f1
1863,289.0015458504246,287.736839980639,260.6073437991474,ACCESS-ESM1-5,historical,r1i1p1f1
1864,289.0607336393434,287.7770351395995,260.24012368927464,ACCESS-ESM1-5,historical,r1i1p1f1
1865,288.9264980235205,287.64413500092263,260.1358711776882,ACCESS-ESM1-5,historical,r1i1p1f1
1866,288.9408229572298,287.6945222517861,260.95983947922224,ACCESS-ESM1-5,historical,r1i1p1f1
1867,289.0689356076316,287.82059170138695,261.04207975900323,ACCESS-ESM1-5,historical,r1i1p1f1
1868,289.05646297446134,287.79286507734207,260.6871362720765,ACCESS-ESM1-5,historical,r1i1p1f1
1869,288.92971950491557,287.6806463308875,260.88649069773527,ACCESS-ESM1-5,historical,r1i1p1f1
1870,288.9067928139494,287.6547287148583,260.79641406100575,ACCESS-ESM1-5,historical,r1i1p1f1
1871,288.9477315027888,287.72328587321266,261.4574213543218,ACCESS-ESM1-5,historical,r1i1p1f1
1872,288.9681531627459,287.72952347387854,261.1593934403143,ACCESS-ESM1-5,historical,r1i1p1f1
1873,289.06353466059784,287.8255103998436,261.26836754383953,ACCESS-ESM1-5,historical,r1i1p1f1
1874,289.128830338148,287.86683484967364,260.79547968040214,ACCESS-ESM1-5,historical,r1i1p1f1
1875,289.03454581666824,287.8114712416274,261.5750175285791,ACCESS-ESM1-5,historical,r1i1p1f1
1876,288.9923453237317,287.731196649026,260.67800667646657,ACCESS-ESM1-5,historical,r1i1p1f1
1877,288.9951225135461,287.732241090014,260.64188152427664,ACCESS-ESM1-5,historical,r1i1p1f1
1878,288.85784347826745,287.5982145763483,260.577625599004,ACCESS-ESM1-5,historical,r1i1p1f1
1879,288.94384076732956,287.6883881234949,260.75738501782524,ACCESS-ESM1-5,historical,r1i1p1f1
1880,288.96184848995017,287.6813233359977,260.2124840553248,ACCESS-ESM1-5,historical,r1i1p1f1
1881,288.8556374543659,287.59568543246166,260.56816513407995,ACCESS-ESM1-5,historical,r1i1p1f1
1882,288.9356234951641,287.636547441201,259.769768542303,ACCESS-ESM1-5,historical,r1i1p1f1
1883,288.9768974109288,287.7036191256083,260.39023408894616,ACCESS-ESM1-5,historical,r1i1p1f1
1884,288.6790665232168,287.43193537860503,260.6794386646454,ACCESS-ESM1-5,historical,r1i1p1f1
1885,288.6519687896041,287.3919927947247,260.363958246541,ACCESS-ESM1-5,historical,r1i1p1f1
1886,288.87019966476925,287.59042925350303,260.13778013159964,ACCESS-ESM1-5,historical,r1i1p1f1
1887,288.8290028360493,287.5341514253049,259.7579963187043,ACCESS-ESM1-5,historical,r1i1p1f1
1888,288.8960747870715,287.60311304472526,259.8674936490923,ACCESS-ESM1-5,historical,r1i1p1f1
1889,288.9638613559273,287.6723621350141,259.96811562265424,ACCESS-ESM1-5,historical,r1i1p1f1
1890,289.02312290688616,287.73935077399943,260.20085980221177,ACCESS-ESM1-5,historical,r1i1p1f1
1891,288.87660752592245,287.59362113011684,260.07198518498524,ACCESS-ESM1-5,historical,r1i1p1f1
1892,288.8288256082968,287.5652124079473,260.4591553295683,ACCESS-ESM1-5,historical,r1i1p1f1
1893,288.84208874030315,287.59628445341883,260.87225046941603,ACCESS-ESM1-5,historical,r1i1p1f1
1894,288.7957963014702,287.5636516741542,261.13263418589065,ACCESS-ESM1-5,historical,r1i1p1f1
1895,288.95945796164943,287.7045267023318,260.78470793572995,ACCESS-ESM1-5,historical,r1i1p1f1
1896,288.909282133711,287.64199984681557,260.45723634996455,ACCESS-ESM1-5,historical,r1i1p1f1
1897,288.95910707961457,287.68234258773765,260.2941741332741,ACCESS-ESM1-5,historical,r1i1p1f1
1898,289.1186219492953,287.8295613210825,260.17762562101217,ACCESS-ESM1-5,historical,r1i1p1f1
1899,289.06129598459336,287.75017145776405,259.62493799925,ACCESS-ESM1-5,historical,r1i1p1f1
1900,289.05920007825665,287.7785498133819,260.307026749575,ACCESS-ESM1-5,historical,r1i1p1f1
1901,288.9651023126611,287.6894925765537,260.3260950534109,ACCESS-ESM1-5,historical,r1i1p1f1
1902,288.81555182666494,287.5412403012889,260.20569099480633,ACCESS-ESM1-5,historical,r1i1p1f1
1903,288.80791645200384,287.53567292474537,260.244484721006,ACCESS-ESM1-5,historical,r1i1p1f1
1904,288.81422679312715,287.5216236405105,259.7936964355514,ACCESS-ESM1-5,historical,r1i1p1f1
1905,288.78178873855063,287.4891432534152,259.7603079638753,ACCESS-ESM1-5,historical,r1i1p1f1
1906,288.93634022989045,287.63686040486255,259.76142012008177,ACCESS-ESM1-5,historical,r1i1p1f1
1907,288.9216072711428,287.65314755738154,260.4431268063113,ACCESS-ESM1-5,historical,r1i1p1f1
1908,288.9931073487394,287.71856703428364,260.37810992068967,ACCESS-ESM1-5,historical,r1i1p1f1
1909,288.92626165974445,287.64107023735545,260.07213376037106,ACCESS-ESM1-5,historical,r1i1p1f1
1910,289.0213105089318,287.7541156286721,260.57122711164624,ACCESS-ESM1-5,historical,r1i1p1f1
1911,289.13303981246924,287.8897067274087,261.2186830614943,ACCESS-ESM1-5,historical,r1i1p1f1
1912,289.02929697156713,287.704608070233,259.2884020977709,ACCESS-ESM1-5,historical,r1i1p1f1
1913,288.8667994533779,287.6080512683513,260.60635475141487,ACCESS-ESM1-5,historical,r1i1p1f1
1914,289.01571560347685,287.7343738554834,260.2480176284295,ACCESS-ESM1-5,historical,r1i1p1f1
1915,289.150446783719,287.86479692506595,260.28602642645507,ACCESS-ESM1-5,historical,r1i1p1f1
1916,289.1643949654283,287.8819668807153,260.37230739510125,ACCESS-ESM1-5,historical,r1i1p1f1
1917,289.01569629850763,287.72427898219763,260.0217894243053,ACCESS-ESM1-5,historical,r1i1p1f1
1918,289.01399332980174,287.72883217176997,260.1605449024699,ACCESS-ESM1-5,historical,r1i1p1f1
1919,288.8215238678457,287.5686404097429,260.69274949748234,ACCESS-ESM1-5,historical,r1i1p1f1
1920,288.8753306863891,287.5887054397423,259.9890116691855,ACCESS-ESM1-5,historical,r1i1p1f1
1921,289.0091049333278,287.71763808645693,260.01408603712,ACCESS-ESM1-5,historical,r1i1p1f1
1922,288.83147941640544,287.55652298777886,260.20713971350176,ACCESS-ESM1-5,historical,r1i1p1f1
1923,288.89228179631107,287.577754585587,259.37952937307045,ACCESS-ESM1-5,historical,r1i1p1f1
1924,289.00248715722284,287.7093990055306,259.97106797397527,ACCESS-ESM1-5,historical,r1i1p1f1
1925,289.0391543043367,287.79282410192434,261.0575085831047,ACCESS-ESM1-5,historical,r1i1p1f1
1926,289.064424359007,287.7996647901413,260.66901669734784,ACCESS-ESM1-5,historical,r1i1p1f1
1927,289.05322225155663,287.7937715689333,260.7770056146486,ACCESS-ESM1-5,historical,r1i1p1f1
