year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,287.9720174507232,286.86346250328904,261.4879314858021,AWI-CM-1-1-MR,historical,r1i1p1f1
1851,287.9636583735092,286.8213618218794,260.6734639263891,AWI-CM-1-1-MR,historical,r1i1p1f1
1852,287.9431217873393,286.83013227566335,261.353091249381,AWI-CM-1-1-MR,historical,r1i1p1f1
1853,288.0119536022709,286.88901802437636,261.1843051876716,AWI-CM-1-1-MR,historical,r1i1p1f1
1854,288.1783613706204,287.06887965251263,261.6721342621787,AWI-CM-1-1-MR,historical,r1i1p1f1
1855,288.1914823321581,287.075144523158,261.5214588318466,AWI-CM-1-1-MR,historical,r1i1p1f1
1856,288.0321036855483,286.90256415563977,261.0466826379802,AWI-CM-1-1-MR,historical,r1i1p1f1
1857,287.90456016996075,286.7715469648531,260.8361508025067,AWI-CM-1-1-MR,historical,r1i1p1f1
1858,288.0192641288219,286.8853450839062,260.92921366960417,AWI-CM-1-1-MR,historical,r1i1p1f1
1859,288.05079865259705,286.9053093812373,260.684328091254,AWI-CM-1-1-MR,historical,r1i1p1f1
1860,287.9743874928506,286.85413568818103,261.2108561352947,AWI-CM-1-1-MR,historical,r1i1p1f1
1861,288.22707869462903,287.0951882701379,261.1854932734637,AWI-CM-1-1-MR,historical,r1i1p1f1
1862,287.9096817997226,286.7465707710178,260.12221619662694,AWI-CM-1-1-MR,historical,r1i1p1f1
1863,287.9876344500429,286.843591923735,260.6557275523353,AWI-CM-1-1-MR,historical,r1i1p1f1
1864,288.0528348775723,286.91054113098767,260.7627074447726,AWI-CM-1-1-MR,historical,r1i1p1f1
1865,288.01143817970205,286.8549062007424,260.38115027846237,AWI-CM-1-1-MR,historical,r1i1p1f1
1866,288.1235340271188,286.95211496554055,260.13758421056264,AWI-CM-1-1-MR,historical,r1i1p1f1
1867,288.01888770078205,286.8784659019814,260.77348229655365,AWI-CM-1-1-MR,historical,r1i1p1f1
1868,288.03868839701096,286.88151064462375,260.39297255599155,AWI-CM-1-1-MR,historical,r1i1p1f1
1869,288.17052327383175,287.05277868903903,261.4668910010299,AWI-CM-1-1-MR,historical,r1i1p1f1
1870,288.16962421178766,287.00618749842727,260.3743777941875,AWI-CM-1-1-MR,historical,r1i1p1f1
1871,287.92713191972973,286.7517327410093,259.84609456169665,AWI-CM-1-1-MR,historical,r1i1p1f1
1872,287.95381066999414,286.76855536502444,259.6373041586544,AWI-CM-1-1-MR,historical,r1i1p1f1
1873,288.0225205347628,286.844731534033,259.88438880203637,AWI-CM-1-1-MR,historical,r1i1p1f1
1874,287.99389503723137,286.81447868923414,259.81688493855177,AWI-CM-1-1-MR,historical,r1i1p1f1
1875,288.06336616440143,286.8849410673207,259.9100376834418,AWI-CM-1-1-MR,historical,r1i1p1f1
1876,288.10947321267867,286.94836712865225,260.3699070189353,AWI-CM-1-1-MR,historical,r1i1p1f1
1877,287.95514617535395,286.7482782778739,259.1223010203617,AWI-CM-1-1-MR,historical,r1i1p1f1
1878,287.79692549564595,286.639683253828,260.14966896092517,AWI-CM-1-1-MR,historical,r1i1p1f1
1879,287.8976969226724,286.73548802858966,260.13178389208326,AWI-CM-1-1-MR,historical,r1i1p1f1
