year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,290.02490501711554,288.8042096119213,261.3937951488692,BCC-CSM2-MR,ssp245,r1i1p1f1
2016,290.06242751133465,288.84990870010176,261.6230976391934,BCC-CSM2-MR,ssp245,r1i1p1f1
2017,290.1069994061127,288.8612309263328,260.88780675312836,BCC-CSM2-MR,ssp245,r1i1p1f1
2018,290.1869065225594,288.9472416236913,261.11087185553595,BCC-CSM2-MR,ssp245,r1i1p1f1
2019,290.1073377796953,288.8760941567079,261.2288220628913,BCC-CSM2-MR,ssp245,r1i1p1f1
2020,290.22236412050756,288.9909945365863,261.3408940210428,BCC-CSM2-MR,ssp245,r1i1p1f1
2021,290.24181044602585,289.02302632551306,261.65552928891117,BCC-CSM2-MR,ssp245,r1i1p1f1
2022,290.20355586642006,288.9970969788201,261.9063600095211,BCC-CSM2-MR,ssp245,r1i1p1f1
2023,290.3265089063726,289.0994839246724,261.54694038120505,BCC-CSM2-MR,ssp245,r1i1p1f1
2024,290.2105544146131,288.96993603947413,261.11215619665455,BCC-CSM2-MR,ssp245,r1i1p1f1
2025,290.22836827842053,288.99296747620633,261.25234694745745,BCC-CSM2-MR,ssp245,r1i1p1f1
2026,290.36928266388145,289.1261579659731,261.2120992630956,BCC-CSM2-MR,ssp245,r1i1p1f1
2027,290.3780305248109,289.16255304210864,261.86930574256934,BCC-CSM2-MR,ssp245,r1i1p1f1
2028,290.46533767890287,289.27660749840356,262.5839642775188,BCC-CSM2-MR,ssp245,r1i1p1f1
2029,290.4362588746166,289.258604687466,262.814670167364,BCC-CSM2-MR,ssp245,r1i1p1f1
2030,290.4786212681255,289.2503018153153,261.6686912421155,BCC-CSM2-MR,ssp245,r1i1p1f1
2031,290.4396166321289,289.25146871474215,262.57190006854097,BCC-CSM2-MR,ssp245,r1i1p1f1
2032,290.42667097373993,289.2272218403432,262.29388717400616,BCC-CSM2-MR,ssp245,r1i1p1f1
2033,290.4155781628809,289.1933706748628,261.74900276467906,BCC-CSM2-MR,ssp245,r1i1p1f1
2034,290.427134190263,289.21816851493725,262.0711422450941,BCC-CSM2-MR,ssp245,r1i1p1f1
2035,290.5863640809565,289.4044973076056,262.86597020263565,BCC-CSM2-MR,ssp245,r1i1p1f1
2036,290.5290031609424,289.31912330583896,262.151569354404,BCC-CSM2-MR,ssp245,r1i1p1f1
2037,290.61775800098076,289.4036242652964,262.1405504738546,BCC-CSM2-MR,ssp245,r1i1p1f1
2038,290.81169701622764,289.63349072032315,263.1771587342286,BCC-CSM2-MR,ssp245,r1i1p1f1
2039,290.8393094722378,289.67137491668234,263.44569232847977,BCC-CSM2-MR,ssp245,r1i1p1f1
2040,290.7830841584599,289.62623043887123,263.6493652912537,BCC-CSM2-MR,ssp245,r1i1p1f1
2041,290.74878393759934,289.55379250616,262.7205544386064,BCC-CSM2-MR,ssp245,r1i1p1f1
2042,290.8163166904922,289.6042416897977,262.3873962851439,BCC-CSM2-MR,ssp245,r1i1p1f1
2043,290.9099651175375,289.7124382529576,262.82226765913026,BCC-CSM2-MR,ssp245,r1i1p1f1
2044,290.9062471308763,289.74641712534134,263.7027202103553,BCC-CSM2-MR,ssp245,r1i1p1f1
2045,290.8704276338164,289.716456286747,263.8043141036391,BCC-CSM2-MR,ssp245,r1i1p1f1
2046,290.94447644049546,289.734355041106,262.561377272259,BCC-CSM2-MR,ssp245,r1i1p1f1
2047,290.82038581094105,289.5998197470784,262.19230961174674,BCC-CSM2-MR,ssp245,r1i1p1f1
2048,290.86804407492417,289.63821546306764,262.0227170954412,BCC-CSM2-MR,ssp245,r1i1p1f1
2049,290.78536418040414,289.6216301939472,263.490270349556,BCC-CSM2-MR,ssp245,r1i1p1f1
2050,290.7746676152971,289.5714428499877,262.5533272996246,BCC-CSM2-MR,ssp245,r1i1p1f1
2051,290.92184028593977,289.7215453090651,262.7692174359027,BCC-CSM2-MR,ssp245,r1i1p1f1
2052,290.9254271594945,289.75134510718755,263.3876219945871,BCC-CSM2-MR,ssp245,r1i1p1f1
2053,290.95525626713584,289.7455420916732,262.58170843573606,BCC-CSM2-MR,ssp245,r1i1p1f1
2054,290.9628311450231,289.79495621204904,263.5706124342219,BCC-CSM2-MR,ssp245,r1i1p1f1
2055,290.9631316769898,289.7891735517024,263.42823318978003,BCC-CSM2-MR,ssp245,r1i1p1f1
2056,291.0991196742986,289.9286986393287,263.64718276871105,BCC-CSM2-MR,ssp245,r1i1p1f1
2057,291.1652783100743,290.0097282900704,264.0621373953134,BCC-CSM2-MR,ssp245,r1i1p1f1
2058,291.1610948181582,290.02977848858495,264.6263491396513,BCC-CSM2-MR,ssp245,r1i1p1f1
2059,291.240478826203,290.0736684420251,263.87322884504493,BCC-CSM2-MR,ssp245,r1i1p1f1
2060,291.2618777348896,290.0830236969513,263.61214682313437,BCC-CSM2-MR,ssp245,r1i1p1f1
2061,291.1534803674251,290.00695440182005,264.26199642445766,BCC-CSM2-MR,ssp245,r1i1p1f1
2062,291.1195807982946,289.9551383982284,263.8078713008432,BCC-CSM2-MR,ssp245,r1i1p1f1
2063,291.2595536043345,290.0996779166768,264.05495522088086,BCC-CSM2-MR,ssp245,r1i1p1f1
2064,291.18725079505157,290.035255049093,264.1674745020131,BCC-CSM2-MR,ssp245,r1i1p1f1
2065,291.3028900785685,290.1504656331141,264.27305874451554,BCC-CSM2-MR,ssp245,r1i1p1f1
2066,291.20287543088665,290.075340912886,264.7568312107245,BCC-CSM2-MR,ssp245,r1i1p1f1
2067,291.1504187638044,290.0212689625797,264.6664884737372,BCC-CSM2-MR,ssp245,r1i1p1f1
2068,291.30879791328294,290.1488749800056,264.10309139546916,BCC-CSM2-MR,ssp245,r1i1p1f1
2069,291.3631125604328,290.2006515737398,264.0978766252936,BCC-CSM2-MR,ssp245,r1i1p1f1
2070,291.3190000390998,290.1680353075857,264.323405935743,BCC-CSM2-MR,ssp245,r1i1p1f1
2071,291.20074623061447,290.06686639880706,264.60587423902103,BCC-CSM2-MR,ssp245,r1i1p1f1
2072,291.26821586460693,290.1228017768774,264.40281074316846,BCC-CSM2-MR,ssp245,r1i1p1f1
2073,291.24601249490513,290.0893289067463,264.11628401845513,BCC-CSM2-MR,ssp245,r1i1p1f1
2074,291.28620906652674,290.180678594218,265.35626431480574,BCC-CSM2-MR,ssp245,r1i1p1f1
2075,291.33030836976525,290.19580677865804,264.72085316703834,BCC-CSM2-MR,ssp245,r1i1p1f1
2076,291.36786239652554,290.2500621806878,265.1501338344147,BCC-CSM2-MR,ssp245,r1i1p1f1
2077,291.36473227827963,290.23316544160815,264.82411101752234,BCC-CSM2-MR,ssp245,r1i1p1f1
2078,291.32802256051116,290.1766877459183,264.3237482497553,BCC-CSM2-MR,ssp245,r1i1p1f1
2079,291.27158154628165,290.12214218144203,264.3117645423197,BCC-CSM2-MR,ssp245,r1i1p1f1
2080,291.2691922077969,290.0703915245054,263.15161764546315,BCC-CSM2-MR,ssp245,r1i1p1f1
2081,291.2493434487108,290.08855807441125,264.0234085892792,BCC-CSM2-MR,ssp245,r1i1p1f1
2082,291.25087456337485,290.1578465301543,265.6141714390374,BCC-CSM2-MR,ssp245,r1i1p1f1
2083,291.3258327449489,290.2094805805744,265.14206787301464,BCC-CSM2-MR,ssp245,r1i1p1f1
2084,291.3759771317303,290.2547091178856,265.0769122220633,BCC-CSM2-MR,ssp245,r1i1p1f1
2085,291.3534401464607,290.23693074544065,265.1659873277581,BCC-CSM2-MR,ssp245,r1i1p1f1
2086,291.3603209838841,290.1928180319875,263.97682699757496,BCC-CSM2-MR,ssp245,r1i1p1f1
2087,291.5206620160686,290.37933479886004,264.7511134354219,BCC-CSM2-MR,ssp245,r1i1p1f1
2088,291.5176943353222,290.3751117833127,264.7187021863188,BCC-CSM2-MR,ssp245,r1i1p1f1
2089,291.5302453731518,290.38617448840955,264.69634474672455,BCC-CSM2-MR,ssp245,r1i1p1f1
2090,291.54495755899836,290.40782205456765,264.87372456843957,BCC-CSM2-MR,ssp245,r1i1p1f1
2091,291.4641551968453,290.3527297587674,265.39594547592145,BCC-CSM2-MR,ssp245,r1i1p1f1
2092,291.63881931840905,290.51404498167085,265.2575144694666,BCC-CSM2-MR,ssp245,r1i1p1f1
