year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,289.3136215722896,288.0828714577752,258.41626449136453,BCC-ESM1,historical,r1i1p1f1
1851,289.238497565025,288.0202140395481,258.6541078757188,BCC-ESM1,historical,r1i1p1f1
1852,289.2656007860831,287.9952823022632,257.3748998726918,BCC-ESM1,historical,r1i1p1f1
1853,289.28970932894794,288.0314931514462,257.7028306743726,BCC-ESM1,historical,r1i1p1f1
1854,289.2619076615279,287.99129074425605,257.36371472777216,BCC-ESM1,historical,r1i1p1f1
1855,289.2963447657048,288.0750545150014,258.63647276535005,BCC-ESM1,historical,r1i1p1f1
1856,289.32741775621446,288.0987921097452,258.48339436751303,BCC-ESM1,historical,r1i1p1f1
1857,289.35515606721503,288.1086117007233,258.06129230521225,BCC-ESM1,historical,r1i1p1f1
1858,289.3756154471964,288.1431698682614,258.4356945923451,BCC-ESM1,historical,r1i1p1f1
1859,289.33706444608714,288.1357049580102,259.1775441276182,BCC-ESM1,historical,r1i1p1f1
1860,289.36624650732745,288.16192389833867,259.1323385420043,BCC-ESM1,historical,r1i1p1f1
1861,289.3516358296328,288.1489863021598,259.15972972674433,BCC-ESM1,historical,r1i1p1f1
1862,289.2709026766914,288.05004229802347,258.6218223956482,BCC-ESM1,historical,r1i1p1f1
1863,289.3075108533301,288.05433861987007,257.84725785438496,BCC-ESM1,historical,r1i1p1f1
1864,289.36696932494505,288.15203134198964,258.86656778292814,BCC-ESM1,historical,r1i1p1f1
1865,289.29695381128755,288.0412522803093,257.77320408162745,BCC-ESM1,historical,r1i1p1f1
1866,289.288220610291,288.0655711295251,258.5942258289827,BCC-ESM1,historical,r1i1p1f1
1867,289.261544734336,288.01498937534154,257.9674050111235,BCC-ESM1,historical,r1i1p1f1
1868,289.3763912417543,288.12192527302415,257.88365967533633,BCC-ESM1,historical,r1i1p1f1
1869,289.3014377922537,288.04439826262933,257.74409828558777,BCC-ESM1,historical,r1i1p1f1
1870,289.2965380294106,288.0614999549816,258.2915338907576,BCC-ESM1,historical,r1i1p1f1
1871,289.3166995047007,288.08774116869455,258.46432411396484,BCC-ESM1,historical,r1i1p1f1
1872,289.3584124365582,288.1805168893524,259.78794244687765,BCC-ESM1,historical,r1i1p1f1
1873,289.3367129001522,288.09609160615844,258.1915448675396,BCC-ESM1,historical,r1i1p1f1
1874,289.2116429031421,287.9703500676252,258.04961616137183,BCC-ESM1,historical,r1i1p1f1
1875,289.277314438541,288.0466704357701,258.38262123908993,BCC-ESM1,historical,r1i1p1f1
1876,289.3445680937531,288.1130515164246,258.4279693528275,BCC-ESM1,historical,r1i1p1f1
1877,289.3663091910151,288.1467545723846,258.7500093531363,BCC-ESM1,historical,r1i1p1f1
1878,289.3436802506504,288.1373482160842,259.059326675891,BCC-ESM1,historical,r1i1p1f1
1879,289.3919007871677,288.1656396206293,258.60723646729383,BCC-ESM1,historical,r1i1p1f1
1880,289.43268383715656,288.2212706202057,259.0207697570524,BCC-ESM1,historical,r1i1p1f1
1881,289.4993394649782,288.3098209068147,259.63707968331056,BCC-ESM1,historical,r1i1p1f1
1882,289.3866020388396,288.17409048520796,258.9471147737208,BCC-ESM1,historical,r1i1p1f1
1883,289.3428371837482,288.1193276305403,258.6272507202142,BCC-ESM1,historical,r1i1p1f1
1884,289.0891381537064,287.8667611353539,258.40198340298736,BCC-ESM1,historical,r1i1p1f1
1885,289.07043180223747,287.8061742535794,257.3318875904825,BCC-ESM1,historical,r1i1p1f1
1886,289.17768852555935,287.9264362802199,257.76563585406814,BCC-ESM1,historical,r1i1p1f1
1887,289.2225347326307,287.97169706996436,257.8208899487827,BCC-ESM1,historical,r1i1p1f1
1888,289.2370624439986,287.99470685010857,258.04835569254163,BCC-ESM1,historical,r1i1p1f1
1889,289.2102524753842,287.9694130810672,258.059609144832,BCC-ESM1,historical,r1i1p1f1
1890,289.11631412370787,287.8832228663758,258.16018384036107,BCC-ESM1,historical,r1i1p1f1
1891,289.2061136579456,287.93905000349037,257.39712358410816,BCC-ESM1,historical,r1i1p1f1
1892,289.1994978770082,287.934842682307,257.4509709631012,BCC-ESM1,historical,r1i1p1f1
1893,289.2497750381049,288.02667034156025,258.5443522956533,BCC-ESM1,historical,r1i1p1f1
