year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,288.45723390742626,287.1784757533422,258.46427657448834,CAMS-CSM1-0,historical,r1i1p1f1
1851,288.39337531866687,287.13056903770376,258.77456523818074,CAMS-CSM1-0,historical,r1i1p1f1
1852,288.5754665456083,287.31450490071296,258.9999219494481,CAMS-CSM1-0,historical,r1i1p1f1
1853,288.5788149405618,287.2917212581765,258.3903498457524,CAMS-CSM1-0,historical,r1i1p1f1
1854,288.32676776915696,287.0468465872039,258.30653190420105,CAMS-CSM1-0,historical,r1i1p1f1
1855,288.57492409880257,287.2980635811995,258.6264753618297,CAMS-CSM1-0,historical,r1i1p1f1
1856,288.46347631009684,287.1710749929435,258.15052194995394,CAMS-CSM1-0,historical,r1i1p1f1
1857,288.36675150445166,287.0984931070071,258.6200633756567,CAMS-CSM1-0,historical,r1i1p1f1
1858,288.63179711526925,287.3190006538552,257.840479673211,CAMS-CSM1-0,historical,r1i1p1f1
1859,288.52400935452357,287.2224455550587,257.9961512300115,CAMS-CSM1-0,historical,r1i1p1f1
1860,288.4563796420282,287.17110309755213,258.3105350690149,CAMS-CSM1-0,historical,r1i1p1f1
1861,288.38837417998656,287.1104563372027,258.41512614148616,CAMS-CSM1-0,historical,r1i1p1f1
1862,288.3333637025225,287.0488627334535,258.2057100595266,CAMS-CSM1-0,historical,r1i1p1f1
1863,288.26373785417553,286.9450043305109,257.33316808031833,CAMS-CSM1-0,historical,r1i1p1f1
1864,288.2333876248346,286.9264452259224,257.5793757759308,CAMS-CSM1-0,historical,r1i1p1f1
1865,288.23064480362956,286.9254787312999,257.6182962569097,CAMS-CSM1-0,historical,r1i1p1f1
1866,288.39596460733094,287.08365266190407,257.61601136833684,CAMS-CSM1-0,historical,r1i1p1f1
1867,288.22853619460636,286.93320701680733,257.8469095846395,CAMS-CSM1-0,historical,r1i1p1f1
1868,288.2212302683177,286.9371693939714,258.1038989385725,CAMS-CSM1-0,historical,r1i1p1f1
1869,288.058220691207,286.7259541481831,256.81023728371616,CAMS-CSM1-0,historical,r1i1p1f1
1870,288.0942508822798,286.78725582819015,257.4390040191602,CAMS-CSM1-0,historical,r1i1p1f1
1871,288.1984233653017,286.9043307008944,257.8457988721759,CAMS-CSM1-0,historical,r1i1p1f1
1872,288.39034996697933,287.0987456072596,258.0960880470203,CAMS-CSM1-0,historical,r1i1p1f1
1873,288.3752321381281,287.08492915762463,258.1114937469381,CAMS-CSM1-0,historical,r1i1p1f1
1874,287.9375572442396,286.6691730537044,258.187918669507,CAMS-CSM1-0,historical,r1i1p1f1
1875,288.1651616458929,286.8632129798935,257.6282765716671,CAMS-CSM1-0,historical,r1i1p1f1
1876,288.2868726558469,286.9881517450745,257.8256937849365,CAMS-CSM1-0,historical,r1i1p1f1
1877,288.40786108910027,287.13125096459095,258.4652852604248,CAMS-CSM1-0,historical,r1i1p1f1
1878,288.29914719319083,287.01838866022405,258.2592714665893,CAMS-CSM1-0,historical,r1i1p1f1
1879,288.136547697794,286.8520594874335,258.0091933071621,CAMS-CSM1-0,historical,r1i1p1f1
1880,288.23067798170905,286.92353277596516,257.5719093485484,CAMS-CSM1-0,historical,r1i1p1f1
1881,288.2342404816369,286.94213040459977,257.928117086638,CAMS-CSM1-0,historical,r1i1p1f1
1882,288.25798247849434,286.9651907551975,257.9358712384778,CAMS-CSM1-0,historical,r1i1p1f1
1883,288.47897662932917,287.1691790612202,257.7579974906183,CAMS-CSM1-0,historical,r1i1p1f1
1884,287.80072949012475,286.5068112110149,257.45219516117453,CAMS-CSM1-0,historical,r1i1p1f1
1885,287.92269020220834,286.6136465670221,257.21939437437703,CAMS-CSM1-0,historical,r1i1p1f1
1886,288.35914714075784,287.0791280773446,258.3366154902744,CAMS-CSM1-0,historical,r1i1p1f1
1887,288.3060497473926,287.0099851907817,257.9071750086374,CAMS-CSM1-0,historical,r1i1p1f1
1888,287.935920003672,286.6686922833254,258.2134061521815,CAMS-CSM1-0,historical,r1i1p1f1
1889,288.0050895809961,286.7174669537353,257.804218214491,CAMS-CSM1-0,historical,r1i1p1f1
1890,288.02203287229855,286.71404457123884,257.34348964630146,CAMS-CSM1-0,historical,r1i1p1f1
1891,288.28426341157126,286.9952675005455,258.0511820128299,CAMS-CSM1-0,historical,r1i1p1f1
1892,288.44296167441274,287.13574724533595,257.7825694250403,CAMS-CSM1-0,historical,r1i1p1f1
1893,288.35918066886967,287.06604978850305,258.02911458337434,CAMS-CSM1-0,historical,r1i1p1f1
1894,288.5124544321536,287.20707837912107,257.8951808397992,CAMS-CSM1-0,historical,r1i1p1f1
1895,288.4297138326206,287.13350038232295,258.0273468291416,CAMS-CSM1-0,historical,r1i1p1f1
1896,288.40111195832503,287.0954762806164,257.7777489331857,CAMS-CSM1-0,historical,r1i1p1f1
1897,288.3486361698316,287.0468405761403,257.8153413688647,CAMS-CSM1-0,historical,r1i1p1f1
1898,288.41775524977703,287.13014748981533,258.2172325921132,CAMS-CSM1-0,historical,r1i1p1f1
1899,288.36002711497224,287.06991602654114,258.1007895050425,CAMS-CSM1-0,historical,r1i1p1f1
1900,288.36846079725507,287.0849740935067,258.2645964973688,CAMS-CSM1-0,historical,r1i1p1f1
1901,288.4934996463488,287.20155891628445,258.191348242856,CAMS-CSM1-0,historical,r1i1p1f1
1902,288.4842729636148,287.1781806624468,257.85019994778224,CAMS-CSM1-0,historical,r1i1p1f1
1903,287.8561260214318,286.5828742726034,257.99232006662584,CAMS-CSM1-0,historical,r1i1p1f1
1904,287.97683456878957,286.7149366814056,258.37933063580897,CAMS-CSM1-0,historical,r1i1p1f1
1905,288.08207392473673,286.78795995391107,257.72894969482223,CAMS-CSM1-0,historical,r1i1p1f1
1906,288.18888669314504,286.9116671788621,258.2320177775233,CAMS-CSM1-0,historical,r1i1p1f1
1907,288.42774294804553,287.14575418468536,258.3590124707737,CAMS-CSM1-0,historical,r1i1p1f1
1908,288.32920159466255,287.047969711512,258.27822355616377,CAMS-CSM1-0,historical,r1i1p1f1
1909,288.1829588081195,286.9076681256583,258.27133016748326,CAMS-CSM1-0,historical,r1i1p1f1
1910,288.184294976022,286.9256440484221,258.66294768451485,CAMS-CSM1-0,historical,r1i1p1f1
1911,288.28742269404944,287.0000210528827,258.091734501922,CAMS-CSM1-0,historical,r1i1p1f1
1912,288.3574778805058,287.06861061160185,258.1274137510258,CAMS-CSM1-0,historical,r1i1p1f1
