year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,288.63120298614996,287.41807978929415,259.07057112877817,CAS-ESM2-0,historical,r1i1p1f1
1851,288.4726345097172,287.25972993058986,258.9173297932399,CAS-ESM2-0,historical,r1i1p1f1
1852,288.14540286403104,286.9448466821871,258.8909962155003,CAS-ESM2-0,historical,r1i1p1f1
1853,288.23167742250433,287.04514163780897,259.31891109515215,CAS-ESM2-0,historical,r1i1p1f1
1854,288.5935012684789,287.3866838319739,259.18652425901405,CAS-ESM2-0,historical,r1i1p1f1
1855,288.4864856333557,287.25064500579185,258.3722895480083,CAS-ESM2-0,historical,r1i1p1f1
1856,288.39258854191286,287.1747441891513,258.7169144925869,CAS-ESM2-0,historical,r1i1p1f1
1857,288.43212583951663,287.23769334934383,259.3269375025002,CAS-ESM2-0,historical,r1i1p1f1
1858,288.28848351867606,287.0845770816329,258.9524399343147,CAS-ESM2-0,historical,r1i1p1f1
1859,288.3627477938295,287.1506466640175,258.8270210307511,CAS-ESM2-0,historical,r1i1p1f1
1860,288.54367512004166,287.36249152249223,259.76132756158086,CAS-ESM2-0,historical,r1i1p1f1
1861,288.21948492959194,287.03014895491594,259.2384853136848,CAS-ESM2-0,historical,r1i1p1f1
1862,288.07438091641,286.88666800409834,259.1329310751275,CAS-ESM2-0,historical,r1i1p1f1
1863,288.57516092370713,287.3832984261937,259.5325965700418,CAS-ESM2-0,historical,r1i1p1f1
1864,288.6463389613344,287.44696880602055,259.4208326699318,CAS-ESM2-0,historical,r1i1p1f1
1865,288.4237294995809,287.234152634923,259.4368600263531,CAS-ESM2-0,historical,r1i1p1f1
1866,288.41085267158707,287.2434498244113,259.9643058706851,CAS-ESM2-0,historical,r1i1p1f1
1867,288.41710582843194,287.23663181105513,259.6520488784707,CAS-ESM2-0,historical,r1i1p1f1
1868,288.486736954114,287.311694842922,259.8540413170301,CAS-ESM2-0,historical,r1i1p1f1
1869,288.4834367575795,287.3001648071059,259.6502015134071,CAS-ESM2-0,historical,r1i1p1f1
1870,288.43624564423385,287.2538683442139,259.6248106861049,CAS-ESM2-0,historical,r1i1p1f1
1871,288.2586550653646,287.0622145208781,259.10453570924824,CAS-ESM2-0,historical,r1i1p1f1
1872,288.48664326412,287.3061197637459,259.7203805432454,CAS-ESM2-0,historical,r1i1p1f1
1873,288.4941695941479,287.30693712284506,259.5644268406797,CAS-ESM2-0,historical,r1i1p1f1
1874,288.31511059118884,287.1218073755236,259.2374397133002,CAS-ESM2-0,historical,r1i1p1f1
1875,288.4995893276801,287.302729296856,259.3352481892882,CAS-ESM2-0,historical,r1i1p1f1
1876,288.5924911140653,287.3877854575048,259.23697264538583,CAS-ESM2-0,historical,r1i1p1f1
1877,288.447252934609,287.2337187847795,258.87660723066153,CAS-ESM2-0,historical,r1i1p1f1
1878,288.33189737493745,287.1409346350673,259.3112577561408,CAS-ESM2-0,historical,r1i1p1f1
1879,288.3924000957574,287.2037953934259,259.4292196697005,CAS-ESM2-0,historical,r1i1p1f1
1880,288.4942950022302,287.28967691600593,259.14091039306106,CAS-ESM2-0,historical,r1i1p1f1
1881,288.3174800256182,287.109089751657,258.87217709086417,CAS-ESM2-0,historical,r1i1p1f1
1882,288.3310919430397,287.13572154281417,259.20304919696457,CAS-ESM2-0,historical,r1i1p1f1
1883,288.450964247138,287.24548591835173,259.07661778203607,CAS-ESM2-0,historical,r1i1p1f1
1884,287.8543451198033,286.6328458381588,258.08961003574376,CAS-ESM2-0,historical,r1i1p1f1
1885,287.91986830563474,286.7082266467029,258.395337643315,CAS-ESM2-0,historical,r1i1p1f1
1886,288.0442185255397,286.8656107845508,259.3246378383293,CAS-ESM2-0,historical,r1i1p1f1
1887,288.3638919587962,287.1658847401299,259.17159686027804,CAS-ESM2-0,historical,r1i1p1f1
1888,288.5260903986955,287.3398514094552,259.6205561984755,CAS-ESM2-0,historical,r1i1p1f1
1889,288.4460552593707,287.23205760788954,258.86411523534065,CAS-ESM2-0,historical,r1i1p1f1
1890,288.4302709650959,287.25567036326026,259.80833375351415,CAS-ESM2-0,historical,r1i1p1f1
1891,288.20431455862735,287.03646482103903,259.7468782099896,CAS-ESM2-0,historical,r1i1p1f1
1892,288.26706091811894,287.07428904915446,259.20233756629233,CAS-ESM2-0,historical,r1i1p1f1
1893,288.4921898107743,287.2736347845037,258.7991985112085,CAS-ESM2-0,historical,r1i1p1f1
1894,288.2126537696085,287.01077472697705,258.9260124718393,CAS-ESM2-0,historical,r1i1p1f1
1895,288.28215687326696,287.10463285106573,259.5889835717242,CAS-ESM2-0,historical,r1i1p1f1
1896,288.56805100525474,287.3816399252907,259.65832340526305,CAS-ESM2-0,historical,r1i1p1f1
1897,288.4786962480818,287.28310341105,259.345233300202,CAS-ESM2-0,historical,r1i1p1f1
1898,288.30507933541793,287.11297388176024,259.2565947774801,CAS-ESM2-0,historical,r1i1p1f1
1899,288.4745533891894,287.3049002794078,259.97317358810596,CAS-ESM2-0,historical,r1i1p1f1
1900,288.4472657977321,287.2636821737272,259.6064358867159,CAS-ESM2-0,historical,r1i1p1f1
