year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,289.13245611740325,287.9726512032619,260.8710510250182,CAS-ESM2-0,ssp245,r1i1p1f1
2016,289.18330682490125,288.0348640307005,261.1987668073502,CAS-ESM2-0,ssp245,r1i1p1f1
2017,289.3703073973482,288.20941052936803,261.08229425268837,CAS-ESM2-0,ssp245,r1i1p1f1
2018,289.31253961888666,288.1443861616406,260.8477024184477,CAS-ESM2-0,ssp245,r1i1p1f1
2019,289.12818075516236,287.9766461101944,261.0683004403327,CAS-ESM2-0,ssp245,r1i1p1f1
2020,289.3120927879048,288.1570546224943,261.1668408650883,CAS-ESM2-0,ssp245,r1i1p1f1
2021,289.3477647894663,288.2274334759341,262.0482278558232,CAS-ESM2-0,ssp245,r1i1p1f1
2022,289.3437580455884,288.20361028239466,261.5613461865596,CAS-ESM2-0,ssp245,r1i1p1f1
2023,289.5793514404391,288.45663121182804,262.22160290935585,CAS-ESM2-0,ssp245,r1i1p1f1
2024,289.547200185465,288.42433814089514,262.1859959712593,CAS-ESM2-0,ssp245,r1i1p1f1
2025,289.6847566579932,288.5372369857242,261.7227107017733,CAS-ESM2-0,ssp245,r1i1p1f1
2026,289.83339928260665,288.69302088357233,262.04536743280636,CAS-ESM2-0,ssp245,r1i1p1f1
2027,289.57547603041627,288.45138012828966,262.1842059423666,CAS-ESM2-0,ssp245,r1i1p1f1
2028,289.42124690303314,288.30287604635095,262.1694811630902,CAS-ESM2-0,ssp245,r1i1p1f1
2029,289.79139483301964,288.69812199711515,263.15120205984323,CAS-ESM2-0,ssp245,r1i1p1f1
2030,289.9044430508968,288.7956062679874,262.88499769327376,CAS-ESM2-0,ssp245,r1i1p1f1
2031,289.7324258775829,288.61599791566465,262.52800338933736,CAS-ESM2-0,ssp245,r1i1p1f1
2032,289.4332921232787,288.3102587645144,262.0679134312938,CAS-ESM2-0,ssp245,r1i1p1f1
2033,289.56030770062586,288.43219446727,262.0711457827745,CAS-ESM2-0,ssp245,r1i1p1f1
2034,289.4435492056533,288.2892459421135,261.3162049147297,CAS-ESM2-0,ssp245,r1i1p1f1
2035,289.3225126026485,288.1722731702032,261.29419322133555,CAS-ESM2-0,ssp245,r1i1p1f1
2036,289.8740663286475,288.7623063806221,262.78339110082544,CAS-ESM2-0,ssp245,r1i1p1f1
2037,289.9083688126311,288.7982400763488,262.8574419384297,CAS-ESM2-0,ssp245,r1i1p1f1
2038,289.8742256308554,288.75678015021646,262.6450088790201,CAS-ESM2-0,ssp245,r1i1p1f1
2039,289.6459357467338,288.52356423041715,262.29668442004225,CAS-ESM2-0,ssp245,r1i1p1f1
2040,289.6295529095609,288.5141156063403,262.44927017656465,CAS-ESM2-0,ssp245,r1i1p1f1
2041,289.8011827854948,288.68743048834324,262.6619592328127,CAS-ESM2-0,ssp245,r1i1p1f1
2042,289.89566455012556,288.7852270100469,262.83721293699784,CAS-ESM2-0,ssp245,r1i1p1f1
2043,289.9006480130985,288.76848651547533,262.3128405084104,CAS-ESM2-0,ssp245,r1i1p1f1
2044,289.8723515826754,288.75998452047173,262.7668825739987,CAS-ESM2-0,ssp245,r1i1p1f1
2045,290.09889703738406,288.99643391364526,263.2347610439017,CAS-ESM2-0,ssp245,r1i1p1f1
2046,290.2351133962727,289.1379692833097,263.500587750522,CAS-ESM2-0,ssp245,r1i1p1f1
2047,290.0949619674013,288.9803210493511,262.93408505312715,CAS-ESM2-0,ssp245,r1i1p1f1
2048,290.2813781920216,289.178168865074,263.39905918266817,CAS-ESM2-0,ssp245,r1i1p1f1
2049,290.32305058304627,289.2388305727755,263.9034514367323,CAS-ESM2-0,ssp245,r1i1p1f1
2050,290.27938476596665,289.1901573929057,263.73776931628385,CAS-ESM2-0,ssp245,r1i1p1f1
2051,290.5531887021887,289.434871421573,263.3027284705225,CAS-ESM2-0,ssp245,r1i1p1f1
2052,290.3366243641174,289.2560665981926,264.0062645111964,CAS-ESM2-0,ssp245,r1i1p1f1
2053,290.20188930841397,289.1343948586397,264.18984822193073,CAS-ESM2-0,ssp245,r1i1p1f1
2054,290.00403017138694,288.93361102608077,263.9207219224792,CAS-ESM2-0,ssp245,r1i1p1f1
2055,290.27854925204616,289.2056776522169,264.1354811160199,CAS-ESM2-0,ssp245,r1i1p1f1
2056,290.2163421807807,289.13201755547874,263.79419384042495,CAS-ESM2-0,ssp245,r1i1p1f1
2057,290.4242359793984,289.3192132908598,263.4977301021622,CAS-ESM2-0,ssp245,r1i1p1f1
2058,290.6476767830271,289.55723946336445,264.0765781067808,CAS-ESM2-0,ssp245,r1i1p1f1
2059,290.5886907623579,289.5481538995275,265.2335353948795,CAS-ESM2-0,ssp245,r1i1p1f1
2060,290.5702293654365,289.48050574932586,264.0165217736333,CAS-ESM2-0,ssp245,r1i1p1f1
2061,290.6480723493415,289.5866902001562,264.7849720035648,CAS-ESM2-0,ssp245,r1i1p1f1
2062,290.74201458588135,289.6642832678058,264.4805278569305,CAS-ESM2-0,ssp245,r1i1p1f1
2063,290.6920043469534,289.57946516308226,263.5823411844927,CAS-ESM2-0,ssp245,r1i1p1f1
2064,290.8934362398408,289.8117044205451,264.53446778429037,CAS-ESM2-0,ssp245,r1i1p1f1
2065,290.92228188082146,289.8579795383661,264.98802408094116,CAS-ESM2-0,ssp245,r1i1p1f1
2066,290.876813595562,289.79731027276046,264.5721477571131,CAS-ESM2-0,ssp245,r1i1p1f1
2067,290.72915336677664,289.6583299647625,264.6359944417409,CAS-ESM2-0,ssp245,r1i1p1f1
2068,290.94580777186434,289.87516137176334,264.8569619194019,CAS-ESM2-0,ssp245,r1i1p1f1
2069,291.0136593664633,289.93693809400617,264.77678480119675,CAS-ESM2-0,ssp245,r1i1p1f1
2070,290.85044236758745,289.76807519886245,264.47599211214214,CAS-ESM2-0,ssp245,r1i1p1f1
2071,290.8749264588099,289.79990076440896,264.6793686854713,CAS-ESM2-0,ssp245,r1i1p1f1
2072,291.0670137831694,290.0020762223754,265.1172773777332,CAS-ESM2-0,ssp245,r1i1p1f1
2073,290.96237208579635,289.89616815447147,264.9817775505666,CAS-ESM2-0,ssp245,r1i1p1f1
2074,291.0988935378072,290.0748483557943,266.1455971955421,CAS-ESM2-0,ssp245,r1i1p1f1
2075,291.15330700453717,290.0905665833949,265.25710913216034,CAS-ESM2-0,ssp245,r1i1p1f1
2076,291.1235808592242,290.0654073217315,265.3386659683723,CAS-ESM2-0,ssp245,r1i1p1f1
2077,291.031844112328,290.0107986796789,266.1516437976102,CAS-ESM2-0,ssp245,r1i1p1f1
2078,291.0656401797712,290.0283148882396,265.7887423850568,CAS-ESM2-0,ssp245,r1i1p1f1
2079,291.22275415665587,290.16354090798245,265.412504230142,CAS-ESM2-0,ssp245,r1i1p1f1
2080,291.2366320385575,290.1999618535496,265.9756974723295,CAS-ESM2-0,ssp245,r1i1p1f1
2081,291.23271742535877,290.19833510744917,266.0275321822039,CAS-ESM2-0,ssp245,r1i1p1f1
2082,291.4622668774867,290.4154225841614,265.9534159650649,CAS-ESM2-0,ssp245,r1i1p1f1
