year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,288.30677765195475,287.09151250276904,259.4068052049987,CESM2-FV2,historical,r1i1p1f1
1851,288.17931429320646,286.96540733992305,259.3116408257562,CESM2-FV2,historical,r1i1p1f1
1852,288.305519820062,287.09536023947595,259.526961857798,CESM2-FV2,historical,r1i1p1f1
1853,288.37283850080826,287.18654708868803,260.1618845807384,CESM2-FV2,historical,r1i1p1f1
1854,288.407551939509,287.1873481701772,259.3901351749436,CESM2-FV2,historical,r1i1p1f1
1855,288.2098921965821,286.9845078314918,259.06927674177865,CESM2-FV2,historical,r1i1p1f1
1856,288.3436958569102,287.1510474762992,259.98156816678426,CESM2-FV2,historical,r1i1p1f1
1857,288.3192152248403,287.1521501071229,260.5654778874028,CESM2-FV2,historical,r1i1p1f1
1858,288.2461631834896,287.0162491892095,258.9978295415321,CESM2-FV2,historical,r1i1p1f1
1859,288.5457993669171,287.3694374447913,260.5709766215493,CESM2-FV2,historical,r1i1p1f1
1860,288.4124710287706,287.2248038730538,260.1688008310603,CESM2-FV2,historical,r1i1p1f1
1861,288.40273433588703,287.2261105312231,260.4216838153332,CESM2-FV2,historical,r1i1p1f1
1862,288.4902979811833,287.32085084661674,260.6799143872869,CESM2-FV2,historical,r1i1p1f1
1863,288.5380127616067,287.3354519221457,259.94015891095023,CESM2-FV2,historical,r1i1p1f1
1864,288.4010573337487,287.2394476144318,260.77705371208793,CESM2-FV2,historical,r1i1p1f1
1865,288.4829368017239,287.3109706907457,260.6126499439615,CESM2-FV2,historical,r1i1p1f1
1866,288.5915176672994,287.37507401501745,259.66351947876217,CESM2-FV2,historical,r1i1p1f1
1867,288.4424437743024,287.2536850447415,260.1728150818099,CESM2-FV2,historical,r1i1p1f1
1868,288.43291909376325,287.2374829968785,260.0044972919637,CESM2-FV2,historical,r1i1p1f1
1869,288.43439823990366,287.2502090286085,260.2734363285467,CESM2-FV2,historical,r1i1p1f1
1870,288.45008857587504,287.25378730151624,260.0010921651723,CESM2-FV2,historical,r1i1p1f1
1871,288.4187956139589,287.19635217599443,259.34811774682134,CESM2-FV2,historical,r1i1p1f1
1872,288.35875797244245,287.1854197166646,260.455840419293,CESM2-FV2,historical,r1i1p1f1
1873,288.43049424913136,287.2360957096412,260.0267463879401,CESM2-FV2,historical,r1i1p1f1
1874,288.56369658834825,287.41859182470614,261.33219394851756,CESM2-FV2,historical,r1i1p1f1
1875,288.5788427825001,287.4274578167773,261.1979919389339,CESM2-FV2,historical,r1i1p1f1
1876,288.4493564332743,287.3136505498875,261.4413666462485,CESM2-FV2,historical,r1i1p1f1
1877,288.4422011778173,287.2639563292256,260.4226009425149,CESM2-FV2,historical,r1i1p1f1
1878,288.4167580333581,287.2184382442619,259.9197597357128,CESM2-FV2,historical,r1i1p1f1
1879,288.57692846321385,287.38919747172224,260.3317401999632,CESM2-FV2,historical,r1i1p1f1
1880,288.44074822973437,287.25605998853104,260.2679189899933,CESM2-FV2,historical,r1i1p1f1
1881,288.3270494328673,287.15911341503397,260.55260139754444,CESM2-FV2,historical,r1i1p1f1
1882,288.45939331464666,287.2401677745071,259.4652396188256,CESM2-FV2,historical,r1i1p1f1
1883,288.45286938106415,287.2617584739575,260.12730403450166,CESM2-FV2,historical,r1i1p1f1
1884,288.3514020499904,287.1570772683882,259.94940821008896,CESM2-FV2,historical,r1i1p1f1
1885,288.2494424398502,287.08370823430744,260.5273552531664,CESM2-FV2,historical,r1i1p1f1
1886,288.30543889371575,287.10947592234027,259.8644875972036,CESM2-FV2,historical,r1i1p1f1
1887,288.2865304282085,287.09480250831245,259.94629202644984,CESM2-FV2,historical,r1i1p1f1
1888,288.30915603939235,287.1580685728169,260.9353799623211,CESM2-FV2,historical,r1i1p1f1
1889,288.1971866952374,287.01244468391616,260.02307875930813,CESM2-FV2,historical,r1i1p1f1
1890,288.20545824659,286.9981839709083,259.49551513128813,CESM2-FV2,historical,r1i1p1f1
1891,288.3268127274945,287.1348093577054,259.98002390805965,CESM2-FV2,historical,r1i1p1f1
1892,288.4223200290082,287.25290071792443,260.61259809966924,CESM2-FV2,historical,r1i1p1f1
1893,288.42848433365026,287.2562564345586,260.55197194620354,CESM2-FV2,historical,r1i1p1f1
1894,288.5599391844011,287.4243135867113,261.5538586551468,CESM2-FV2,historical,r1i1p1f1
1895,288.50245792316633,287.31880337587717,260.35421074739605,CESM2-FV2,historical,r1i1p1f1
1896,288.3557561019554,287.18015716726103,260.3990778049466,CESM2-FV2,historical,r1i1p1f1
1897,288.43928292179874,287.263187381833,260.47079495620693,CESM2-FV2,historical,r1i1p1f1
1898,288.4820776288522,287.2783116900311,259.8555655562974,CESM2-FV2,historical,r1i1p1f1
1899,288.22966650063466,287.0492379818594,260.1581368504341,CESM2-FV2,historical,r1i1p1f1
1900,288.30616859697915,287.13589852778443,260.4762149626634,CESM2-FV2,historical,r1i1p1f1
1901,288.4748626706971,287.3319119460677,261.29458479293123,CESM2-FV2,historical,r1i1p1f1
1902,288.4913822458791,287.35591572196097,261.4890846175224,CESM2-FV2,historical,r1i1p1f1
1903,288.271293128234,287.0986108208718,260.38397455045543,CESM2-FV2,historical,r1i1p1f1
1904,288.3132037460588,287.1491227510887,260.6304312225378,CESM2-FV2,historical,r1i1p1f1
1905,288.43530429265786,287.2667324435576,260.6457356837571,CESM2-FV2,historical,r1i1p1f1
1906,288.38150374171704,287.2477064550417,261.41890190349693,CESM2-FV2,historical,r1i1p1f1
1907,288.20579681342537,287.02803856011843,260.19776820126367,CESM2-FV2,historical,r1i1p1f1
1908,288.4997212478198,287.36361523754715,261.48221612500225,CESM2-FV2,historical,r1i1p1f1
1909,288.46145141384085,287.27924840185204,260.3477229027497,CESM2-FV2,historical,r1i1p1f1
