year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,288.6306478272658,287.3733000693244,258.7299174515904,CESM2-WACCM-FV2,historical,r1i1p1f1
1851,288.67868863346666,287.4551947612501,259.5830306037995,CESM2-WACCM-FV2,historical,r1i1p1f1
1852,288.49406726225794,287.24455292619893,258.779621893371,CESM2-WACCM-FV2,historical,r1i1p1f1
1853,288.4182986372898,287.2083166110712,259.6439630591869,CESM2-WACCM-FV2,historical,r1i1p1f1
1854,288.2878563913986,287.02673507347197,258.29738775600134,CESM2-WACCM-FV2,historical,r1i1p1f1
1855,288.37246524145314,287.14393135166887,259.15695158279783,CESM2-WACCM-FV2,historical,r1i1p1f1
1856,288.5183917577474,287.3273297420141,260.1939890869596,CESM2-WACCM-FV2,historical,r1i1p1f1
1857,288.618738629441,287.4769653451839,261.4664612208286,CESM2-WACCM-FV2,historical,r1i1p1f1
1858,288.51426672259913,287.3241411531504,260.21213348974754,CESM2-WACCM-FV2,historical,r1i1p1f1
1859,288.72236399230485,287.55660923538056,260.99978807740604,CESM2-WACCM-FV2,historical,r1i1p1f1
1860,288.6989827682623,287.4734351264033,259.55448446194936,CESM2-WACCM-FV2,historical,r1i1p1f1
1861,288.48374505538715,287.2744201440647,259.72503619250267,CESM2-WACCM-FV2,historical,r1i1p1f1
1862,288.32506778566204,287.1145259430702,259.53741932866365,CESM2-WACCM-FV2,historical,r1i1p1f1
1863,288.3891691098159,287.2287910905701,260.7944562961234,CESM2-WACCM-FV2,historical,r1i1p1f1
1864,288.326853940261,287.12806573135924,259.81871624683436,CESM2-WACCM-FV2,historical,r1i1p1f1
1865,288.4435605716032,287.2382826111814,259.7810914219947,CESM2-WACCM-FV2,historical,r1i1p1f1
1866,288.54421850008123,287.33534475940445,259.7962388342281,CESM2-WACCM-FV2,historical,r1i1p1f1
1867,288.3841482539642,287.17344200995876,259.59259020050405,CESM2-WACCM-FV2,historical,r1i1p1f1
1868,288.43498908463454,287.2172958122763,259.47727393614844,CESM2-WACCM-FV2,historical,r1i1p1f1
1869,288.47029302072417,287.2819590524565,260.21076548985104,CESM2-WACCM-FV2,historical,r1i1p1f1
1870,288.4759421520439,287.3012093741642,260.5398617534482,CESM2-WACCM-FV2,historical,r1i1p1f1
1871,288.63076665346875,287.4600684571097,260.7906318144512,CESM2-WACCM-FV2,historical,r1i1p1f1
1872,288.5903252904103,287.3866583165297,259.9661666829018,CESM2-WACCM-FV2,historical,r1i1p1f1
