year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,288.10677237463034,286.88682916918805,259.9477801016308,CESM2-WACCM,historical,r1i1p1f1
1851,287.93676988009787,286.7001051602128,259.3918080030322,CESM2-WACCM,historical,r1i1p1f1
1852,288.034107091916,286.82341468495855,260.08864374542503,CESM2-WACCM,historical,r1i1p1f1
1853,288.01129722104093,286.7638271049701,259.2169228579355,CESM2-WACCM,historical,r1i1p1f1
1854,287.98149999986924,286.7453313023177,259.4479874173258,CESM2-WACCM,historical,r1i1p1f1
1855,288.1133317967959,286.90335234796,260.18432510348623,CESM2-WACCM,historical,r1i1p1f1
1856,288.1996920667618,286.9924174167768,260.33311812409386,CESM2-WACCM,historical,r1i1p1f1
1857,288.1592532146201,286.97794393931497,260.89201765238545,CESM2-WACCM,historical,r1i1p1f1
1858,288.0001426990506,286.7948204287815,260.17863400621314,CESM2-WACCM,historical,r1i1p1f1
1859,288.18268271895346,286.93781697859157,259.44842311785726,CESM2-WACCM,historical,r1i1p1f1
1860,288.11023218575275,286.9254812156138,260.76355468081465,CESM2-WACCM,historical,r1i1p1f1
1861,287.9870686477419,286.7474684270073,259.37434890672813,CESM2-WACCM,historical,r1i1p1f1
1862,287.9453539907058,286.66804214096646,258.46216629264813,CESM2-WACCM,historical,r1i1p1f1
1863,288.03943774033837,286.7819117234917,259.01295090594357,CESM2-WACCM,historical,r1i1p1f1
1864,288.09423802471497,286.8508960853082,259.3951511260317,CESM2-WACCM,historical,r1i1p1f1
1865,288.1409436703168,286.89872606216875,259.46780882832104,CESM2-WACCM,historical,r1i1p1f1
1866,288.30422979332013,287.0743994727972,259.91702099686864,CESM2-WACCM,historical,r1i1p1f1
1867,288.296762151283,287.07878431477917,260.18313494815584,CESM2-WACCM,historical,r1i1p1f1
1868,288.22621618244693,287.0475549052986,261.02010228497903,CESM2-WACCM,historical,r1i1p1f1
1869,288.08866224696135,286.86792920014346,259.9114386849216,CESM2-WACCM,historical,r1i1p1f1
1870,288.19775431026983,286.9761978118104,260.00152365978107,CESM2-WACCM,historical,r1i1p1f1
1871,288.1895930259039,287.0277563224745,261.3718275689517,CESM2-WACCM,historical,r1i1p1f1
1872,288.0811768659481,286.8541719051192,259.75918363152715,CESM2-WACCM,historical,r1i1p1f1
1873,288.1597244146874,286.9440459789871,260.09917247700764,CESM2-WACCM,historical,r1i1p1f1
1874,288.24381641448724,287.0040148126868,259.62644835226604,CESM2-WACCM,historical,r1i1p1f1
1875,288.18062770706103,286.9208951428074,259.1032088693508,CESM2-WACCM,historical,r1i1p1f1
1876,288.14848075715264,286.88735314230104,259.0388610605569,CESM2-WACCM,historical,r1i1p1f1
1877,288.19270186979156,286.9608538030952,259.75891902083043,CESM2-WACCM,historical,r1i1p1f1
1878,288.3968650360125,287.1888587230957,260.5134026916927,CESM2-WACCM,historical,r1i1p1f1
1879,288.5364554244933,287.2849139076626,259.64810411063263,CESM2-WACCM,historical,r1i1p1f1
1880,288.2759425072715,287.0481683442235,259.9361943812697,CESM2-WACCM,historical,r1i1p1f1
1881,288.19863762433437,286.9750478081574,259.95547349559433,CESM2-WACCM,historical,r1i1p1f1
1882,288.39422093561075,287.17669718547495,260.2910750519969,CESM2-WACCM,historical,r1i1p1f1
1883,288.261889969335,287.0540056455231,260.3812434038545,CESM2-WACCM,historical,r1i1p1f1
1884,288.0647711571862,286.82207380611425,259.38056278551784,CESM2-WACCM,historical,r1i1p1f1
1885,288.18304635467496,286.9271956407938,259.19522922478046,CESM2-WACCM,historical,r1i1p1f1
1886,288.2408549389059,286.97836159687904,259.0997112329934,CESM2-WACCM,historical,r1i1p1f1
1887,288.14964776439064,286.93672448595373,260.1526909610932,CESM2-WACCM,historical,r1i1p1f1
1888,288.0668609213067,286.8118129771147,259.09757349457254,CESM2-WACCM,historical,r1i1p1f1
1889,288.03068836574056,286.8051724208954,259.74306491951637,CESM2-WACCM,historical,r1i1p1f1
1890,288.0862592933711,286.881345928605,260.27418904557373,CESM2-WACCM,historical,r1i1p1f1
1891,288.1043766800901,286.88821458112085,260.03266072248203,CESM2-WACCM,historical,r1i1p1f1
1892,288.1174994233104,286.8801626717077,259.55702556514586,CESM2-WACCM,historical,r1i1p1f1
1893,288.2032396964309,286.97223154751543,259.78884401090426,CESM2-WACCM,historical,r1i1p1f1
1894,288.2004986470163,286.96885489911426,259.7714319285509,CESM2-WACCM,historical,r1i1p1f1
1895,288.13466537381794,286.90585877342033,259.77108630616414,CESM2-WACCM,historical,r1i1p1f1
1896,288.1794845851198,286.9648689995598,260.1434655836907,CESM2-WACCM,historical,r1i1p1f1
1897,288.34860265588964,287.1200487366999,259.9908560303958,CESM2-WACCM,historical,r1i1p1f1
1898,288.5272402351195,287.2932933135104,260.04501116423194,CESM2-WACCM,historical,r1i1p1f1
1899,288.36494633258565,287.17854957023934,260.9802802968363,CESM2-WACCM,historical,r1i1p1f1
1900,288.3428779482358,287.11584585794606,260.02025850574734,CESM2-WACCM,historical,r1i1p1f1
1901,288.2297891085689,286.9980872252105,259.7993804949528,CESM2-WACCM,historical,r1i1p1f1
1902,288.0322694807606,286.80918737249704,259.80082437562413,CESM2-WACCM,historical,r1i1p1f1
1903,288.1652380041885,286.95162990657917,260.15247405700245,CESM2-WACCM,historical,r1i1p1f1
1904,288.29414130394736,287.0754902996911,260.16497589751896,CESM2-WACCM,historical,r1i1p1f1
1905,288.2932266736412,287.06367074580544,259.91235146839546,CESM2-WACCM,historical,r1i1p1f1
1906,288.3709866317318,287.1386710944091,259.92641352491546,CESM2-WACCM,historical,r1i1p1f1
1907,288.1697179770296,286.94652324480074,259.9356732612181,CESM2-WACCM,historical,r1i1p1f1
1908,288.03017108902293,286.7891394351041,259.38441069842264,CESM2-WACCM,historical,r1i1p1f1
1909,288.17650191279455,286.95805380317194,260.05201976407284,CESM2-WACCM,historical,r1i1p1f1
1910,288.18167777992636,286.9638836492185,260.07229091361745,CESM2-WACCM,historical,r1i1p1f1
1911,288.2335909432505,287.0404356528208,260.69292310411504,CESM2-WACCM,historical,r1i1p1f1
1912,288.1837677365295,286.9725945760083,260.2272075325545,CESM2-WACCM,historical,r1i1p1f1
1913,288.20637921963754,286.9756631140287,259.7987245407228,CESM2-WACCM,historical,r1i1p1f1
1914,288.1878876816925,286.96237106529935,259.9002487346547,CESM2-WACCM,historical,r1i1p1f1
1915,288.1963369743013,286.94958211207387,259.4184722547244,CESM2-WACCM,historical,r1i1p1f1
1916,288.2925429526385,287.05223861489014,259.6635706307986,CESM2-WACCM,historical,r1i1p1f1
1917,288.37505667371266,287.10743067752736,259.1154399371337,CESM2-WACCM,historical,r1i1p1f1
1918,288.3672281622259,287.10936795127964,259.3330273875193,CESM2-WACCM,historical,r1i1p1f1
1919,288.30957220991235,287.02636148594087,258.6902254241417,CESM2-WACCM,historical,r1i1p1f1
1920,288.29990829160965,287.0932936480193,260.44856875893754,CESM2-WACCM,historical,r1i1p1f1
1921,288.4447438872098,287.26205541239426,261.1456733443132,CESM2-WACCM,historical,r1i1p1f1
1922,288.39959577217394,287.1712871985037,260.04751226489464,CESM2-WACCM,historical,r1i1p1f1
1923,288.407732622219,287.2193730373633,260.97776029382686,CESM2-WACCM,historical,r1i1p1f1
1924,288.4968380794632,287.28822501582044,260.59937058397793,CESM2-WACCM,historical,r1i1p1f1
1925,288.27202519976095,287.07409278655484,260.62109078202917,CESM2-WACCM,historical,r1i1p1f1
1926,288.3352952411693,287.11799242302425,260.2372489574319,CESM2-WACCM,historical,r1i1p1f1
1927,288.46734305585346,287.28104939399907,261.0850568079026,CESM2-WACCM,historical,r1i1p1f1
1928,288.4046902348876,287.22307254403006,261.1303357583333,CESM2-WACCM,historical,r1i1p1f1
1929,288.2906192173998,287.0687801379131,260.08786597066984,CESM2-WACCM,historical,r1i1p1f1
1930,288.31639770719903,287.1352052884021,261.0518594521059,CESM2-WACCM,historical,r1i1p1f1
1931,288.4263497233347,287.2506428283418,261.2884295121908,CESM2-WACCM,historical,r1i1p1f1
1932,288.3997304685228,287.25247108384735,261.9184418281326,CESM2-WACCM,historical,r1i1p1f1
1933,288.2798102042267,287.1031053151433,261.1188540781723,CESM2-WACCM,historical,r1i1p1f1
1934,288.2187435476399,287.0036262939878,260.1711449350686,CESM2-WACCM,historical,r1i1p1f1
1935,288.54544964588916,287.35016052047064,260.9555281671666,CESM2-WACCM,historical,r1i1p1f1
1936,288.6586739289943,287.4684077045328,261.184692133858,CESM2-WACCM,historical,r1i1p1f1
1937,288.4297334563707,287.22805423145184,260.69231432230384,CESM2-WACCM,historical,r1i1p1f1
1938,288.4876612996754,287.3083647313694,261.2668834746423,CESM2-WACCM,historical,r1i1p1f1
1939,288.44678661966293,287.25405979537845,260.9160087285339,CESM2-WACCM,historical,r1i1p1f1
1940,288.34062122431504,287.1209655774782,260.1882664410877,CESM2-WACCM,historical,r1i1p1f1
1941,288.4049256574931,287.22096020143874,261.07637955813135,CESM2-WACCM,historical,r1i1p1f1
1942,288.4938512921814,287.3145312806786,261.272532346225,CESM2-WACCM,historical,r1i1p1f1
1943,288.4547084615186,287.22723226721735,260.121838114422,CESM2-WACCM,historical,r1i1p1f1
1944,288.51311914558806,287.30616129834647,260.6538577121961,CESM2-WACCM,historical,r1i1p1f1
1945,288.2417187276862,287.0425455660587,260.56214508719654,CESM2-WACCM,historical,r1i1p1f1
1946,288.23357321140224,287.0032517038641,259.8350267302892,CESM2-WACCM,historical,r1i1p1f1
1947,288.10352491080164,286.91989415042593,260.7827043293094,CESM2-WACCM,historical,r1i1p1f1
1948,288.23372067907076,287.0146392671257,260.0946205095054,CESM2-WACCM,historical,r1i1p1f1
1949,288.5240608678004,287.3521167047921,261.4729928481458,CESM2-WACCM,historical,r1i1p1f1
1950,288.4323537454141,287.24913678550024,261.1210845954605,CESM2-WACCM,historical,r1i1p1f1
1951,288.57214075061944,287.3771996686089,260.9902528849279,CESM2-WACCM,historical,r1i1p1f1
1952,288.6447259505634,287.47501292211166,261.6451574601139,CESM2-WACCM,historical,r1i1p1f1
1953,288.4761522247693,287.30402483970903,261.4208550341792,CESM2-WACCM,historical,r1i1p1f1
1954,288.40995351633023,287.2384657387568,261.3694198837498,CESM2-WACCM,historical,r1i1p1f1
1955,288.48611341875795,287.3301602048701,261.80415193677794,CESM2-WACCM,historical,r1i1p1f1
1956,288.42511456574124,287.2888075588978,262.1966310734646,CESM2-WACCM,historical,r1i1p1f1
1957,288.3557620137167,287.1408750740327,260.31347955784844,CESM2-WACCM,historical,r1i1p1f1
1958,288.225180799735,287.0122948421182,260.22908544365714,CESM2-WACCM,historical,r1i1p1f1
1959,288.0282530024431,286.8388405458914,260.5739780624003,CESM2-WACCM,historical,r1i1p1f1
1960,288.1641057842765,286.9416717519972,259.9476197088227,CESM2-WACCM,historical,r1i1p1f1
1961,288.32202318943047,287.1241500347036,260.6724565886998,CESM2-WACCM,historical,r1i1p1f1
1962,288.36439674788375,287.1913436551327,261.2877321726503,CESM2-WACCM,historical,r1i1p1f1
1963,288.46166323110504,287.2599814334,260.7241847114317,CESM2-WACCM,historical,r1i1p1f1
1964,288.4340867588282,287.25640103620304,261.25049082134655,CESM2-WACCM,historical,r1i1p1f1
1965,288.2133990518493,287.0122613878801,260.4884803444599,CESM2-WACCM,historical,r1i1p1f1
1966,288.2297234133764,287.0301089611923,260.53996380904636,CESM2-WACCM,historical,r1i1p1f1
1967,288.33308512761914,287.1018666980704,259.9138356991428,CESM2-WACCM,historical,r1i1p1f1
1968,288.31690853811443,287.15591156183535,261.5185258444217,CESM2-WACCM,historical,r1i1p1f1
1969,288.2836632885869,287.0814947271599,260.5349491836641,CESM2-WACCM,historical,r1i1p1f1
1970,288.26929581840244,287.06947155955123,260.57469341131855,CESM2-WACCM,historical,r1i1p1f1
1971,288.208014764389,287.0264963658037,260.93595217348786,CESM2-WACCM,historical,r1i1p1f1
1972,288.40253263280994,287.25206327125966,261.84715061363596,CESM2-WACCM,historical,r1i1p1f1
1973,288.5664355294683,287.38487627243103,261.29342983496286,CESM2-WACCM,historical,r1i1p1f1
1974,288.34913199699434,287.1869079766421,261.52242640726297,CESM2-WACCM,historical,r1i1p1f1
1975,288.29036144528123,287.0740465575009,260.21511878337276,CESM2-WACCM,historical,r1i1p1f1
1976,288.456732925086,287.2357353726833,260.27340398807064,CESM2-WACCM,historical,r1i1p1f1
1977,288.5331404061508,287.34891465614527,261.19858614564805,CESM2-WACCM,historical,r1i1p1f1
