year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,289.4027973595334,288.2462297230782,262.70665364329443,CESM2-WACCM,ssp245,r1i1p1f1
2016,289.47567865897975,288.3143187955153,262.6689197249773,CESM2-WACCM,ssp245,r1i1p1f1
2017,289.47069072267607,288.33615260635315,263.2830371430387,CESM2-WACCM,ssp245,r1i1p1f1
2018,289.4819602940443,288.3837576200222,264.13300923303564,CESM2-WACCM,ssp245,r1i1p1f1
2019,289.23707134997613,288.0950322750016,262.87627902439635,CESM2-WACCM,ssp245,r1i1p1f1
2020,289.260460368348,288.11239896546857,262.7606593707377,CESM2-WACCM,ssp245,r1i1p1f1
2021,289.52328813858884,288.38946171939625,263.35206210566105,CESM2-WACCM,ssp245,r1i1p1f1
2022,289.5161441643968,288.3965213443311,263.67276867097,CESM2-WACCM,ssp245,r1i1p1f1
2023,289.44409443098806,288.3003919624124,263.0449072954274,CESM2-WACCM,ssp245,r1i1p1f1
2024,289.5147942650491,288.3818514027894,263.3639626838796,CESM2-WACCM,ssp245,r1i1p1f1
2025,289.66233890996665,288.54429914221305,263.8555037715555,CESM2-WACCM,ssp245,r1i1p1f1
2026,289.6603632616401,288.544176458381,263.8962986494689,CESM2-WACCM,ssp245,r1i1p1f1
2027,289.62322744223115,288.4940638774191,263.55963042013474,CESM2-WACCM,ssp245,r1i1p1f1
2028,289.8105556592877,288.7049927353646,264.29171372206906,CESM2-WACCM,ssp245,r1i1p1f1
2029,289.845397951176,288.72637580684864,264.01588738473845,CESM2-WACCM,ssp245,r1i1p1f1
2030,289.6691698338323,288.5322386449145,263.4262788362475,CESM2-WACCM,ssp245,r1i1p1f1
2031,289.7408465963536,288.6060235224312,263.54661556392364,CESM2-WACCM,ssp245,r1i1p1f1
2032,289.85395768984915,288.74059527078225,264.15508612296776,CESM2-WACCM,ssp245,r1i1p1f1
2033,289.81280363742695,288.68816036427063,263.85354496258736,CESM2-WACCM,ssp245,r1i1p1f1
2034,289.96885878787776,288.85818224187057,264.3319831224472,CESM2-WACCM,ssp245,r1i1p1f1
2035,290.0632964859362,288.94690822340385,264.29458174735305,CESM2-WACCM,ssp245,r1i1p1f1
2036,289.83864488609606,288.7431801657773,264.5528918631812,CESM2-WACCM,ssp245,r1i1p1f1
2037,289.92957600427724,288.83304220868445,264.6191463552334,CESM2-WACCM,ssp245,r1i1p1f1
2038,290.1247611474331,289.0355879047871,264.9842293695564,CESM2-WACCM,ssp245,r1i1p1f1
2039,289.9831115500269,288.8672289755735,264.2260692127841,CESM2-WACCM,ssp245,r1i1p1f1
2040,290.13060547785,289.01408479109847,264.35883409487593,CESM2-WACCM,ssp245,r1i1p1f1
2041,289.87929289280055,288.76430664808277,264.14293983190447,CESM2-WACCM,ssp245,r1i1p1f1
