year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,288.5209404719268,287.286934536693,260.0373492358226,CMCC-CM2-HR4,historical,r1i1p1f1
1851,288.49308415280024,287.298242166367,260.9134836326049,CMCC-CM2-HR4,historical,r1i1p1f1
1852,288.5600494284816,287.37907470153976,261.30053598375076,CMCC-CM2-HR4,historical,r1i1p1f1
1853,288.66021991622193,287.4362851171301,260.4090928174138,CMCC-CM2-HR4,historical,r1i1p1f1
1854,288.50757741652126,287.2827299964628,260.2353850036607,CMCC-CM2-HR4,historical,r1i1p1f1
1855,288.46519554117475,287.25656104628416,260.5672333650049,CMCC-CM2-HR4,historical,r1i1p1f1
1856,288.4894510868601,287.2648245934745,260.22235815112435,CMCC-CM2-HR4,historical,r1i1p1f1
1857,288.38852012196196,287.1538211058721,259.8889310440016,CMCC-CM2-HR4,historical,r1i1p1f1
1858,288.4465659024654,287.2496894083778,260.8200044376428,CMCC-CM2-HR4,historical,r1i1p1f1
1859,288.52949442577096,287.33862644683916,261.04162280412373,CMCC-CM2-HR4,historical,r1i1p1f1
1860,288.62204346483645,287.4437119961444,261.42354227731494,CMCC-CM2-HR4,historical,r1i1p1f1
1861,288.61302385802793,287.4069291641797,260.77368591748456,CMCC-CM2-HR4,historical,r1i1p1f1
1862,288.668335043324,287.46838911952494,260.9709243396673,CMCC-CM2-HR4,historical,r1i1p1f1
1863,288.50256602837567,287.3006789645864,260.7603495126537,CMCC-CM2-HR4,historical,r1i1p1f1
1864,288.42383231733504,287.2346137080527,260.9740318017878,CMCC-CM2-HR4,historical,r1i1p1f1
1865,288.5111319802273,287.327890987483,261.1993080992957,CMCC-CM2-HR4,historical,r1i1p1f1
1866,288.5091471410298,287.3031562153971,260.6722044008252,CMCC-CM2-HR4,historical,r1i1p1f1
1867,288.4270528274061,287.23736036682624,260.96631477397784,CMCC-CM2-HR4,historical,r1i1p1f1
1868,288.39347545045996,287.2020933967399,260.89373784363715,CMCC-CM2-HR4,historical,r1i1p1f1
1869,288.5274743248966,287.3235674617142,260.7386363638115,CMCC-CM2-HR4,historical,r1i1p1f1
1870,288.6018353336202,287.39024804759896,260.6357161955005,CMCC-CM2-HR4,historical,r1i1p1f1
1871,288.67013031513017,287.45996565691365,260.7368485789345,CMCC-CM2-HR4,historical,r1i1p1f1
1872,288.51796482863944,287.2993776758366,260.3902732552365,CMCC-CM2-HR4,historical,r1i1p1f1
1873,288.47353978360667,287.26744183738134,260.6341267709948,CMCC-CM2-HR4,historical,r1i1p1f1
1874,288.5820384211452,287.38629624627134,260.98165955714853,CMCC-CM2-HR4,historical,r1i1p1f1
1875,288.5375504242546,287.34455399346234,261.00054941754536,CMCC-CM2-HR4,historical,r1i1p1f1
1876,288.53006249502573,287.29813929232324,260.09454534056465,CMCC-CM2-HR4,historical,r1i1p1f1
1877,288.4674260918196,287.25370780987583,260.4521188460536,CMCC-CM2-HR4,historical,r1i1p1f1
1878,288.38689736066027,287.2009092069506,261.0116629176202,CMCC-CM2-HR4,historical,r1i1p1f1
1879,288.4233891206037,287.2349538414922,260.9916696010656,CMCC-CM2-HR4,historical,r1i1p1f1
1880,288.6299881716615,287.3965786686524,260.16016391284904,CMCC-CM2-HR4,historical,r1i1p1f1
1881,288.6071874901425,287.348550273948,259.55505171265605,CMCC-CM2-HR4,historical,r1i1p1f1
1882,288.4418724598324,287.2370714357237,260.63239528332525,CMCC-CM2-HR4,historical,r1i1p1f1
1883,288.3830372430077,287.1447698684357,259.80108254468377,CMCC-CM2-HR4,historical,r1i1p1f1
