year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,288.35961805704,287.2110370365919,261.84782313460465,CMCC-CM2-SR5,historical,r1i1p1f1
1851,288.3888337133748,287.2655940636957,262.4619737784706,CMCC-CM2-SR5,historical,r1i1p1f1
1852,288.2313874089061,287.13213224755276,262.85814260823685,CMCC-CM2-SR5,historical,r1i1p1f1
1853,288.51400421171707,287.41366923970514,263.1158349884546,CMCC-CM2-SR5,historical,r1i1p1f1
1854,288.44550813810827,287.36688047638097,263.5483917342259,CMCC-CM2-SR5,historical,r1i1p1f1
1855,288.4801338950411,287.366876060556,262.78367637204207,CMCC-CM2-SR5,historical,r1i1p1f1
1856,288.5610535509336,287.457821844142,263.0960212705087,CMCC-CM2-SR5,historical,r1i1p1f1
1857,288.55377154093605,287.4847953009813,263.8794313367239,CMCC-CM2-SR5,historical,r1i1p1f1
1858,288.5221475483724,287.4359704445315,263.4507732928212,CMCC-CM2-SR5,historical,r1i1p1f1
1859,288.47344547039046,287.3547977738372,262.6525779882606,CMCC-CM2-SR5,historical,r1i1p1f1
1860,288.4405830887253,287.3150586390114,262.4609849064696,CMCC-CM2-SR5,historical,r1i1p1f1
1861,288.4329549485207,287.3202693814305,262.7497066249956,CMCC-CM2-SR5,historical,r1i1p1f1
1862,288.42809789492037,287.33659056171075,263.2336901350717,CMCC-CM2-SR5,historical,r1i1p1f1
1863,288.2301419122611,287.1500308286199,263.29878484371477,CMCC-CM2-SR5,historical,r1i1p1f1
1864,288.1552764277109,287.0598971092066,262.8714946679038,CMCC-CM2-SR5,historical,r1i1p1f1
1865,288.21021524203127,287.12258182344726,263.10522601537417,CMCC-CM2-SR5,historical,r1i1p1f1
1866,288.11161757837965,287.00723755863356,262.6200796905959,CMCC-CM2-SR5,historical,r1i1p1f1
1867,288.2755611143417,287.18817688242433,263.17632366808965,CMCC-CM2-SR5,historical,r1i1p1f1
1868,288.3587761989561,287.2711033144216,263.25287601071955,CMCC-CM2-SR5,historical,r1i1p1f1
1869,288.571186621209,287.48750422927134,263.55739584404256,CMCC-CM2-SR5,historical,r1i1p1f1
1870,288.4844766632414,287.4115331396995,263.7185627633212,CMCC-CM2-SR5,historical,r1i1p1f1
1871,288.3651687731039,287.28909278393127,263.5269506256608,CMCC-CM2-SR5,historical,r1i1p1f1
