year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,288.2844244282847,287.15524156957423,262.2203820602647,CMCC-ESM2,historical,r1i1p1f1
1851,288.3697795603045,287.25872108597025,262.72408814282244,CMCC-ESM2,historical,r1i1p1f1
1852,288.268252779772,287.15710900778043,262.62059250336375,CMCC-ESM2,historical,r1i1p1f1
1853,288.24248159111085,287.1371884640732,262.72986716381445,CMCC-ESM2,historical,r1i1p1f1
1854,288.24322133076,287.1575792566835,263.18419674766136,CMCC-ESM2,historical,r1i1p1f1
1855,288.3814020495748,287.3015749820424,263.45660070212625,CMCC-ESM2,historical,r1i1p1f1
1856,288.44555609936924,287.360130679039,263.3915323647872,CMCC-ESM2,historical,r1i1p1f1
1857,288.36119101893985,287.24950686904094,262.7010576230861,CMCC-ESM2,historical,r1i1p1f1
1858,288.35709945627536,287.2444756448961,262.6752765913967,CMCC-ESM2,historical,r1i1p1f1
1859,288.4349368599153,287.3309303445631,262.9520202811336,CMCC-ESM2,historical,r1i1p1f1
1860,288.381626566267,287.2658965918871,262.62810657684605,CMCC-ESM2,historical,r1i1p1f1
1861,288.32858179984765,287.24811801681915,263.3890836479456,CMCC-ESM2,historical,r1i1p1f1
1862,288.29855407549917,287.2170901951153,263.3359714606695,CMCC-ESM2,historical,r1i1p1f1
1863,288.31007198538265,287.25180410270724,263.8829043942377,CMCC-ESM2,historical,r1i1p1f1
1864,288.27555245901766,287.1805689439981,263.00090672064186,CMCC-ESM2,historical,r1i1p1f1
1865,288.31191754648614,287.22100889774606,263.13132875073006,CMCC-ESM2,historical,r1i1p1f1
1866,288.48836194072516,287.36996031727193,262.67317437098205,CMCC-ESM2,historical,r1i1p1f1
1867,288.5162864469272,287.43870922598853,263.6434165439627,CMCC-ESM2,historical,r1i1p1f1
1868,288.4871671582395,287.40824663534636,263.58329086974237,CMCC-ESM2,historical,r1i1p1f1
1869,288.16071484648256,287.0874048700662,263.38634240225105,CMCC-ESM2,historical,r1i1p1f1
1870,288.03714598935665,286.939109471868,262.69203018929545,CMCC-ESM2,historical,r1i1p1f1
1871,288.3132783326074,287.2237534719226,263.1646304313014,CMCC-ESM2,historical,r1i1p1f1
1872,288.3533924728781,287.26562829086396,263.2453849365162,CMCC-ESM2,historical,r1i1p1f1
1873,288.39838848670007,287.3050982192769,263.16282665466133,CMCC-ESM2,historical,r1i1p1f1
1874,288.3481818263028,287.2579248133857,263.1826342292055,CMCC-ESM2,historical,r1i1p1f1
1875,288.16980864054875,287.0532489839372,262.39713774685487,CMCC-ESM2,historical,r1i1p1f1
1876,288.22141030262907,287.09834653010466,262.2986100021582,CMCC-ESM2,historical,r1i1p1f1
1877,288.3169186486421,287.2100880743594,262.76881653232766,CMCC-ESM2,historical,r1i1p1f1
1878,288.2952900754954,287.1838933843264,262.6417918640645,CMCC-ESM2,historical,r1i1p1f1
1879,288.16779308086376,287.0453864469958,262.2601609966367,CMCC-ESM2,historical,r1i1p1f1
1880,288.04061611373777,286.8874168748894,261.4222224777917,CMCC-ESM2,historical,r1i1p1f1
1881,288.1060918006323,286.9890766817013,262.32290782740967,CMCC-ESM2,historical,r1i1p1f1
