year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,289.1252093378529,288.08483069651504,265.110965074902,CMCC-ESM2,ssp245,r1i1p1f1
2016,289.22921318661906,288.21210641850035,265.7521353222586,CMCC-ESM2,ssp245,r1i1p1f1
2017,289.36730071755386,288.34525272319274,265.7761684029919,CMCC-ESM2,ssp245,r1i1p1f1
2018,289.358402692937,288.35479976631467,266.1930234114747,CMCC-ESM2,ssp245,r1i1p1f1
2019,289.10788579406466,288.0705472685761,265.16381414105393,CMCC-ESM2,ssp245,r1i1p1f1
2020,289.0056009898639,287.9196629991649,263.93974599544316,CMCC-ESM2,ssp245,r1i1p1f1
2021,289.2226637337647,288.14688997992585,264.39142184750375,CMCC-ESM2,ssp245,r1i1p1f1
2022,289.45195023302983,288.43078972502246,265.8813030699598,CMCC-ESM2,ssp245,r1i1p1f1
2023,289.3945023582587,288.3784622152967,265.94204456589455,CMCC-ESM2,ssp245,r1i1p1f1
2024,289.27032897808635,288.2689163098825,266.1555057139954,CMCC-ESM2,ssp245,r1i1p1f1
2025,289.3960656129911,288.39106884559243,266.1985133980071,CMCC-ESM2,ssp245,r1i1p1f1
2026,289.5821828533541,288.57681761343736,266.37612547621177,CMCC-ESM2,ssp245,r1i1p1f1
2027,289.59060241017806,288.5933762250209,266.57241245100903,CMCC-ESM2,ssp245,r1i1p1f1
2028,289.321190478822,288.30884210877815,265.95394698545664,CMCC-ESM2,ssp245,r1i1p1f1
2029,289.43865559504155,288.4379705901164,266.3406284117396,CMCC-ESM2,ssp245,r1i1p1f1
2030,289.45606272447674,288.41125718352106,265.3396358094308,CMCC-ESM2,ssp245,r1i1p1f1
2031,289.87724636405983,288.8703054581781,266.63481912515624,CMCC-ESM2,ssp245,r1i1p1f1
2032,289.92679360957334,288.9267552012456,266.8436913084383,CMCC-ESM2,ssp245,r1i1p1f1
2033,289.6221427562894,288.64195552654365,266.9972496421111,CMCC-ESM2,ssp245,r1i1p1f1
2034,289.5634178887843,288.57558490027964,266.76204372135135,CMCC-ESM2,ssp245,r1i1p1f1
2035,289.6351992130323,288.64317290882803,266.7370340279013,CMCC-ESM2,ssp245,r1i1p1f1
2036,289.89053530635056,288.9051244547346,267.14506942515834,CMCC-ESM2,ssp245,r1i1p1f1
2037,290.007355955144,289.04880938446047,267.88197720245273,CMCC-ESM2,ssp245,r1i1p1f1
2038,289.8611894398826,288.9100264335152,267.90623971175364,CMCC-ESM2,ssp245,r1i1p1f1
2039,289.9086646855412,288.9764630917743,268.39138637401646,CMCC-ESM2,ssp245,r1i1p1f1
2040,290.0534887204912,289.09796377276797,267.9978557208913,CMCC-ESM2,ssp245,r1i1p1f1
2041,290.31553029116316,289.3416209281699,267.83554425182945,CMCC-ESM2,ssp245,r1i1p1f1
2042,290.29632359414927,289.3330605016945,268.06207706833436,CMCC-ESM2,ssp245,r1i1p1f1
2043,290.0176623815729,289.0858596752678,268.5095912764984,CMCC-ESM2,ssp245,r1i1p1f1
2044,290.1158621506826,289.1923138218054,268.798320366302,CMCC-ESM2,ssp245,r1i1p1f1
2045,290.1981346855815,289.25699233951224,268.4744840004307,CMCC-ESM2,ssp245,r1i1p1f1
2046,290.2724593569503,289.34855059825753,268.94659805380223,CMCC-ESM2,ssp245,r1i1p1f1
2047,290.447073073343,289.5472581266286,269.67735033656254,CMCC-ESM2,ssp245,r1i1p1f1
2048,290.56757827870064,289.64379292471517,269.24456542963577,CMCC-ESM2,ssp245,r1i1p1f1
2049,290.43233792405874,289.5135602554376,269.2249135489846,CMCC-ESM2,ssp245,r1i1p1f1
2050,290.19555992960176,289.2717691264213,268.87242130103874,CMCC-ESM2,ssp245,r1i1p1f1
2051,290.3384030283796,289.4592103899011,270.0446888596007,CMCC-ESM2,ssp245,r1i1p1f1
2052,290.5407088565515,289.6497822961899,269.97614977125767,CMCC-ESM2,ssp245,r1i1p1f1
2053,290.7456876616271,289.8638816627215,270.39165134363583,CMCC-ESM2,ssp245,r1i1p1f1
2054,290.7834507077535,289.9082112834387,270.5809854812136,CMCC-ESM2,ssp245,r1i1p1f1
2055,290.5531155813314,289.64722189754303,269.6430821239151,CMCC-ESM2,ssp245,r1i1p1f1
2056,290.55700052590134,289.6673505960108,270.02190890057216,CMCC-ESM2,ssp245,r1i1p1f1
2057,290.7342216251264,289.8732466404371,270.8610112716021,CMCC-ESM2,ssp245,r1i1p1f1
2058,290.9932563185717,290.1265148437304,270.9869425952302,CMCC-ESM2,ssp245,r1i1p1f1
2059,290.919512808695,290.085061431944,271.65852609612085,CMCC-ESM2,ssp245,r1i1p1f1
2060,290.71505337321526,289.83621714551094,270.42956595482576,CMCC-ESM2,ssp245,r1i1p1f1
2061,290.70657374824606,289.84821789903754,270.8938188449742,CMCC-ESM2,ssp245,r1i1p1f1
2062,290.8852748337378,290.03526486761876,271.2651614045752,CMCC-ESM2,ssp245,r1i1p1f1
2063,291.0251285553395,290.1891359882232,271.728567754238,CMCC-ESM2,ssp245,r1i1p1f1
2064,290.8698584413072,290.0424038067865,271.7703720424553,CMCC-ESM2,ssp245,r1i1p1f1
2065,290.6447410164327,289.8102836130458,271.3836151957505,CMCC-ESM2,ssp245,r1i1p1f1
2066,290.83616392889854,290.01863578379266,271.96580290037826,CMCC-ESM2,ssp245,r1i1p1f1
2067,291.1670207693846,290.3359132833203,271.9832184630918,CMCC-ESM2,ssp245,r1i1p1f1
2068,291.27486659616295,290.4322442227234,271.82527517511653,CMCC-ESM2,ssp245,r1i1p1f1
2069,291.07204950067774,290.23396720495344,271.72725313298423,CMCC-ESM2,ssp245,r1i1p1f1
2070,290.942075767918,290.1000470747995,271.5061878041307,CMCC-ESM2,ssp245,r1i1p1f1
2071,291.0676091085103,290.23509174813734,271.8512637792436,CMCC-ESM2,ssp245,r1i1p1f1
2072,291.3110950054503,290.4904714891278,272.3692859506764,CMCC-ESM2,ssp245,r1i1p1f1
2073,291.303671223009,290.47478346545125,272.17110516901204,CMCC-ESM2,ssp245,r1i1p1f1
2074,291.20829158683273,290.36103765498075,271.65179353524564,CMCC-ESM2,ssp245,r1i1p1f1
2075,291.07040600500613,290.2380759963207,271.8583851678072,CMCC-ESM2,ssp245,r1i1p1f1
2076,291.185747680665,290.37479318818873,272.46712112041996,CMCC-ESM2,ssp245,r1i1p1f1
2077,291.3338145015889,290.52698322216463,272.7103608345992,CMCC-ESM2,ssp245,r1i1p1f1
2078,291.1934554043393,290.37315222541037,272.25904044639213,CMCC-ESM2,ssp245,r1i1p1f1
2079,291.2485000034468,290.4247414784396,272.23432800182604,CMCC-ESM2,ssp245,r1i1p1f1
2080,291.4202970990979,290.57863758494386,271.9929306038172,CMCC-ESM2,ssp245,r1i1p1f1
2081,291.4418614666377,290.61123547761196,272.2691731788726,CMCC-ESM2,ssp245,r1i1p1f1
2082,291.2758374383535,290.4274416704061,271.6929832796548,CMCC-ESM2,ssp245,r1i1p1f1
2083,291.2244379242012,290.376120397302,271.64338974225615,CMCC-ESM2,ssp245,r1i1p1f1
2084,291.3624548817331,290.520947329124,271.93859599562035,CMCC-ESM2,ssp245,r1i1p1f1
2085,291.38099466695155,290.56873053108507,272.63213863541364,CMCC-ESM2,ssp245,r1i1p1f1
2086,291.3991278492896,290.58247636382083,272.549002067653,CMCC-ESM2,ssp245,r1i1p1f1
2087,291.5876305212914,290.77132258439553,272.7454346019372,CMCC-ESM2,ssp245,r1i1p1f1
2088,291.6296308077948,290.8017948132397,272.5213417743489,CMCC-ESM2,ssp245,r1i1p1f1
2089,291.4459472844551,290.632980757327,272.6808785062757,CMCC-ESM2,ssp245,r1i1p1f1
2090,291.4210149818953,290.56026207223306,271.5529306120632,CMCC-ESM2,ssp245,r1i1p1f1
