year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,288.1024032740098,286.9004650917272,260.6692571749125,CNRM-ESM2-1,historical,r1i1p1f2
1851,288.24767471480124,287.08106540942185,261.62087810678617,CNRM-ESM2-1,historical,r1i1p1f2
1852,288.17659007774023,287.0052182082432,261.4410922743043,CNRM-ESM2-1,historical,r1i1p1f2
1853,288.06893463370665,286.87264284308577,260.7646622900766,CNRM-ESM2-1,historical,r1i1p1f2
1854,288.0889468748078,286.8739719705501,260.35824945080253,CNRM-ESM2-1,historical,r1i1p1f2
1855,287.78440942157073,286.5945703750238,260.627415094004,CNRM-ESM2-1,historical,r1i1p1f2
1856,287.970986110785,286.7629340164497,260.39829552841104,CNRM-ESM2-1,historical,r1i1p1f2
1857,288.02855366844216,286.8514930401427,261.1632151180802,CNRM-ESM2-1,historical,r1i1p1f2
1858,287.87793161894996,286.6764652136901,260.455553401419,CNRM-ESM2-1,historical,r1i1p1f2
1859,288.1130365756768,286.9768286951958,262.18012484723704,CNRM-ESM2-1,historical,r1i1p1f2
1860,288.13026394593487,286.9703973087611,261.65736260867664,CNRM-ESM2-1,historical,r1i1p1f2
1861,287.9324356587493,286.755755242769,261.0757751088428,CNRM-ESM2-1,historical,r1i1p1f2
1862,288.0047991696809,286.8331089129143,261.262034466324,CNRM-ESM2-1,historical,r1i1p1f2
1863,288.1262643935873,286.92788983167947,260.77445468917466,CNRM-ESM2-1,historical,r1i1p1f2
1864,288.142892028586,286.9360541622547,260.5979150963131,CNRM-ESM2-1,historical,r1i1p1f2
1865,287.8631396215264,286.63808954652865,259.90248558663905,CNRM-ESM2-1,historical,r1i1p1f2
1866,288.0997229825804,286.8848703114728,260.37181541907825,CNRM-ESM2-1,historical,r1i1p1f2
1867,288.16811833325545,286.95614037606896,260.5058235010553,CNRM-ESM2-1,historical,r1i1p1f2
1868,288.04760392807896,286.83189295766783,260.300106463414,CNRM-ESM2-1,historical,r1i1p1f2
1869,288.1578977797267,286.9521588011281,260.63800196075493,CNRM-ESM2-1,historical,r1i1p1f2
1870,288.13158145542735,286.90525386190956,260.14176922196134,CNRM-ESM2-1,historical,r1i1p1f2
1871,288.2281750498326,287.0176192718997,260.5983401659277,CNRM-ESM2-1,historical,r1i1p1f2
1872,288.12114578367937,286.89398596599955,260.11233879044295,CNRM-ESM2-1,historical,r1i1p1f2
1873,288.15282290998834,286.95000323681745,260.69955758289575,CNRM-ESM2-1,historical,r1i1p1f2
1874,288.0084976753851,286.78266416778973,260.02996250382535,CNRM-ESM2-1,historical,r1i1p1f2
1875,287.98043767033636,286.8040489749754,261.13043537830805,CNRM-ESM2-1,historical,r1i1p1f2
1876,288.04087053771843,286.842427939369,260.6875079633913,CNRM-ESM2-1,historical,r1i1p1f2
1877,288.1839595256944,286.95751527965285,260.19148480444045,CNRM-ESM2-1,historical,r1i1p1f2
1878,288.16775168499265,286.9760253609021,260.96768196358096,CNRM-ESM2-1,historical,r1i1p1f2
1879,287.9204532878083,286.71365919341883,260.3764754103063,CNRM-ESM2-1,historical,r1i1p1f2
1880,288.03766475596996,286.76702857498714,259.03654930300803,CNRM-ESM2-1,historical,r1i1p1f2
1881,288.22969975891203,287.0007515731875,260.1800748912066,CNRM-ESM2-1,historical,r1i1p1f2
1882,288.0814488056044,286.8592752172655,260.18644796314265,CNRM-ESM2-1,historical,r1i1p1f2
1883,288.1559908243096,286.96903677941805,261.0648440362279,CNRM-ESM2-1,historical,r1i1p1f2
1884,287.84097359130044,286.65557524884247,260.7853342966739,CNRM-ESM2-1,historical,r1i1p1f2
1885,287.95465957497794,286.72645940810804,259.9221075574556,CNRM-ESM2-1,historical,r1i1p1f2
1886,287.9275774613952,286.67794463726796,259.4058445305051,CNRM-ESM2-1,historical,r1i1p1f2
1887,287.92304490744067,286.68560368880196,259.67957428610197,CNRM-ESM2-1,historical,r1i1p1f2
1888,287.9693907004986,286.70300715754325,259.0653378436229,CNRM-ESM2-1,historical,r1i1p1f2
1889,287.70096950449636,286.4683175739181,259.56681002828657,CNRM-ESM2-1,historical,r1i1p1f2
1890,287.94011901327616,286.6923372020323,259.4606337683318,CNRM-ESM2-1,historical,r1i1p1f2
1891,287.95031378885085,286.6805387121003,258.9688522569909,CNRM-ESM2-1,historical,r1i1p1f2
1892,287.8360263034452,286.52297069438936,257.86672597631485,CNRM-ESM2-1,historical,r1i1p1f2
1893,288.0673181430558,286.765201314352,258.34768553092556,CNRM-ESM2-1,historical,r1i1p1f2
1894,288.1895656379027,286.8930271026687,258.59725250193685,CNRM-ESM2-1,historical,r1i1p1f2
1895,287.96547681806845,286.6942683623271,258.9512997141006,CNRM-ESM2-1,historical,r1i1p1f2
1896,287.82791573597007,286.5883040484959,259.5349061370425,CNRM-ESM2-1,historical,r1i1p1f2
1897,287.9072243159147,286.663300958983,259.5158047821945,CNRM-ESM2-1,historical,r1i1p1f2
1898,287.9752416192325,286.7163034880475,259.2411235159695,CNRM-ESM2-1,historical,r1i1p1f2
1899,287.97023207504304,286.72326520524706,259.50934712763103,CNRM-ESM2-1,historical,r1i1p1f2
1900,287.8884774625692,286.63366533767754,259.2485317012223,CNRM-ESM2-1,historical,r1i1p1f2
1901,288.0433249954344,286.86909057984184,261.2424921802522,CNRM-ESM2-1,historical,r1i1p1f2
1902,287.82898713889597,286.66188435380883,261.19092730527905,CNRM-ESM2-1,historical,r1i1p1f2
1903,287.9375568693681,286.6989346877911,259.6671318427999,CNRM-ESM2-1,historical,r1i1p1f2
1904,287.9608436434125,286.6942305786712,259.05155216048877,CNRM-ESM2-1,historical,r1i1p1f2
1905,287.74542621895506,286.46941564748295,258.6216451899638,CNRM-ESM2-1,historical,r1i1p1f2
1906,287.93449151995026,286.69531226156397,259.65135172175377,CNRM-ESM2-1,historical,r1i1p1f2
