year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,288.89092223841874,287.723125686437,262.23702780626786,CNRM-ESM2-1,ssp245,r1i1p1f2
2016,288.91162876776514,287.7617236737536,262.6660905952387,CNRM-ESM2-1,ssp245,r1i1p1f2
2017,289.0335870459001,287.87942069323225,262.6907895192622,CNRM-ESM2-1,ssp245,r1i1p1f2
2018,289.0140198628971,287.87090894187116,262.9235525108822,CNRM-ESM2-1,ssp245,r1i1p1f2
2019,289.21113284161277,288.0473708934543,262.6493245730971,CNRM-ESM2-1,ssp245,r1i1p1f2
2020,288.9148223642531,287.7450734348153,262.2163666919435,CNRM-ESM2-1,ssp245,r1i1p1f2
2021,289.05592160206226,287.91080008023647,262.9195641150122,CNRM-ESM2-1,ssp245,r1i1p1f2
2022,289.10175155169526,288.0089785707863,264.16020191102297,CNRM-ESM2-1,ssp245,r1i1p1f2
2023,288.92478636580626,287.79465411219724,263.1305452961966,CNRM-ESM2-1,ssp245,r1i1p1f2
2024,289.2408826826691,288.09757821567143,263.1459978198383,CNRM-ESM2-1,ssp245,r1i1p1f2
2025,289.27102136781525,288.11461471042566,262.8770909230068,CNRM-ESM2-1,ssp245,r1i1p1f2
2026,289.34064873868186,288.18359450885197,262.93193804174484,CNRM-ESM2-1,ssp245,r1i1p1f2
2027,289.1475996129212,288.02579984013863,263.54353984153687,CNRM-ESM2-1,ssp245,r1i1p1f2
2028,289.2610949143317,288.0979004827548,262.7122396957573,CNRM-ESM2-1,ssp245,r1i1p1f2
2029,289.2638139211661,288.16394269199026,264.16025321817415,CNRM-ESM2-1,ssp245,r1i1p1f2
2030,289.34084201204666,288.23701135190385,264.14691089750744,CNRM-ESM2-1,ssp245,r1i1p1f2
2031,289.31701380885926,288.19213340375353,263.64264140588466,CNRM-ESM2-1,ssp245,r1i1p1f2
2032,289.2350841818361,288.11628083488813,263.6994151054952,CNRM-ESM2-1,ssp245,r1i1p1f2
2033,289.4825722074663,288.3536162929958,263.71518000905763,CNRM-ESM2-1,ssp245,r1i1p1f2
2034,289.42641462006566,288.2360457099398,262.2573266381064,CNRM-ESM2-1,ssp245,r1i1p1f2
2035,289.38836177157015,288.20175333978796,262.30510328843724,CNRM-ESM2-1,ssp245,r1i1p1f2
2036,289.4518233829056,288.35738435064525,264.47224763506455,CNRM-ESM2-1,ssp245,r1i1p1f2
2037,289.5116182403834,288.37369380144264,263.53952762594747,CNRM-ESM2-1,ssp245,r1i1p1f2
2038,289.4899977974323,288.29326544741133,262.17567008607443,CNRM-ESM2-1,ssp245,r1i1p1f2
2039,289.53965214289525,288.32805611984395,261.88607461004824,CNRM-ESM2-1,ssp245,r1i1p1f2
2040,289.60243725325955,288.36340911400976,261.32274661194276,CNRM-ESM2-1,ssp245,r1i1p1f2
2041,289.66342256539144,288.43397568624505,261.6024154737791,CNRM-ESM2-1,ssp245,r1i1p1f2
2042,289.4120085633908,288.2216227574145,262.24253494901177,CNRM-ESM2-1,ssp245,r1i1p1f2
2043,289.6095500776121,288.42449631914826,262.5617755993303,CNRM-ESM2-1,ssp245,r1i1p1f2
2044,289.6735449202174,288.4527389963086,261.8097597747588,CNRM-ESM2-1,ssp245,r1i1p1f2
2045,289.53029945480625,288.34727638398397,262.52887357544927,CNRM-ESM2-1,ssp245,r1i1p1f2
2046,289.7194142756978,288.5484748597754,262.99378683187916,CNRM-ESM2-1,ssp245,r1i1p1f2
2047,289.72035561259867,288.5176376958028,262.2694127822353,CNRM-ESM2-1,ssp245,r1i1p1f2
2048,289.8417273552881,288.7093402288181,263.99602086296915,CNRM-ESM2-1,ssp245,r1i1p1f2
2049,290.02963725877834,288.9139561661507,264.56523079827105,CNRM-ESM2-1,ssp245,r1i1p1f2
2050,289.87400466542607,288.75882201982483,264.420974805061,CNRM-ESM2-1,ssp245,r1i1p1f2
2051,289.7760173739817,288.63075641601296,263.63647738376346,CNRM-ESM2-1,ssp245,r1i1p1f2
