year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,287.82275411479105,286.7169869288186,262.24243974796053,E3SM-1-1-ECA,historical,r1i1p1f1
1851,287.76566511619274,286.6341708086114,261.5901912376131,E3SM-1-1-ECA,historical,r1i1p1f1
1852,287.7893154494716,286.6436479571905,261.28596557240274,E3SM-1-1-ECA,historical,r1i1p1f1
1853,287.9138875447343,286.78111120804346,261.7087557887437,E3SM-1-1-ECA,historical,r1i1p1f1
1854,287.91503852518383,286.77457833370966,261.53215197288444,E3SM-1-1-ECA,historical,r1i1p1f1
1855,287.9057041702953,286.76495309878726,261.51608853179755,E3SM-1-1-ECA,historical,r1i1p1f1
1856,287.8264380968999,286.709170780125,261.98008494277417,E3SM-1-1-ECA,historical,r1i1p1f1
1857,287.70703698300736,286.5251501328007,260.36580497880345,E3SM-1-1-ECA,historical,r1i1p1f1
1858,287.742979517556,286.5785851164488,260.80640986242724,E3SM-1-1-ECA,historical,r1i1p1f1
1859,287.7752562028702,286.601132415023,260.6136113469573,E3SM-1-1-ECA,historical,r1i1p1f1
1860,287.7271505341026,286.53126500698227,260.06207951503615,E3SM-1-1-ECA,historical,r1i1p1f1
1861,287.8266708336371,286.68819451897355,261.48967838375415,E3SM-1-1-ECA,historical,r1i1p1f1
1862,287.7820076030598,286.61221704225113,260.7206056475293,E3SM-1-1-ECA,historical,r1i1p1f1
1863,287.8105852974555,286.6356626482915,260.63045994775086,E3SM-1-1-ECA,historical,r1i1p1f1
1864,287.8190065442146,286.6307443601044,260.3302904696606,E3SM-1-1-ECA,historical,r1i1p1f1
1865,288.04519321251314,286.8898274496332,261.3174879612936,E3SM-1-1-ECA,historical,r1i1p1f1
1866,287.8608922782051,286.717795743262,261.417017757038,E3SM-1-1-ECA,historical,r1i1p1f1
1867,287.7016955323247,286.53307030036416,260.6672517635191,E3SM-1-1-ECA,historical,r1i1p1f1
1868,287.6940562640177,286.5202943046688,260.5407817837568,E3SM-1-1-ECA,historical,r1i1p1f1
1869,287.7157848468415,286.5266786348433,260.2075434156089,E3SM-1-1-ECA,historical,r1i1p1f1
1870,287.8605258067428,286.70324801411505,261.0885885303277,E3SM-1-1-ECA,historical,r1i1p1f1
1871,287.93334223092313,286.7691819141734,261.0021877766865,E3SM-1-1-ECA,historical,r1i1p1f1
1872,287.89067651341634,286.6953589193448,260.2387437987877,E3SM-1-1-ECA,historical,r1i1p1f1
1873,287.9121690465178,286.7885278180717,261.91836472331727,E3SM-1-1-ECA,historical,r1i1p1f1
1874,287.96474116972587,286.85946783495984,262.39585133174234,E3SM-1-1-ECA,historical,r1i1p1f1
1875,288.097043952032,286.99950149328316,262.7069966781572,E3SM-1-1-ECA,historical,r1i1p1f1
1876,288.0868539534663,286.9876991526155,262.6595074918839,E3SM-1-1-ECA,historical,r1i1p1f1
1877,287.9183660116857,286.8029371968358,262.11454392359457,E3SM-1-1-ECA,historical,r1i1p1f1
1878,287.8225534755131,286.6757017466829,261.2918080095781,E3SM-1-1-ECA,historical,r1i1p1f1
1879,287.87622637557104,286.7393949933925,261.57728704447635,E3SM-1-1-ECA,historical,r1i1p1f1
1880,287.97403492000115,286.84374963803657,261.82653008929105,E3SM-1-1-ECA,historical,r1i1p1f1
1881,288.02466969823536,286.87237806751926,261.36808002012594,E3SM-1-1-ECA,historical,r1i1p1f1
1882,287.9852377250547,286.818936670875,261.0045604262942,E3SM-1-1-ECA,historical,r1i1p1f1
1883,288.0316311781493,286.8929542291739,261.6899973454933,E3SM-1-1-ECA,historical,r1i1p1f1
1884,287.63356026991517,286.5091856991782,261.6227911402235,E3SM-1-1-ECA,historical,r1i1p1f1
1885,287.67119107684584,286.52963023304926,261.26284253510374,E3SM-1-1-ECA,historical,r1i1p1f1
1886,287.8162168557341,286.6418293434136,260.64847111798866,E3SM-1-1-ECA,historical,r1i1p1f1
1887,287.7703717226079,286.64932160191637,261.8365089058669,E3SM-1-1-ECA,historical,r1i1p1f1
