year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,287.8208880468204,286.69904666299493,261.86872050918555,E3SM-1-1,historical,r1i1p1f1
1851,288.0527241870776,286.9262859965363,261.99421621687566,E3SM-1-1,historical,r1i1p1f1
1852,288.1975517324958,287.10363843931776,262.8914599217317,E3SM-1-1,historical,r1i1p1f1
1853,288.1681338485955,287.0968054357983,263.3845103724056,E3SM-1-1,historical,r1i1p1f1
1854,288.0414077551356,286.917911924306,262.0509669941637,E3SM-1-1,historical,r1i1p1f1
1855,287.9897800370861,286.8716438270791,262.1233263027386,E3SM-1-1,historical,r1i1p1f1
1856,288.16402619695157,287.0257920095088,261.83263500789764,E3SM-1-1,historical,r1i1p1f1
1857,288.0201719147748,286.92113543384727,262.5955626123958,E3SM-1-1,historical,r1i1p1f1
1858,287.99385627554625,286.92821254846024,263.3417397290387,E3SM-1-1,historical,r1i1p1f1
1859,288.1372230073792,287.0416737950187,262.79328658746414,E3SM-1-1,historical,r1i1p1f1
1860,288.23366646859034,287.10299660965984,262.077265009535,E3SM-1-1,historical,r1i1p1f1
1861,287.99993649645376,286.8741306898861,261.9560578090296,E3SM-1-1,historical,r1i1p1f1
1862,287.961560783133,286.8303462471445,261.79255901314036,E3SM-1-1,historical,r1i1p1f1
1863,288.07629636702575,286.94604187813235,261.929503889197,E3SM-1-1,historical,r1i1p1f1
1864,288.08155823889297,286.97878076573323,262.5704065263545,E3SM-1-1,historical,r1i1p1f1
1865,287.9578760666217,286.8805719364579,263.0360130670086,E3SM-1-1,historical,r1i1p1f1
1866,287.9015805843467,286.8047511761439,262.52802869698854,E3SM-1-1,historical,r1i1p1f1
1867,287.8864699569926,286.7758287142266,262.19340138059624,E3SM-1-1,historical,r1i1p1f1
1868,287.88860194011227,286.800506762009,262.71710375314814,E3SM-1-1,historical,r1i1p1f1
1869,287.9768702574971,286.83794911564354,261.62958737803353,E3SM-1-1,historical,r1i1p1f1
1870,287.973796053279,286.85541656286824,262.1017143808954,E3SM-1-1,historical,r1i1p1f1
1871,288.09226632403323,286.9902295604576,262.59824984959914,E3SM-1-1,historical,r1i1p1f1
1872,287.9496472092423,286.83720601052437,262.2149392717945,E3SM-1-1,historical,r1i1p1f1
1873,287.89179212510476,286.80329275642185,262.71094357739213,E3SM-1-1,historical,r1i1p1f1
1874,288.0175768508286,286.9092125067365,262.3771810111464,E3SM-1-1,historical,r1i1p1f1
1875,288.0122387773724,286.8950112046601,262.1668050442866,E3SM-1-1,historical,r1i1p1f1
1876,288.0918312216006,287.0006130674915,262.8480875303337,E3SM-1-1,historical,r1i1p1f1
1877,288.0656651310766,286.9931377014812,263.2543041464646,E3SM-1-1,historical,r1i1p1f1
1878,288.1542339674924,287.0501743290928,262.61342122836817,E3SM-1-1,historical,r1i1p1f1
1879,288.0542249252121,286.95966762894597,262.7332350403699,E3SM-1-1,historical,r1i1p1f1
1880,287.9235908139618,286.8438320276556,262.94494291732633,E3SM-1-1,historical,r1i1p1f1
1881,287.9299457800677,286.8582146212204,263.1370053602175,E3SM-1-1,historical,r1i1p1f1
1882,288.03856933000714,286.949797814389,262.8514250590676,E3SM-1-1,historical,r1i1p1f1
1883,288.022464128779,286.93896673650227,262.95732902468063,E3SM-1-1,historical,r1i1p1f1
1884,287.7132810806378,286.6029340560563,262.0270188136937,E3SM-1-1,historical,r1i1p1f1
1885,287.6970130876649,286.58914653551244,262.0681329399588,E3SM-1-1,historical,r1i1p1f1
1886,287.7677332005958,286.6704408971331,262.3834729051586,E3SM-1-1,historical,r1i1p1f1
1887,287.80196190597775,286.70003179880564,262.31041277220146,E3SM-1-1,historical,r1i1p1f1
1888,287.7181874017018,286.60800863450123,262.03581752436156,E3SM-1-1,historical,r1i1p1f1
1889,287.9038655598064,286.80127090148176,262.3969430023915,E3SM-1-1,historical,r1i1p1f1
1890,288.1144674149884,287.0338314941811,263.11552828836824,E3SM-1-1,historical,r1i1p1f1
1891,287.896532220858,286.83213762556454,263.2733125202167,E3SM-1-1,historical,r1i1p1f1
1892,287.9846240248032,286.8936422247289,262.7463480401082,E3SM-1-1,historical,r1i1p1f1
1893,287.8399583554123,286.7576519274871,262.80237447809816,E3SM-1-1,historical,r1i1p1f1
1894,287.89783103521097,286.8059857885606,262.6395804707564,E3SM-1-1,historical,r1i1p1f1
1895,288.0034196426456,286.93248064822643,263.2288047938208,E3SM-1-1,historical,r1i1p1f1
1896,287.8966687901516,286.78032158123693,262.0716009921277,E3SM-1-1,historical,r1i1p1f1
1897,287.93147332204893,286.83889791814033,262.6563316321931,E3SM-1-1,historical,r1i1p1f1
1898,287.8487541420245,286.7440232443576,262.29241279679275,E3SM-1-1,historical,r1i1p1f1
1899,287.97964092371285,286.8380715968497,261.5710961385746,E3SM-1-1,historical,r1i1p1f1
1900,287.93329783709265,286.8161452847078,262.08959959008894,E3SM-1-1,historical,r1i1p1f1
1901,287.86020066127156,286.724268720775,261.5820686043219,E3SM-1-1,historical,r1i1p1f1
1902,287.9496090568878,286.8326104320721,262.1094717001474,E3SM-1-1,historical,r1i1p1f1
1903,287.9748687284064,286.9011057340512,263.13492475148223,E3SM-1-1,historical,r1i1p1f1
1904,287.91016884686024,286.8139438709829,262.55059962157947,E3SM-1-1,historical,r1i1p1f1
1905,287.7109020423546,286.6103049940316,262.2501912847387,E3SM-1-1,historical,r1i1p1f1
1906,287.91288955519155,286.8258501109315,262.76581423403337,E3SM-1-1,historical,r1i1p1f1
1907,287.8099350511181,286.6618206889449,261.24998040059336,E3SM-1-1,historical,r1i1p1f1
1908,287.8928692856937,286.7384806523526,261.18776850410876,E3SM-1-1,historical,r1i1p1f1
1909,288.02272416552705,286.8820269207383,261.6343537298362,E3SM-1-1,historical,r1i1p1f1
1910,287.97997080600487,286.87465793986627,262.4101664672548,E3SM-1-1,historical,r1i1p1f1
1911,287.86101803127167,286.7411941431899,261.95552232113295,E3SM-1-1,historical,r1i1p1f1
1912,287.6049254034395,286.49900382164174,262.0210393139198,E3SM-1-1,historical,r1i1p1f1
1913,287.6467437267934,286.5603789602427,262.51527609242453,E3SM-1-1,historical,r1i1p1f1
1914,287.7725808454698,286.6448514696865,261.6842031840586,E3SM-1-1,historical,r1i1p1f1
1915,287.7351761596768,286.64657079690863,262.5518755930788,E3SM-1-1,historical,r1i1p1f1
1916,287.6723355373949,286.507870864381,260.73414024398875,E3SM-1-1,historical,r1i1p1f1
1917,287.759001003515,286.605808638346,261.08157414488306,E3SM-1-1,historical,r1i1p1f1
1918,287.9436459605518,286.7978807267126,261.4380349748043,E3SM-1-1,historical,r1i1p1f1
1919,287.9811154154212,286.85978342157415,262.04073187350195,E3SM-1-1,historical,r1i1p1f1
1920,287.87291148111115,286.75520666913485,262.01643751229085,E3SM-1-1,historical,r1i1p1f1
1921,287.9653061536899,286.8549467014485,262.27875639092474,E3SM-1-1,historical,r1i1p1f1
1922,287.92213640143063,286.78615775161285,261.6429237923214,E3SM-1-1,historical,r1i1p1f1
1923,287.8052003445714,286.70643033149213,262.386755388009,E3SM-1-1,historical,r1i1p1f1
1924,288.00156658713007,286.8965681452917,262.4390359969084,E3SM-1-1,historical,r1i1p1f1
1925,287.9730920473273,286.9046813334051,263.256965287803,E3SM-1-1,historical,r1i1p1f1
1926,288.06700029131133,286.95903785536353,262.43590201155865,E3SM-1-1,historical,r1i1p1f1
1927,287.91437485041337,286.7837124063451,261.75814492340464,E3SM-1-1,historical,r1i1p1f1
1928,288.0258521447471,286.9312185578059,262.703097386183,E3SM-1-1,historical,r1i1p1f1
1929,287.93903260117764,286.81386253272973,261.9098607898129,E3SM-1-1,historical,r1i1p1f1
1930,287.9068492985349,286.7986291413239,262.26978901247764,E3SM-1-1,historical,r1i1p1f1
1931,287.98799548646457,286.86342275949534,261.97264230076,E3SM-1-1,historical,r1i1p1f1
1932,287.99979938214966,286.9129346919896,262.8567667427328,E3SM-1-1,historical,r1i1p1f1
1933,287.9691172382218,286.8755328188765,262.6706334448913,E3SM-1-1,historical,r1i1p1f1
1934,288.1061163362884,287.02927767866237,263.1950213663252,E3SM-1-1,historical,r1i1p1f1
1935,288.11431349814063,287.00476706835224,262.44657182644517,E3SM-1-1,historical,r1i1p1f1
1936,288.01714315185797,286.9338000913302,262.95557828813594,E3SM-1-1,historical,r1i1p1f1
1937,287.98102002015446,286.90756327269077,263.1481606193169,E3SM-1-1,historical,r1i1p1f1
1938,288.1231115856174,287.020730358372,262.6211264455656,E3SM-1-1,historical,r1i1p1f1
1939,288.11448201249,287.0077688006528,262.51228271425134,E3SM-1-1,historical,r1i1p1f1
1940,288.0473878062642,286.96321991684823,262.96674172677734,E3SM-1-1,historical,r1i1p1f1
1941,287.85176035675477,286.7232349464185,261.7449675946121,E3SM-1-1,historical,r1i1p1f1
1942,287.85110777179256,286.74788526603663,262.3296608779059,E3SM-1-1,historical,r1i1p1f1
1943,288.0311979177158,286.9234195525972,262.4043578486773,E3SM-1-1,historical,r1i1p1f1
1944,288.2632173852441,287.1811418345176,263.2309745158722,E3SM-1-1,historical,r1i1p1f1
1945,288.1414843924359,287.0241480458465,262.2935343340272,E3SM-1-1,historical,r1i1p1f1
1946,288.20609149527564,287.14380878503624,263.63172718144057,E3SM-1-1,historical,r1i1p1f1
1947,287.9644150244278,286.87876791175427,262.84954926793563,E3SM-1-1,historical,r1i1p1f1
1948,287.9891381339513,286.87187779373494,262.1429463723559,E3SM-1-1,historical,r1i1p1f1
1949,287.8842549465874,286.7683220264686,262.0687711168434,E3SM-1-1,historical,r1i1p1f1
1950,287.9512698605149,286.8209093276494,261.8020242097427,E3SM-1-1,historical,r1i1p1f1
1951,288.01874065264576,286.89730772057453,262.0760220518309,E3SM-1-1,historical,r1i1p1f1
1952,288.0322493037394,286.94873289377523,262.9666742531263,E3SM-1-1,historical,r1i1p1f1
1953,287.95161446286903,286.86760001878486,262.8745181177925,E3SM-1-1,historical,r1i1p1f1
1954,288.0279389925704,286.9388313187071,262.83301818991674,E3SM-1-1,historical,r1i1p1f1
1955,288.0530185362177,286.9731775788894,263.07246973259004,E3SM-1-1,historical,r1i1p1f1
1956,288.07921418483284,286.98859431536783,262.8493109379846,E3SM-1-1,historical,r1i1p1f1
1957,288.0474318052902,286.9368544359015,262.3558408465095,E3SM-1-1,historical,r1i1p1f1
1958,288.01493490959666,286.93477103093886,263.0269157910338,E3SM-1-1,historical,r1i1p1f1
1959,287.91372918287715,286.8076734181871,262.3267389674529,E3SM-1-1,historical,r1i1p1f1
1960,287.7958709288542,286.6809637272579,262.00411560416234,E3SM-1-1,historical,r1i1p1f1
1961,287.8884466459581,286.76439362155423,261.8851160226589,E3SM-1-1,historical,r1i1p1f1
1962,287.90008075340734,286.74549529516383,261.1904267141939,E3SM-1-1,historical,r1i1p1f1
1963,287.81362236483517,286.71113824793287,262.3092570223287,E3SM-1-1,historical,r1i1p1f1
1964,287.86658560061824,286.7504958564258,262.04747387419275,E3SM-1-1,historical,r1i1p1f1
1965,287.7572711097489,286.67155598448153,262.64083198089287,E3SM-1-1,historical,r1i1p1f1
1966,287.76726528599517,286.5885398873714,260.4991688625629,E3SM-1-1,historical,r1i1p1f1
1967,287.7715361705996,286.63241771734926,261.41968877916656,E3SM-1-1,historical,r1i1p1f1
1968,287.84984664728694,286.73728754784423,262.1124112481765,E3SM-1-1,historical,r1i1p1f1
1969,288.0568826332812,286.9334979155909,262.0690123130577,E3SM-1-1,historical,r1i1p1f1
1970,287.65085484117986,286.5401225631805,261.95568029716037,E3SM-1-1,historical,r1i1p1f1
1971,287.6818420501619,286.51153473539665,260.60848574399876,E3SM-1-1,historical,r1i1p1f1
1972,287.66336857031337,286.496884882767,260.6784663144426,E3SM-1-1,historical,r1i1p1f1
1973,287.8250533096861,286.64667669566484,260.5650255103668,E3SM-1-1,historical,r1i1p1f1
1974,287.6540533955948,286.4857569170207,260.6272148578749,E3SM-1-1,historical,r1i1p1f1
1975,287.6237636409724,286.4781829545512,261.1224218911258,E3SM-1-1,historical,r1i1p1f1
1976,287.8764083047971,286.67899246073756,260.17593563076997,E3SM-1-1,historical,r1i1p1f1
1977,287.79064406295237,286.6739939430108,261.95856885922024,E3SM-1-1,historical,r1i1p1f1
1978,287.80418319115984,286.6442831879938,260.9715848906573,E3SM-1-1,historical,r1i1p1f1
1979,287.8205728099887,286.746256228705,262.9678224052411,E3SM-1-1,historical,r1i1p1f1
1980,287.81099890139063,286.7277433410542,262.75145822723414,E3SM-1-1,historical,r1i1p1f1
1981,287.8786847283955,286.81236625147733,263.210958826643,E3SM-1-1,historical,r1i1p1f1
1982,287.88656108301774,286.803463157525,262.83066706152783,E3SM-1-1,historical,r1i1p1f1
