year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,288.505751422702,287.2956116348288,260.5924649088292,EC-Earth3-AerChem,historical,r1i1p1f1
1851,288.6149706256703,287.4254127538707,261.17643002638306,EC-Earth3-AerChem,historical,r1i1p1f1
1852,288.58544673613625,287.3821094720991,260.8290683735032,EC-Earth3-AerChem,historical,r1i1p1f1
1853,288.4801609891253,287.29485558462704,261.1397085110305,EC-Earth3-AerChem,historical,r1i1p1f1
1854,288.5008764350085,287.356318803294,262.10031889129544,EC-Earth3-AerChem,historical,r1i1p1f1
1855,288.61583394580333,287.45552664414555,261.85199188402663,EC-Earth3-AerChem,historical,r1i1p1f1
1856,288.52434561187675,287.34567529788023,261.33693923975824,EC-Earth3-AerChem,historical,r1i1p1f1
1857,288.58012020881677,287.38807474012924,261.08420028413076,EC-Earth3-AerChem,historical,r1i1p1f1
1858,288.6300773996546,287.42849378772917,260.91414906959636,EC-Earth3-AerChem,historical,r1i1p1f1
1859,288.56896012395634,287.369215149398,260.8954421105706,EC-Earth3-AerChem,historical,r1i1p1f1
1860,288.612242336365,287.3935633581071,260.50198943051856,EC-Earth3-AerChem,historical,r1i1p1f1
1861,288.64423029928815,287.45803308438906,261.28320717350226,EC-Earth3-AerChem,historical,r1i1p1f1
1862,288.49749169335905,287.2471082320282,259.65593788437866,EC-Earth3-AerChem,historical,r1i1p1f1
1863,288.4631516924886,287.21344168230877,259.6371318202648,EC-Earth3-AerChem,historical,r1i1p1f1
1864,288.48027813977626,287.2539269522083,260.1930567722599,EC-Earth3-AerChem,historical,r1i1p1f1
1865,288.5756551139143,287.41202688888814,261.7352120789276,EC-Earth3-AerChem,historical,r1i1p1f1
1866,288.40357534490346,287.21290288598954,260.93932549303344,EC-Earth3-AerChem,historical,r1i1p1f1
1867,288.53732049329125,287.3394846041722,260.90783776358023,EC-Earth3-AerChem,historical,r1i1p1f1
1868,288.5956226166616,287.38121616886286,260.5839206121572,EC-Earth3-AerChem,historical,r1i1p1f1
1869,288.57782505349076,287.34614439226544,260.1676731562489,EC-Earth3-AerChem,historical,r1i1p1f1
1870,288.4411218715424,287.23331780708355,260.581711544156,EC-Earth3-AerChem,historical,r1i1p1f1
1871,288.6154577438451,287.38267761018625,260.17994523177094,EC-Earth3-AerChem,historical,r1i1p1f1
1872,288.7741645586996,287.5832315691073,261.30390526267576,EC-Earth3-AerChem,historical,r1i1p1f1
1873,288.5559639010718,287.4013705610119,261.92392103209176,EC-Earth3-AerChem,historical,r1i1p1f1
1874,288.6818551362872,287.50233348705905,261.47481172349046,EC-Earth3-AerChem,historical,r1i1p1f1
1875,288.5924050265333,287.41490682659366,261.4320348330642,EC-Earth3-AerChem,historical,r1i1p1f1
1876,288.64083368021625,287.41684739786604,260.4081616115336,EC-Earth3-AerChem,historical,r1i1p1f1
1877,288.5545187877436,287.3182351239329,260.03819326388583,EC-Earth3-AerChem,historical,r1i1p1f1
1878,288.70735293089234,287.4679065754574,260.1180762336677,EC-Earth3-AerChem,historical,r1i1p1f1
1879,288.7065526995122,287.50693461775364,261.0359616166449,EC-Earth3-AerChem,historical,r1i1p1f1
1880,288.42019649290216,287.1887117748596,260.0145642538451,EC-Earth3-AerChem,historical,r1i1p1f1
1881,288.5978562016157,287.3606710179325,260.0607360697691,EC-Earth3-AerChem,historical,r1i1p1f1
1882,288.69436488468943,287.4722901917839,260.5057858574916,EC-Earth3-AerChem,historical,r1i1p1f1
1883,288.459406136251,287.255493941849,260.68976633377326,EC-Earth3-AerChem,historical,r1i1p1f1
1884,288.2060040143161,287.0205812355448,260.862844161631,EC-Earth3-AerChem,historical,r1i1p1f1
1885,288.2578670528682,287.0665662385482,260.77912345022946,EC-Earth3-AerChem,historical,r1i1p1f1
