year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,288.58741076234065,287.32098608911997,259.37584845569035,EC-Earth3-CC,historical,r1i1p1f1
1851,288.6852905890561,287.44931224112725,260.17600828932217,EC-Earth3-CC,historical,r1i1p1f1
1852,288.56800801539447,287.32749778834363,259.9541926375103,EC-Earth3-CC,historical,r1i1p1f1
1853,288.63381420277517,287.38674320653365,259.868667030711,EC-Earth3-CC,historical,r1i1p1f1
1854,288.6576789636199,287.40707818835887,259.8111133211663,EC-Earth3-CC,historical,r1i1p1f1
1855,288.63367955126,287.3791815631007,259.6972201474093,EC-Earth3-CC,historical,r1i1p1f1
1856,288.5903886490021,287.3612876016639,260.23973930940934,EC-Earth3-CC,historical,r1i1p1f1
1857,288.7128532032189,287.4530162567206,259.6532444976637,EC-Earth3-CC,historical,r1i1p1f1
1858,288.65800155783387,287.39841067860397,259.60406868084584,EC-Earth3-CC,historical,r1i1p1f1
1859,288.61679763026444,287.35317411287593,259.4698472502852,EC-Earth3-CC,historical,r1i1p1f1
1860,288.4858556397267,287.20781723715214,259.0064091187146,EC-Earth3-CC,historical,r1i1p1f1
1861,288.51574815567653,287.2288881483367,258.8328210308072,EC-Earth3-CC,historical,r1i1p1f1
1862,288.4062381489131,287.15981895365735,259.6561255268795,EC-Earth3-CC,historical,r1i1p1f1
1863,288.2766538835098,286.9933062648635,258.6747441008762,EC-Earth3-CC,historical,r1i1p1f1
1864,288.2445417811896,286.94170476497135,258.1930863101867,EC-Earth3-CC,historical,r1i1p1f1
1865,288.3289252984463,286.9973740554382,257.6151426928752,EC-Earth3-CC,historical,r1i1p1f1
1866,288.4917371651461,287.1877420353118,258.4135684527095,EC-Earth3-CC,historical,r1i1p1f1
1867,288.2981573581926,286.9630856672654,257.50317151494625,EC-Earth3-CC,historical,r1i1p1f1
1868,288.37393537985236,287.0412182944682,257.63326125998117,EC-Earth3-CC,historical,r1i1p1f1
1869,288.48105932145177,287.14624741971545,257.69206581892354,EC-Earth3-CC,historical,r1i1p1f1
1870,288.4822674038008,287.12587586878203,257.19551448808846,EC-Earth3-CC,historical,r1i1p1f1
1871,288.38238474000303,287.0097086389071,256.7200093126173,EC-Earth3-CC,historical,r1i1p1f1
1872,288.59147790719436,287.2603873229263,257.888320932797,EC-Earth3-CC,historical,r1i1p1f1
1873,288.4067953873633,287.06359476864276,257.42430634259034,EC-Earth3-CC,historical,r1i1p1f1
1874,288.29891152151606,286.93933906824583,256.93878701595764,EC-Earth3-CC,historical,r1i1p1f1
1875,288.27188864339183,286.92012477691736,257.09187830059057,EC-Earth3-CC,historical,r1i1p1f1
1876,288.360536868453,287.04653480118554,258.05154647154393,EC-Earth3-CC,historical,r1i1p1f1
1877,288.4519829424858,287.1128648181785,257.5636613933717,EC-Earth3-CC,historical,r1i1p1f1
1878,288.73973131865074,287.4502189260149,258.99562383305954,EC-Earth3-CC,historical,r1i1p1f1
1879,288.6990905795056,287.4142243169138,259.06215150285095,EC-Earth3-CC,historical,r1i1p1f1
1880,288.4195839775486,287.07619300035856,257.4327040926341,EC-Earth3-CC,historical,r1i1p1f1
1881,288.44871024714087,287.0515432833352,256.22142450403294,EC-Earth3-CC,historical,r1i1p1f1
1882,288.38364068570536,287.03530075481814,257.28260741106766,EC-Earth3-CC,historical,r1i1p1f1
1883,288.4425840551851,287.08875436658525,257.21492311538566,EC-Earth3-CC,historical,r1i1p1f1
1884,288.17813905933696,286.8518597779635,257.5859603983404,EC-Earth3-CC,historical,r1i1p1f1
1885,288.18260066780914,286.8500795897858,257.4464476863496,EC-Earth3-CC,historical,r1i1p1f1
1886,288.306152435145,286.9649336051321,257.3693756585694,EC-Earth3-CC,historical,r1i1p1f1
1887,288.38529459495305,287.0459677617911,257.49215893265665,EC-Earth3-CC,historical,r1i1p1f1
1888,288.3108335931381,286.9335401463545,256.5419537015709,EC-Earth3-CC,historical,r1i1p1f1
1889,288.2717128971208,286.89338140708986,256.4788893272308,EC-Earth3-CC,historical,r1i1p1f1
1890,288.46687306922763,287.09772195988,256.88580568823784,EC-Earth3-CC,historical,r1i1p1f1
1891,288.15453296168454,286.75065334626845,255.7724120792208,EC-Earth3-CC,historical,r1i1p1f1
1892,288.3248542196687,286.95114887440354,256.6387380749589,EC-Earth3-CC,historical,r1i1p1f1
1893,288.3266297908968,286.9611940480365,256.8312616717201,EC-Earth3-CC,historical,r1i1p1f1
1894,288.43546471211965,287.0801884504578,257.1744368772938,EC-Earth3-CC,historical,r1i1p1f1
1895,288.4847035388596,287.11552985810005,256.90311552192486,EC-Earth3-CC,historical,r1i1p1f1
1896,288.38496035296384,287.0387796876992,257.33373305858163,EC-Earth3-CC,historical,r1i1p1f1
1897,288.45648338417067,287.0814349692096,256.73938777030594,EC-Earth3-CC,historical,r1i1p1f1
1898,288.3713080451767,286.99245535829664,256.5664624620139,EC-Earth3-CC,historical,r1i1p1f1
1899,288.3378800831338,286.9494418429204,256.31193253128396,EC-Earth3-CC,historical,r1i1p1f1
1900,288.2096136377461,286.83502965265444,256.50323064055135,EC-Earth3-CC,historical,r1i1p1f1
1901,288.2856240674781,286.933164880828,257.0895753537697,EC-Earth3-CC,historical,r1i1p1f1
1902,288.140584483138,286.7555704303934,256.1936198093928,EC-Earth3-CC,historical,r1i1p1f1
1903,288.0253957901289,286.67544244095683,256.8871471407833,EC-Earth3-CC,historical,r1i1p1f1
1904,288.0475153413129,286.66294471829656,256.1107788914889,EC-Earth3-CC,historical,r1i1p1f1
1905,288.1738273880367,286.7796430817972,256.01534012080555,EC-Earth3-CC,historical,r1i1p1f1
1906,288.0296961484222,286.6028364579008,255.1175130285847,EC-Earth3-CC,historical,r1i1p1f1
1907,288.1656566697937,286.75895557506476,255.71845507586823,EC-Earth3-CC,historical,r1i1p1f1
1908,288.2867726681578,286.9257452448816,256.89308758226446,EC-Earth3-CC,historical,r1i1p1f1
1909,288.15717930254607,286.7757741204184,256.2934574391424,EC-Earth3-CC,historical,r1i1p1f1
1910,288.20404241153193,286.8490224415254,256.9489262426876,EC-Earth3-CC,historical,r1i1p1f1
1911,288.38827984079717,287.0042227983452,256.46338972575654,EC-Earth3-CC,historical,r1i1p1f1
1912,288.01638435473734,286.64709959703833,256.43223421862933,EC-Earth3-CC,historical,r1i1p1f1
1913,288.0622334151401,286.72694094139393,257.26215495864415,EC-Earth3-CC,historical,r1i1p1f1
1914,288.2659329369103,286.90174730384354,256.7994000583086,EC-Earth3-CC,historical,r1i1p1f1
1915,288.27317181911536,286.91853796970156,257.02696197212913,EC-Earth3-CC,historical,r1i1p1f1
1916,288.3142243159927,287.0052779960726,258.1218506289198,EC-Earth3-CC,historical,r1i1p1f1
1917,288.2478128113229,286.9439198017347,258.17199962148146,EC-Earth3-CC,historical,r1i1p1f1
1918,288.36489732346155,287.080585351654,258.7407436102984,EC-Earth3-CC,historical,r1i1p1f1
1919,288.3846482553123,287.05338534249995,257.6775163220294,EC-Earth3-CC,historical,r1i1p1f1
1920,288.4045750141165,287.0805052406817,257.86336123100136,EC-Earth3-CC,historical,r1i1p1f1
1921,288.5454684641435,287.2500720359746,258.6656388355592,EC-Earth3-CC,historical,r1i1p1f1
1922,288.43245692476285,287.1346424191879,258.4968515202446,EC-Earth3-CC,historical,r1i1p1f1
1923,288.4694039211603,287.1699230646944,258.49536218963203,EC-Earth3-CC,historical,r1i1p1f1
1924,288.56876658272273,287.26459092743033,258.48643384002,EC-Earth3-CC,historical,r1i1p1f1
1925,288.61602180742904,287.3257056884934,258.8533754372262,EC-Earth3-CC,historical,r1i1p1f1
1926,288.50381821679855,287.212592698236,258.7201954834358,EC-Earth3-CC,historical,r1i1p1f1
1927,288.4944497701853,287.1829887172656,258.24407083316845,EC-Earth3-CC,historical,r1i1p1f1
1928,288.58915998461407,287.3437664001721,259.8627042723208,EC-Earth3-CC,historical,r1i1p1f1
1929,288.54603619586754,287.3346020049398,260.60289350685633,EC-Earth3-CC,historical,r1i1p1f1
1930,288.5348167637246,287.2818514093962,259.6337093469235,EC-Earth3-CC,historical,r1i1p1f1
1931,288.5078523553066,287.2150906267191,258.6887951458063,EC-Earth3-CC,historical,r1i1p1f1
1932,288.5630145707564,287.31279982587154,259.725353169214,EC-Earth3-CC,historical,r1i1p1f1
1933,288.65041556123117,287.42500122621794,260.3848045417729,EC-Earth3-CC,historical,r1i1p1f1
1934,288.7305884730979,287.5038895779006,260.43534757462197,EC-Earth3-CC,historical,r1i1p1f1
1935,288.63144940602194,287.38752900889284,259.9389744774973,EC-Earth3-CC,historical,r1i1p1f1
1936,288.64774852903935,287.40083268146276,259.8861800419055,EC-Earth3-CC,historical,r1i1p1f1
1937,288.7220751732072,287.4314029787561,258.9512155058989,EC-Earth3-CC,historical,r1i1p1f1
1938,288.6834168899491,287.42068541892775,259.55704259995395,EC-Earth3-CC,historical,r1i1p1f1
1939,288.87300026901477,287.60596333034925,259.6473153457033,EC-Earth3-CC,historical,r1i1p1f1
1940,288.96865557717405,287.7216508586997,260.2050371791217,EC-Earth3-CC,historical,r1i1p1f1
1941,288.9298724991989,287.71640643079144,260.93986218603806,EC-Earth3-CC,historical,r1i1p1f1
1942,288.97425294258124,287.76607795792233,261.1062876478555,EC-Earth3-CC,historical,r1i1p1f1
1943,288.9349269609236,287.76984308085156,262.0609082570365,EC-Earth3-CC,historical,r1i1p1f1
1944,288.96587077949766,287.7597863528506,261.1461266438435,EC-Earth3-CC,historical,r1i1p1f1
1945,289.0207509979632,287.8080230094267,261.0477653579569,EC-Earth3-CC,historical,r1i1p1f1
1946,289.0192144239077,287.85662948881424,262.20283680084174,EC-Earth3-CC,historical,r1i1p1f1
1947,288.9353183072647,287.7280387504628,261.08800710053,EC-Earth3-CC,historical,r1i1p1f1
1948,288.89793478543584,287.6846006473201,260.9109675983425,EC-Earth3-CC,historical,r1i1p1f1
1949,288.9283971269396,287.7606213177417,261.9922859377686,EC-Earth3-CC,historical,r1i1p1f1
1950,288.94443740741923,287.76856970447153,261.8216772501339,EC-Earth3-CC,historical,r1i1p1f1
1951,288.97135510593307,287.791718718973,261.7616658559291,EC-Earth3-CC,historical,r1i1p1f1
1952,289.01163652241485,287.86436933431867,262.5485806012015,EC-Earth3-CC,historical,r1i1p1f1
1953,289.0870277068543,287.9215850213241,262.2047327365478,EC-Earth3-CC,historical,r1i1p1f1
1954,289.00759291305434,287.7923993042623,260.977734865834,EC-Earth3-CC,historical,r1i1p1f1
1955,289.14101665129755,287.9284808649483,261.1724643789343,EC-Earth3-CC,historical,r1i1p1f1
1956,289.05767060864133,287.8581460354261,261.389237144122,EC-Earth3-CC,historical,r1i1p1f1
1957,289.04087787339756,287.8602631081355,261.8086211866297,EC-Earth3-CC,historical,r1i1p1f1
1958,289.0087062412945,287.82420500800583,261.68680363612714,EC-Earth3-CC,historical,r1i1p1f1
1959,288.97322167478904,287.79216430308054,261.7307557540587,EC-Earth3-CC,historical,r1i1p1f1
1960,289.10211388053534,287.8760003312349,260.8203746679441,EC-Earth3-CC,historical,r1i1p1f1
1961,289.09352748521286,287.8648352552148,260.75230799443574,EC-Earth3-CC,historical,r1i1p1f1
1962,288.9431140707426,287.7654406065565,261.7787019241705,EC-Earth3-CC,historical,r1i1p1f1
