year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,287.9149675640391,286.5435105889112,256.2807118591903,EC-Earth3-Veg,historical,r1i1p1f1
1851,287.92078892520766,286.60605208683694,257.5948493705052,EC-Earth3-Veg,historical,r1i1p1f1
1852,288.08806506351016,286.7417349942619,257.0333907673995,EC-Earth3-Veg,historical,r1i1p1f1
1853,288.0722731328876,286.72739312093995,257.05104610072163,EC-Earth3-Veg,historical,r1i1p1f1
1854,287.8844315729529,286.559683808047,257.3275783143587,EC-Earth3-Veg,historical,r1i1p1f1
1855,287.9826814295999,286.62993864664554,256.7800904078316,EC-Earth3-Veg,historical,r1i1p1f1
1856,288.07139787759036,286.74459747645767,257.46719816887276,EC-Earth3-Veg,historical,r1i1p1f1
1857,288.0684132701633,286.7296892835003,257.18918214564167,EC-Earth3-Veg,historical,r1i1p1f1
1858,288.0954595058923,286.7735539229674,257.6041644916863,EC-Earth3-Veg,historical,r1i1p1f1
1859,287.9255032210547,286.59786591657445,257.30199935991044,EC-Earth3-Veg,historical,r1i1p1f1
1860,287.90512652089535,286.5736646375338,257.1934042843386,EC-Earth3-Veg,historical,r1i1p1f1
1861,288.0258766832525,286.6988126221756,257.4155953502146,EC-Earth3-Veg,historical,r1i1p1f1
1862,287.84003220922364,286.52679973894044,257.5487926601482,EC-Earth3-Veg,historical,r1i1p1f1
1863,287.89531172649674,286.5814387452335,257.58929804415186,EC-Earth3-Veg,historical,r1i1p1f1
1864,287.94264330394446,286.62416676987306,257.530443303455,EC-Earth3-Veg,historical,r1i1p1f1
1865,287.8903412284164,286.5549120406364,257.0871084853623,EC-Earth3-Veg,historical,r1i1p1f1
1866,287.824118335317,286.4948257434864,257.16243333961535,EC-Earth3-Veg,historical,r1i1p1f1
1867,287.9465475239198,286.6040083303311,256.9793141990772,EC-Earth3-Veg,historical,r1i1p1f1
1868,287.9694955702698,286.62056898925334,256.85492969993953,EC-Earth3-Veg,historical,r1i1p1f1
1869,287.8957631039899,286.60218657495545,258.0579107794923,EC-Earth3-Veg,historical,r1i1p1f1
1870,287.9735130417715,286.6866225010384,258.2898808404016,EC-Earth3-Veg,historical,r1i1p1f1
1871,288.0055850824557,286.75333983753353,259.1210870621267,EC-Earth3-Veg,historical,r1i1p1f1
1872,288.0719778862041,286.77843044952243,258.23479661077846,EC-Earth3-Veg,historical,r1i1p1f1
1873,288.1039753805287,286.7855411359469,257.6927508364715,EC-Earth3-Veg,historical,r1i1p1f1
1874,288.0924355269631,286.76375568276467,257.44488427051124,EC-Earth3-Veg,historical,r1i1p1f1
1875,288.0082593121069,286.66890721814246,257.1145401596394,EC-Earth3-Veg,historical,r1i1p1f1
1876,287.9447558815608,286.61104786305333,257.18122391648427,EC-Earth3-Veg,historical,r1i1p1f1
1877,288.00290869718253,286.6650790535891,257.1443066393136,EC-Earth3-Veg,historical,r1i1p1f1
1878,288.1464076721009,286.8402484510149,258.01832087066884,EC-Earth3-Veg,historical,r1i1p1f1
1879,287.9707210852865,286.62613225985183,256.9562106098736,EC-Earth3-Veg,historical,r1i1p1f1
1880,288.04828987181327,286.73417300728596,257.73665073735674,EC-Earth3-Veg,historical,r1i1p1f1
1881,288.1891398600606,286.8833935656449,258.0705776941911,EC-Earth3-Veg,historical,r1i1p1f1
1882,288.22178187393024,286.8798380507317,257.26828146197374,EC-Earth3-Veg,historical,r1i1p1f1
1883,288.12644091448936,286.8597354995982,258.9084021979296,EC-Earth3-Veg,historical,r1i1p1f1
