year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,289.4279514762745,288.29597057516617,263.31749090180205,EC-Earth3-Veg,ssp245,r1i1p1f1
2016,289.5556705729067,288.41926931377844,263.34324928187743,EC-Earth3-Veg,ssp245,r1i1p1f1
2017,289.58551705425174,288.4602071323802,263.62893040131263,EC-Earth3-Veg,ssp245,r1i1p1f1
2018,289.66606502709953,288.5514780065248,263.95681460684796,EC-Earth3-Veg,ssp245,r1i1p1f1
2019,289.71210424196465,288.5713461649926,263.39918786269624,EC-Earth3-Veg,ssp245,r1i1p1f1
2020,289.7264156424714,288.5992217239463,263.7263724079785,EC-Earth3-Veg,ssp245,r1i1p1f1
2021,289.52709956267046,288.40176074959527,263.56984650039874,EC-Earth3-Veg,ssp245,r1i1p1f1
2022,289.4990686093757,288.3607894749506,263.2433319330293,EC-Earth3-Veg,ssp245,r1i1p1f1
2023,289.6302707550422,288.49423195837016,263.42621008358105,EC-Earth3-Veg,ssp245,r1i1p1f1
2024,289.71344946305425,288.5813681909016,263.600673713305,EC-Earth3-Veg,ssp245,r1i1p1f1
2025,289.78373344166545,288.6731747259306,264.16740057382054,EC-Earth3-Veg,ssp245,r1i1p1f1
2026,289.57969837970904,288.43364058375056,263.1445377969255,EC-Earth3-Veg,ssp245,r1i1p1f1
2027,289.66964724458865,288.5922602431316,264.8184586799656,EC-Earth3-Veg,ssp245,r1i1p1f1
2028,289.7558754812317,288.6617545198093,264.5186986004592,EC-Earth3-Veg,ssp245,r1i1p1f1
2029,289.83374848438564,288.70849821034227,263.87853767821514,EC-Earth3-Veg,ssp245,r1i1p1f1
2030,289.84787415471465,288.75729418003306,264.6923742656677,EC-Earth3-Veg,ssp245,r1i1p1f1
2031,289.7352660425174,288.6405105325339,264.4834525586255,EC-Earth3-Veg,ssp245,r1i1p1f1
2032,289.74661673605425,288.6180186815821,263.7141854672282,EC-Earth3-Veg,ssp245,r1i1p1f1
2033,290.0455001819633,288.92395536862654,264.1757601514868,EC-Earth3-Veg,ssp245,r1i1p1f1
2034,289.9617919036981,288.829657152029,263.84778258648646,EC-Earth3-Veg,ssp245,r1i1p1f1
2035,289.82606504833973,288.6754069029959,263.28479203809724,EC-Earth3-Veg,ssp245,r1i1p1f1
2036,289.890645411544,288.76723311693,263.9778297459467,EC-Earth3-Veg,ssp245,r1i1p1f1
2037,289.81533865649925,288.69655729781437,264.00934093268864,EC-Earth3-Veg,ssp245,r1i1p1f1
2038,289.807667700771,288.68869497702184,263.9972559184194,EC-Earth3-Veg,ssp245,r1i1p1f1
2039,290.1576963450627,289.03245271401823,264.20263876741546,EC-Earth3-Veg,ssp245,r1i1p1f1
2040,290.21207722634,289.10634296917107,264.7070261257538,EC-Earth3-Veg,ssp245,r1i1p1f1
2041,289.87262983618695,288.76362902916424,264.2922319509631,EC-Earth3-Veg,ssp245,r1i1p1f1
2042,289.86591842481243,288.79048973422437,265.05990058585087,EC-Earth3-Veg,ssp245,r1i1p1f1
2043,290.1030706093254,289.03206926487996,265.3991746761253,EC-Earth3-Veg,ssp245,r1i1p1f1
2044,290.274687407849,289.23729923112165,266.34611841667237,EC-Earth3-Veg,ssp245,r1i1p1f1
2045,290.0876097834457,289.0035022462956,265.0814042197893,EC-Earth3-Veg,ssp245,r1i1p1f1
2046,290.16938026492676,289.0914362657285,265.3053438973531,EC-Earth3-Veg,ssp245,r1i1p1f1
2047,290.14708054946345,289.06644516116313,265.2209641512356,EC-Earth3-Veg,ssp245,r1i1p1f1
2048,290.3131677058383,289.2137005566923,264.95267476589544,EC-Earth3-Veg,ssp245,r1i1p1f1
2049,290.2825711554583,289.22557085659025,265.90162567857146,EC-Earth3-Veg,ssp245,r1i1p1f1
2050,290.1657028175222,289.0872725555845,265.290450232365,EC-Earth3-Veg,ssp245,r1i1p1f1
2051,290.380143748228,289.3289187946633,266.1324133509393,EC-Earth3-Veg,ssp245,r1i1p1f1
2052,290.4586785456681,289.4065555312956,266.19023332775583,EC-Earth3-Veg,ssp245,r1i1p1f1
2053,290.4718691507357,289.4306585842833,266.455132279591,EC-Earth3-Veg,ssp245,r1i1p1f1
2054,290.33134484557263,289.2716730841187,265.8887789663817,EC-Earth3-Veg,ssp245,r1i1p1f1
2055,290.4337602352468,289.400630669944,266.6034210866375,EC-Earth3-Veg,ssp245,r1i1p1f1
2056,290.6030279993102,289.56913419345733,266.75506075049867,EC-Earth3-Veg,ssp245,r1i1p1f1
2057,290.5834150432185,289.53998750943913,266.51554123333835,EC-Earth3-Veg,ssp245,r1i1p1f1
2058,290.6404732050283,289.607656792708,266.81735729542646,EC-Earth3-Veg,ssp245,r1i1p1f1
2059,290.69173192740385,289.63653796763526,266.35245176995164,EC-Earth3-Veg,ssp245,r1i1p1f1
2060,290.7306846429891,289.6639146947606,266.12439080182924,EC-Earth3-Veg,ssp245,r1i1p1f1
2061,290.5714899378954,289.48359278105295,265.4778723733175,EC-Earth3-Veg,ssp245,r1i1p1f1
2062,290.5242941678825,289.46681825649057,266.1323781330623,EC-Earth3-Veg,ssp245,r1i1p1f1
2063,290.6295922696279,289.6036548515557,266.96514839056294,EC-Earth3-Veg,ssp245,r1i1p1f1
2064,290.688323265882,289.6454968226721,266.6343143114989,EC-Earth3-Veg,ssp245,r1i1p1f1
2065,290.7533383092316,289.72076247020124,266.93577150332703,EC-Earth3-Veg,ssp245,r1i1p1f1
2066,290.7734360291066,289.75079463120557,267.18501870194433,EC-Earth3-Veg,ssp245,r1i1p1f1
2067,290.6847141492356,289.65986838473435,267.045450533809,EC-Earth3-Veg,ssp245,r1i1p1f1
2068,290.86772830902174,289.8720636179889,267.9015602092286,EC-Earth3-Veg,ssp245,r1i1p1f1
2069,290.9137422935469,289.91295070967107,267.8293164269363,EC-Earth3-Veg,ssp245,r1i1p1f1
2070,290.8147388451121,289.80314236498583,267.4810854365147,EC-Earth3-Veg,ssp245,r1i1p1f1
2071,290.72948880358996,289.69431182119155,266.8519235902081,EC-Earth3-Veg,ssp245,r1i1p1f1
2072,290.767974058777,289.71872422968636,266.5658022125732,EC-Earth3-Veg,ssp245,r1i1p1f1
2073,290.863436115112,289.7992054102059,266.3157128846332,EC-Earth3-Veg,ssp245,r1i1p1f1
2074,291.035367595721,289.97855128474777,266.65866601435044,EC-Earth3-Veg,ssp245,r1i1p1f1
2075,290.657685806647,289.63835874960506,267.1457176194382,EC-Earth3-Veg,ssp245,r1i1p1f1
2076,290.92544611822757,289.8924653227663,267.0985385196352,EC-Earth3-Veg,ssp245,r1i1p1f1
2077,291.054002068545,290.04953828009894,267.8848725178363,EC-Earth3-Veg,ssp245,r1i1p1f1
2078,290.87547347067914,289.8425990278757,267.05101902025774,EC-Earth3-Veg,ssp245,r1i1p1f1
2079,290.97714299695815,289.9532314431815,267.359428042177,EC-Earth3-Veg,ssp245,r1i1p1f1
2080,291.23682224799734,290.2526681355225,268.53615907619036,EC-Earth3-Veg,ssp245,r1i1p1f1
2081,290.99811664340274,290.0185013901814,268.40214755739987,EC-Earth3-Veg,ssp245,r1i1p1f1
2082,291.0699326416052,290.05237892078424,267.59886852392236,EC-Earth3-Veg,ssp245,r1i1p1f1
2083,291.1240117513046,290.12928368356376,268.1794479608381,EC-Earth3-Veg,ssp245,r1i1p1f1
2084,291.28945160079644,290.29915507611236,268.4471065228137,EC-Earth3-Veg,ssp245,r1i1p1f1
2085,291.1769498856979,290.1728029159256,268.01512812744636,EC-Earth3-Veg,ssp245,r1i1p1f1
2086,291.15166683485893,290.17822334185576,268.6980566011075,EC-Earth3-Veg,ssp245,r1i1p1f1
2087,291.25874690278556,290.25801072181685,268.1755989688842,EC-Earth3-Veg,ssp245,r1i1p1f1
2088,291.17813492447596,290.21424440964626,268.94487528119924,EC-Earth3-Veg,ssp245,r1i1p1f1
2089,291.20953393790376,290.23966932415567,268.83847473093954,EC-Earth3-Veg,ssp245,r1i1p1f1
2090,291.2817160301679,290.30421395524644,268.7344898678569,EC-Earth3-Veg,ssp245,r1i1p1f1
2091,291.45198098120187,290.4727995820221,268.8660192450022,EC-Earth3-Veg,ssp245,r1i1p1f1
2092,291.1183399549254,290.12153059117986,268.1257686431123,EC-Earth3-Veg,ssp245,r1i1p1f1
2093,291.2728948758069,290.2764303571099,268.2882778174915,EC-Earth3-Veg,ssp245,r1i1p1f1
2094,291.5144792291135,290.50475451145724,268.2240002063454,EC-Earth3-Veg,ssp245,r1i1p1f1
2095,291.3677655307816,290.4008072842842,269.06374507636065,EC-Earth3-Veg,ssp245,r1i1p1f1
2096,291.5440112044322,290.6197566799973,270.22500193721925,EC-Earth3-Veg,ssp245,r1i1p1f1
2097,291.8308484452857,290.8979102283475,270.31153967608816,EC-Earth3-Veg,ssp245,r1i1p1f1
2098,291.57697571598436,290.64328227682404,270.0402468648418,EC-Earth3-Veg,ssp245,r1i1p1f1
2099,291.22058523338046,290.2413073200678,268.6323972860668,EC-Earth3-Veg,ssp245,r1i1p1f1
2100,291.48825044804187,290.485908187766,268.3680564205303,EC-Earth3-Veg,ssp245,r1i1p1f1
