year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,288.9759081656855,287.8139570094792,262.15550088504807,FIO-ESM-2-0,ssp245,r1i1p1f1
2016,289.0935003368153,287.9212038763024,262.03430051015374,FIO-ESM-2-0,ssp245,r1i1p1f1
2017,289.047108686147,287.8986530355685,262.5382075780825,FIO-ESM-2-0,ssp245,r1i1p1f1
2018,289.1290035706199,287.9601796241487,262.1499570622631,FIO-ESM-2-0,ssp245,r1i1p1f1
2019,289.2514310317866,288.08832314653955,262.4043238818574,FIO-ESM-2-0,ssp245,r1i1p1f1
2020,289.21911081967335,288.0868143895995,263.0832003256823,FIO-ESM-2-0,ssp245,r1i1p1f1
2021,289.24308154665215,288.1178552176664,263.27036465136274,FIO-ESM-2-0,ssp245,r1i1p1f1
2022,289.2238923615552,288.10753228615636,263.45582824447627,FIO-ESM-2-0,ssp245,r1i1p1f1
2023,289.20943583087313,288.0944907057305,263.4740319008802,FIO-ESM-2-0,ssp245,r1i1p1f1
2024,289.07774963518017,287.9524482181324,263.103299541044,FIO-ESM-2-0,ssp245,r1i1p1f1
2025,289.19288893944633,288.07410957505385,263.36898227184616,FIO-ESM-2-0,ssp245,r1i1p1f1
2026,289.3258773909759,288.225402526648,263.92447914309605,FIO-ESM-2-0,ssp245,r1i1p1f1
2027,289.32775040092525,288.23208250068075,264.0373075351274,FIO-ESM-2-0,ssp245,r1i1p1f1
2028,289.38545136763116,288.2858450442238,264.00410096866426,FIO-ESM-2-0,ssp245,r1i1p1f1
2029,289.3217994143893,288.2422002609278,264.40225882869515,FIO-ESM-2-0,ssp245,r1i1p1f1
2030,289.3802267854222,288.2921923213288,264.26598053979524,FIO-ESM-2-0,ssp245,r1i1p1f1
2031,289.4573669090839,288.3843116637102,264.68887422173697,FIO-ESM-2-0,ssp245,r1i1p1f1
2032,289.43415162146823,288.3759527851504,265.0085777732459,FIO-ESM-2-0,ssp245,r1i1p1f1
2033,289.41688411423104,288.32833641034887,264.2907911570631,FIO-ESM-2-0,ssp245,r1i1p1f1
2034,289.59496811302665,288.50013885442456,264.32388295455735,FIO-ESM-2-0,ssp245,r1i1p1f1
2035,289.58105430563376,288.5430278271664,265.6211031735392,FIO-ESM-2-0,ssp245,r1i1p1f1
2036,289.5931933275205,288.53906218090975,265.26151077072745,FIO-ESM-2-0,ssp245,r1i1p1f1
2037,289.58877138869633,288.5198158403757,264.9149087932484,FIO-ESM-2-0,ssp245,r1i1p1f1
2038,289.85132389969306,288.78276955810753,265.18672204466236,FIO-ESM-2-0,ssp245,r1i1p1f1
2039,289.8928220540855,288.8199810421605,265.1292743494239,FIO-ESM-2-0,ssp245,r1i1p1f1
2040,289.6934472208696,288.63900212360187,265.3545179872787,FIO-ESM-2-0,ssp245,r1i1p1f1
2041,289.6817233772004,288.61585870070695,265.07920495212346,FIO-ESM-2-0,ssp245,r1i1p1f1
2042,289.91143582334735,288.8473487092801,265.34994747770594,FIO-ESM-2-0,ssp245,r1i1p1f1
2043,289.92186862876974,288.8479548831294,265.13355985304764,FIO-ESM-2-0,ssp245,r1i1p1f1
2044,289.7598646349474,288.6676935557124,264.55013614614046,FIO-ESM-2-0,ssp245,r1i1p1f1
2045,289.80359742993886,288.75284614288836,265.5499295207257,FIO-ESM-2-0,ssp245,r1i1p1f1
2046,289.87154720492117,288.84365178669816,266.1454433911851,FIO-ESM-2-0,ssp245,r1i1p1f1
2047,289.8910242056371,288.8574789714795,266.0345101215363,FIO-ESM-2-0,ssp245,r1i1p1f1
2048,289.88588690750277,288.8204317079745,265.2928201180855,FIO-ESM-2-0,ssp245,r1i1p1f1
2049,289.8686742147961,288.82893806505666,265.86926008153466,FIO-ESM-2-0,ssp245,r1i1p1f1
2050,289.92561779121604,288.8581642399223,265.28642461520093,FIO-ESM-2-0,ssp245,r1i1p1f1
2051,289.9674060851998,288.9127994014395,265.62474707732486,FIO-ESM-2-0,ssp245,r1i1p1f1
2052,289.97610227040144,288.9139126760392,265.4584128839802,FIO-ESM-2-0,ssp245,r1i1p1f1
2053,290.0309966343194,289.00217512011153,266.2835164732516,FIO-ESM-2-0,ssp245,r1i1p1f1
2054,290.1316051798432,289.0770685036173,265.79056210097843,FIO-ESM-2-0,ssp245,r1i1p1f1
2055,290.18563573918016,289.08588858690905,264.8010346980028,FIO-ESM-2-0,ssp245,r1i1p1f1
2056,289.8872175470752,288.81681034978953,265.1798476770167,FIO-ESM-2-0,ssp245,r1i1p1f1
2057,290.0046122653189,288.9916542064447,266.62329580283256,FIO-ESM-2-0,ssp245,r1i1p1f1
2058,290.14683779528076,289.1260261932923,266.58424415621556,FIO-ESM-2-0,ssp245,r1i1p1f1
2059,290.294370092842,289.2460112071772,266.0959241085845,FIO-ESM-2-0,ssp245,r1i1p1f1
2060,290.3322156631208,289.295325558257,266.39849455171577,FIO-ESM-2-0,ssp245,r1i1p1f1
2061,290.2404381434348,289.19179722121584,266.03548213057877,FIO-ESM-2-0,ssp245,r1i1p1f1
2062,290.12574009263994,289.04746651816293,265.2367968070667,FIO-ESM-2-0,ssp245,r1i1p1f1
2063,290.1927218992678,289.1396918571181,265.8864552732115,FIO-ESM-2-0,ssp245,r1i1p1f1
2064,290.26337439098677,289.22098500849216,266.202717766831,FIO-ESM-2-0,ssp245,r1i1p1f1
2065,290.2282323253126,289.2063380240882,266.6406475888835,FIO-ESM-2-0,ssp245,r1i1p1f1
2066,290.30794976913506,289.2934239108518,266.89044502243075,FIO-ESM-2-0,ssp245,r1i1p1f1
2067,290.3361147934815,289.3169442040361,266.8113993599846,FIO-ESM-2-0,ssp245,r1i1p1f1
2068,290.3954839512064,289.34734981115696,266.20222559372735,FIO-ESM-2-0,ssp245,r1i1p1f1
2069,290.28614070718953,289.2703506161337,266.8394546668717,FIO-ESM-2-0,ssp245,r1i1p1f1
2070,290.1733368950737,289.160259549978,266.7892670422838,FIO-ESM-2-0,ssp245,r1i1p1f1
2071,290.4420236825666,289.43203821132636,267.12932112919094,FIO-ESM-2-0,ssp245,r1i1p1f1
2072,290.4469903177735,289.3614901910103,265.3912421931878,FIO-ESM-2-0,ssp245,r1i1p1f1
2073,290.3920959522516,289.3293936654434,265.8625724881835,FIO-ESM-2-0,ssp245,r1i1p1f1
2074,290.3332909821928,289.2658696556786,265.6948416254898,FIO-ESM-2-0,ssp245,r1i1p1f1
2075,290.4809048332389,289.43164407700533,266.26164167792905,FIO-ESM-2-0,ssp245,r1i1p1f1
2076,290.4344089016329,289.39771012337246,266.5051040321676,FIO-ESM-2-0,ssp245,r1i1p1f1
2077,290.49514005480216,289.4229790514357,265.7472884543995,FIO-ESM-2-0,ssp245,r1i1p1f1
2078,290.5794549665583,289.5117598477707,265.9346858775289,FIO-ESM-2-0,ssp245,r1i1p1f1
2079,290.5822009734022,289.5236374222493,266.1482086986655,FIO-ESM-2-0,ssp245,r1i1p1f1
2080,290.5613627184769,289.5429311835715,267.053706301323,FIO-ESM-2-0,ssp245,r1i1p1f1
2081,290.5005470419594,289.47930870415274,266.92810339466706,FIO-ESM-2-0,ssp245,r1i1p1f1
2082,290.65473637409883,289.6604805265462,267.7051083883706,FIO-ESM-2-0,ssp245,r1i1p1f1
2083,290.71098985247943,289.71341607643905,267.68477672555326,FIO-ESM-2-0,ssp245,r1i1p1f1
2084,290.55622199689657,289.5590791721563,267.5399561808563,FIO-ESM-2-0,ssp245,r1i1p1f1
2085,290.5236247976142,289.5148362366951,267.2385495865047,FIO-ESM-2-0,ssp245,r1i1p1f1
2086,290.6990185244467,289.6726013756315,267.00703644411806,FIO-ESM-2-0,ssp245,r1i1p1f1
2087,290.7904723875396,289.8032517245211,268.0032320490818,FIO-ESM-2-0,ssp245,r1i1p1f1
2088,290.7956959041965,289.8181166040583,268.2309995838865,FIO-ESM-2-0,ssp245,r1i1p1f1
2089,290.67571140390027,289.661472362067,267.2648270163753,FIO-ESM-2-0,ssp245,r1i1p1f1
2090,290.69953694121546,289.72468928886593,268.19789310452404,FIO-ESM-2-0,ssp245,r1i1p1f1
2091,290.7871017205949,289.8012108413956,268.03055573915964,FIO-ESM-2-0,ssp245,r1i1p1f1
2092,290.79684355224816,289.8084996148977,267.98367555331527,FIO-ESM-2-0,ssp245,r1i1p1f1
2093,290.8319453868087,289.797456717708,266.9536547338054,FIO-ESM-2-0,ssp245,r1i1p1f1
2094,290.8396325864989,289.79708035359334,266.7752170140199,FIO-ESM-2-0,ssp245,r1i1p1f1
2095,290.7660127797235,289.7745254433498,267.88028816633664,FIO-ESM-2-0,ssp245,r1i1p1f1
2096,290.90923558861584,289.90119410607207,267.6414046017433,FIO-ESM-2-0,ssp245,r1i1p1f1
2097,290.7811352662794,289.7907631537621,267.9211524905602,FIO-ESM-2-0,ssp245,r1i1p1f1
2098,290.70360532322786,289.67975762859743,267.07093193875914,FIO-ESM-2-0,ssp245,r1i1p1f1
2099,290.69977175907167,289.7149867665096,267.96875209159043,FIO-ESM-2-0,ssp245,r1i1p1f1
2100,290.9632824057988,289.97467712106794,268.14408193024536,FIO-ESM-2-0,ssp245,r1i1p1f1
