year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,287.6512155312747,286.4762135319437,260.4692545309332,GFDL-ESM4,historical,r1i1p1f1
1851,287.56567405731613,286.390002382906,260.3682210987574,GFDL-ESM4,historical,r1i1p1f1
1852,287.7871340478113,286.6001771822811,260.328614618654,GFDL-ESM4,historical,r1i1p1f1
1853,287.80528863463593,286.6468972137957,261.0075891904315,GFDL-ESM4,historical,r1i1p1f1
1854,287.6136350761492,286.4347927737834,260.34283425478895,GFDL-ESM4,historical,r1i1p1f1
1855,287.5344961798768,286.3597834595229,260.3592272276181,GFDL-ESM4,historical,r1i1p1f1
1856,287.7542529644729,286.5857929412315,260.72363105890673,GFDL-ESM4,historical,r1i1p1f1
1857,287.77751083371777,286.63528154981225,261.3536989029773,GFDL-ESM4,historical,r1i1p1f1
1858,287.6352635122158,286.4762099124796,260.82224552308,GFDL-ESM4,historical,r1i1p1f1
1859,287.6676625557854,286.5255467179297,261.2464750342835,GFDL-ESM4,historical,r1i1p1f1
1860,287.6068859055457,286.44424077345593,260.7107830430035,GFDL-ESM4,historical,r1i1p1f1
1861,287.52014763363053,286.3601409664277,260.6850818158782,GFDL-ESM4,historical,r1i1p1f1
1862,287.52675186136577,286.3743001740679,260.8664595071914,GFDL-ESM4,historical,r1i1p1f1
1863,287.5561939133506,286.41119553685354,261.06832305600983,GFDL-ESM4,historical,r1i1p1f1
1864,287.70839662831645,286.545941968928,260.816700074476,GFDL-ESM4,historical,r1i1p1f1
1865,287.7881279922135,286.63071251549275,261.01300559469826,GFDL-ESM4,historical,r1i1p1f1
1866,287.7786283134681,286.6284327065781,261.1705270957295,GFDL-ESM4,historical,r1i1p1f1
1867,287.75857688669913,286.59136868502037,260.7569140509124,GFDL-ESM4,historical,r1i1p1f1
1868,287.67985184566453,286.51827843040036,260.80854159196537,GFDL-ESM4,historical,r1i1p1f1
1869,287.6863384437637,286.53448708598023,261.0399338391032,GFDL-ESM4,historical,r1i1p1f1
1870,287.7406964616821,286.5726823147335,260.7203892551591,GFDL-ESM4,historical,r1i1p1f1
1871,287.712831829648,286.5710693921412,261.2998197108343,GFDL-ESM4,historical,r1i1p1f1
1872,287.7857478883095,286.62571017085764,260.9499637682371,GFDL-ESM4,historical,r1i1p1f1
1873,287.66372056665233,286.5170748926945,261.1377418802542,GFDL-ESM4,historical,r1i1p1f1
1874,287.803067299778,286.62705291218765,260.5976861706255,GFDL-ESM4,historical,r1i1p1f1
