year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,289.1685086248824,287.8331219694146,258.2762820499906,GISS-E2-1-G,ssp245,r1i1p1f2
2016,289.07420991763144,287.78633517492347,259.28110228930984,GISS-E2-1-G,ssp245,r1i1p1f2
2017,289.19254539446257,287.9086097669831,259.490563463453,GISS-E2-1-G,ssp245,r1i1p1f2
2018,288.9798207039242,287.7139562186617,259.69588834492237,GISS-E2-1-G,ssp245,r1i1p1f2
2019,289.01438973988587,287.71087409884063,258.8594526943519,GISS-E2-1-G,ssp245,r1i1p1f2
2020,289.2466607966708,287.9680814631686,259.66858893052245,GISS-E2-1-G,ssp245,r1i1p1f2
2021,289.2571589920816,287.97176818807884,259.5215136702398,GISS-E2-1-G,ssp245,r1i1p1f2
2022,289.3507560748625,288.0936454359645,260.2693312099897,GISS-E2-1-G,ssp245,r1i1p1f2
2023,289.3793476928862,288.12299073209897,260.31535807412666,GISS-E2-1-G,ssp245,r1i1p1f2
2024,289.53115474562884,288.2467770390068,259.81894595706996,GISS-E2-1-G,ssp245,r1i1p1f2
2025,289.21987291415263,287.9588362640418,260.04762549433383,GISS-E2-1-G,ssp245,r1i1p1f2
2026,289.1946841471899,287.95457949373707,260.50666800282346,GISS-E2-1-G,ssp245,r1i1p1f2
2027,289.3852762499526,288.1338549631164,260.4354662640251,GISS-E2-1-G,ssp245,r1i1p1f2
2028,289.5435872294819,288.304580537542,260.8809708266288,GISS-E2-1-G,ssp245,r1i1p1f2
2029,289.43477792666937,288.18756573202853,260.58233916217284,GISS-E2-1-G,ssp245,r1i1p1f2
2030,289.2254873648408,287.9836886832854,260.49828234604996,GISS-E2-1-G,ssp245,r1i1p1f2
2031,289.3923454010275,288.14305027568895,260.4917210666333,GISS-E2-1-G,ssp245,r1i1p1f2
2032,289.63748253225134,288.3760302855911,260.4556208911874,GISS-E2-1-G,ssp245,r1i1p1f2
2033,289.7522150543108,288.51188103491853,261.05889286281007,GISS-E2-1-G,ssp245,r1i1p1f2
2034,289.74111114113487,288.49619950725486,260.9418925013056,GISS-E2-1-G,ssp245,r1i1p1f2
2035,289.6111116798579,288.41778259032645,262.00518012347663,GISS-E2-1-G,ssp245,r1i1p1f2
2036,289.60464937192586,288.38689489127523,261.4336719439457,GISS-E2-1-G,ssp245,r1i1p1f2
2037,289.80834712942965,288.5532560248297,260.77364125105663,GISS-E2-1-G,ssp245,r1i1p1f2
2038,289.8714111535835,288.62831921029675,261.1142884070183,GISS-E2-1-G,ssp245,r1i1p1f2
2039,289.6242563583037,288.339150670024,259.8952067737323,GISS-E2-1-G,ssp245,r1i1p1f2
2040,289.5417862840916,288.27686992876994,260.2797875312321,GISS-E2-1-G,ssp245,r1i1p1f2
2041,289.78986868744533,288.56326845483505,261.4142576631426,GISS-E2-1-G,ssp245,r1i1p1f2
2042,289.9709735357433,288.7158018078506,260.9344025548273,GISS-E2-1-G,ssp245,r1i1p1f2
2043,289.79265645497924,288.55311953494873,261.1177739969969,GISS-E2-1-G,ssp245,r1i1p1f2
2044,289.6342789109545,288.3982930545233,261.0415451406238,GISS-E2-1-G,ssp245,r1i1p1f2
2045,289.9280283620706,288.6824064188707,261.11237775002536,GISS-E2-1-G,ssp245,r1i1p1f2
2046,290.096013934523,288.863819255825,261.5909835428743,GISS-E2-1-G,ssp245,r1i1p1f2
2047,289.9875004305207,288.75250031783884,261.4175704070752,GISS-E2-1-G,ssp245,r1i1p1f2
2048,290.0972890674699,288.87904329926164,261.914946416917,GISS-E2-1-G,ssp245,r1i1p1f2
2049,290.0456487981896,288.8479669594204,262.3390227237531,GISS-E2-1-G,ssp245,r1i1p1f2
2050,289.91732766798765,288.6902578221011,261.5308528240861,GISS-E2-1-G,ssp245,r1i1p1f2
2051,290.00925057439713,288.787054803733,261.7355303663818,GISS-E2-1-G,ssp245,r1i1p1f2
2052,290.10777170930453,288.8771489157446,261.63910459239696,GISS-E2-1-G,ssp245,r1i1p1f2
2053,289.9053839847702,288.6695659518941,261.31653256814747,GISS-E2-1-G,ssp245,r1i1p1f2
2054,289.82230086547816,288.5869079073239,261.2432829338066,GISS-E2-1-G,ssp245,r1i1p1f2
2055,290.11741060642976,288.8915242150002,261.75831325883,GISS-E2-1-G,ssp245,r1i1p1f2
2056,290.15129615529764,288.9496904509145,262.3538971611678,GISS-E2-1-G,ssp245,r1i1p1f2
2057,289.8857936884522,288.67972817812864,261.9852235752822,GISS-E2-1-G,ssp245,r1i1p1f2
2058,289.9773304239026,288.7478689586437,261.5355289469253,GISS-E2-1-G,ssp245,r1i1p1f2
2059,290.2101670687463,288.9700602824114,261.52210158327966,GISS-E2-1-G,ssp245,r1i1p1f2
2060,290.29949290291523,289.0702130062342,261.86189175068614,GISS-E2-1-G,ssp245,r1i1p1f2
2061,290.1980587629966,288.9676209061487,261.73366988774234,GISS-E2-1-G,ssp245,r1i1p1f2
2062,289.9364147046998,288.693549746681,261.18454293190905,GISS-E2-1-G,ssp245,r1i1p1f2
2063,289.93336197433916,288.747665870618,262.5040084345973,GISS-E2-1-G,ssp245,r1i1p1f2
2064,290.2359591926047,289.02008329271115,262.10843999610864,GISS-E2-1-G,ssp245,r1i1p1f2
2065,290.26735629567264,289.0351852524649,261.76287267668226,GISS-E2-1-G,ssp245,r1i1p1f2
2066,290.14507517578306,288.92595730857175,261.94255778418943,GISS-E2-1-G,ssp245,r1i1p1f2
2067,290.2571214997884,289.08975324616307,263.25175609519687,GISS-E2-1-G,ssp245,r1i1p1f2
2068,290.3509695038786,289.1483467459791,262.5300424570237,GISS-E2-1-G,ssp245,r1i1p1f2
2069,290.0978955131249,288.9350118368587,263.1962742783302,GISS-E2-1-G,ssp245,r1i1p1f2
2070,290.21565069530743,288.9865755463489,261.78278608361785,GISS-E2-1-G,ssp245,r1i1p1f2
2071,290.54970872128166,289.29940477598575,261.62574680556094,GISS-E2-1-G,ssp245,r1i1p1f2
2072,290.36999632691965,289.12563868446847,261.583593472439,GISS-E2-1-G,ssp245,r1i1p1f2
2073,290.1722792590183,288.9071602408552,260.90559219633985,GISS-E2-1-G,ssp245,r1i1p1f2
2074,290.3821213190553,289.1486340991759,261.84718986852204,GISS-E2-1-G,ssp245,r1i1p1f2
2075,290.49192259260275,289.26797952489494,262.17778121072956,GISS-E2-1-G,ssp245,r1i1p1f2
2076,290.4840626521396,289.2515968508681,261.9727602343831,GISS-E2-1-G,ssp245,r1i1p1f2
2077,290.3206555423921,289.1071689000512,262.24840834172574,GISS-E2-1-G,ssp245,r1i1p1f2
2078,290.2101058014655,289.0088057566771,262.4197777971748,GISS-E2-1-G,ssp245,r1i1p1f2
2079,290.52067739882557,289.2998026584581,262.2775173039236,GISS-E2-1-G,ssp245,r1i1p1f2
2080,290.44557703346993,289.2647797361741,263.1295502500093,GISS-E2-1-G,ssp245,r1i1p1f2
2081,290.2120481758698,289.0120045028542,262.4507845038305,GISS-E2-1-G,ssp245,r1i1p1f2
2082,290.29894689272015,289.0839860630052,262.1925965128683,GISS-E2-1-G,ssp245,r1i1p1f2
2083,290.6493587184258,289.3820962851593,261.33308686712303,GISS-E2-1-G,ssp245,r1i1p1f2
2084,290.70342714045313,289.4432072975522,261.55007536654443,GISS-E2-1-G,ssp245,r1i1p1f2
2085,290.56658410594486,289.3566174287725,262.57576617601694,GISS-E2-1-G,ssp245,r1i1p1f2
2086,290.4597882967049,289.3054865361242,263.7566971900201,GISS-E2-1-G,ssp245,r1i1p1f2
2087,290.6142316097114,289.40020656004634,262.5295291392428,GISS-E2-1-G,ssp245,r1i1p1f2
2088,290.6996606098202,289.4983135971393,262.90824607171504,GISS-E2-1-G,ssp245,r1i1p1f2
2089,290.4179579724192,289.2218661442543,262.7481144789723,GISS-E2-1-G,ssp245,r1i1p1f2
2090,290.61596891823393,289.37449483500524,261.8962730092727,GISS-E2-1-G,ssp245,r1i1p1f2
2091,290.7472964507615,289.5346705234764,262.6949606400918,GISS-E2-1-G,ssp245,r1i1p1f2
2092,290.65859859032,289.4977265710184,263.80351411131846,GISS-E2-1-G,ssp245,r1i1p1f2
2093,290.544166252303,289.35755182077935,263.09356853551105,GISS-E2-1-G,ssp245,r1i1p1f2
2094,290.77823319857004,289.5719622386927,262.8729103090031,GISS-E2-1-G,ssp245,r1i1p1f2
2095,290.62819964200804,289.4099341315721,262.44540028373905,GISS-E2-1-G,ssp245,r1i1p1f2
2096,290.37339961594,289.14492907227765,261.9545216677664,GISS-E2-1-G,ssp245,r1i1p1f2
2097,290.6437688595557,289.4367838102618,262.72192655075514,GISS-E2-1-G,ssp245,r1i1p1f2
2098,290.702109114226,289.4986546800977,262.8619424483465,GISS-E2-1-G,ssp245,r1i1p1f2
2099,290.60130130779424,289.4082551505222,263.0019149774145,GISS-E2-1-G,ssp245,r1i1p1f2
2100,290.6733178347297,289.50334965751057,263.607806982072,GISS-E2-1-G,ssp245,r1i1p1f2
