year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,289.2791367846855,288.06707389520176,260.6551183963336,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2016,289.28393048959015,288.06353357381914,260.4630961408051,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2017,289.24139098610254,288.05208040967534,261.1546901189425,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2018,289.3581799300501,288.17956835143815,261.5241460761761,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2019,289.2246098366162,288.096228933903,262.5768211875576,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2020,289.30508134740944,288.19065563670705,262.98685783576576,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2021,289.4646692490663,288.3371754588941,262.83783060673267,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2022,289.6888104342333,288.5766312177772,263.42364002171246,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2023,289.52497565373346,288.43326987617206,263.74330498076847,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2024,289.55248268150297,288.43558380843467,263.1758530874294,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2025,289.69791760863694,288.5949229884495,263.6496501759572,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2026,289.7533034633419,288.6302566389859,263.2314841499569,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2027,289.6993893089158,288.5857792742964,263.40042876407256,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2028,289.7728007496345,288.675188655243,263.85164678498927,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2029,289.75276641351724,288.62519762692347,263.12415665933435,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2030,289.796435436161,288.64283825863754,262.55314046468936,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2031,289.74306960536643,288.5742393214309,262.1400303319781,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2032,289.8636267595193,288.69768209637385,262.328734166703,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2033,289.79559119964824,288.6410496720746,262.5299945032094,HadGEM3-GC31-LL,ssp245,r1i1p1f3
