year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,288.3330125466928,287.1103999891859,259.7897847790095,HadGEM3-GC31-MM,historical,r1i1p1f3
1851,288.3927035265798,287.1717751465414,259.88879472449275,HadGEM3-GC31-MM,historical,r1i1p1f3
1852,288.2937590668961,287.0646607864052,259.5991150003761,HadGEM3-GC31-MM,historical,r1i1p1f3
1853,288.22058072282266,286.9625327042199,258.85007334730085,HadGEM3-GC31-MM,historical,r1i1p1f3
1854,288.3767900261481,287.1297675223645,259.26368535666495,HadGEM3-GC31-MM,historical,r1i1p1f3
1855,288.3732068199353,287.14405640697936,259.67734566398065,HadGEM3-GC31-MM,historical,r1i1p1f3
1856,288.376533001718,287.11168278021336,258.8472207574273,HadGEM3-GC31-MM,historical,r1i1p1f3
1857,288.363703538507,287.11344442323303,259.1750366327306,HadGEM3-GC31-MM,historical,r1i1p1f3
1858,288.4260645537793,287.1826456307953,259.3970894206024,HadGEM3-GC31-MM,historical,r1i1p1f3
1859,288.46254098334265,287.22946186394404,259.67495987724215,HadGEM3-GC31-MM,historical,r1i1p1f3
1860,288.31209915836865,287.0669512813731,259.24275970220776,HadGEM3-GC31-MM,historical,r1i1p1f3
1861,288.3901067175952,287.15986390641916,259.6687423300447,HadGEM3-GC31-MM,historical,r1i1p1f3
1862,288.17265443536417,286.9347314634637,259.2719882931386,HadGEM3-GC31-MM,historical,r1i1p1f3
1863,288.29451810090706,287.047197740672,259.1744596466935,HadGEM3-GC31-MM,historical,r1i1p1f3
1864,288.3590491193183,287.1185354346524,259.3978999531827,HadGEM3-GC31-MM,historical,r1i1p1f3
1865,288.2817289259985,287.0551613676354,259.64616733631533,HadGEM3-GC31-MM,historical,r1i1p1f3
1866,288.4178111264516,287.1920442657828,259.8009427004514,HadGEM3-GC31-MM,historical,r1i1p1f3
1867,288.5108482485611,287.2916411227292,260.04712400907863,HadGEM3-GC31-MM,historical,r1i1p1f3
1868,288.3946209191847,287.17955466349576,260.02756982355623,HadGEM3-GC31-MM,historical,r1i1p1f3
1869,288.2418905488292,286.976070470099,258.689935926526,HadGEM3-GC31-MM,historical,r1i1p1f3
1870,288.15733407154653,286.903981208536,258.89644024011284,HadGEM3-GC31-MM,historical,r1i1p1f3
1871,288.2906441655038,287.02883185451697,258.83225526591104,HadGEM3-GC31-MM,historical,r1i1p1f3
1872,288.4777618505593,287.21365757848884,258.9658646119261,HadGEM3-GC31-MM,historical,r1i1p1f3
1873,288.23603852515487,286.9972696325384,259.3156234383248,HadGEM3-GC31-MM,historical,r1i1p1f3
1874,288.0979381855379,286.8632093415619,259.2718424542778,HadGEM3-GC31-MM,historical,r1i1p1f3
1875,288.3298673089919,287.0680611858008,258.871622870262,HadGEM3-GC31-MM,historical,r1i1p1f3
1876,288.384867144684,287.119589362854,258.8455730368226,HadGEM3-GC31-MM,historical,r1i1p1f3
1877,288.445283431968,287.1677469724293,258.6197970812572,HadGEM3-GC31-MM,historical,r1i1p1f3
1878,288.2502866152683,286.9686369292957,258.32877249333666,HadGEM3-GC31-MM,historical,r1i1p1f3
1879,288.15108160783734,286.8747682176717,258.35414914975104,HadGEM3-GC31-MM,historical,r1i1p1f3
1880,288.13378564155283,286.88264739147303,258.92459437191076,HadGEM3-GC31-MM,historical,r1i1p1f3
1881,288.32317282982734,287.0366075079183,258.28689780895417,HadGEM3-GC31-MM,historical,r1i1p1f3
1882,288.1864067215126,286.90994993688275,258.386126562778,HadGEM3-GC31-MM,historical,r1i1p1f3
1883,288.17760074577535,286.9321232836107,259.1005667632561,HadGEM3-GC31-MM,historical,r1i1p1f3
1884,287.9702894321114,286.6878574312512,258.0305113132302,HadGEM3-GC31-MM,historical,r1i1p1f3
1885,287.9391708069858,286.6963415380517,258.92396179271725,HadGEM3-GC31-MM,historical,r1i1p1f3
1886,288.0336198495867,286.74101135730825,257.85626040484385,HadGEM3-GC31-MM,historical,r1i1p1f3
1887,288.07702592910925,286.79935868171015,258.24848619270654,HadGEM3-GC31-MM,historical,r1i1p1f3
1888,288.1370374494205,286.86876149295637,258.52774767453997,HadGEM3-GC31-MM,historical,r1i1p1f3
1889,288.2037538018345,286.93780810928774,258.6488665875541,HadGEM3-GC31-MM,historical,r1i1p1f3
1890,288.1524525702182,286.895126374863,258.79879694813235,HadGEM3-GC31-MM,historical,r1i1p1f3
1891,288.22990134842075,286.96523901060823,258.70497545447967,HadGEM3-GC31-MM,historical,r1i1p1f3
1892,288.1160218159136,286.8739044586804,259.1174331591815,HadGEM3-GC31-MM,historical,r1i1p1f3
1893,288.2159164818161,286.9836209823233,259.44662983974416,HadGEM3-GC31-MM,historical,r1i1p1f3
1894,288.1652462972979,286.9372729733738,259.49686557259855,HadGEM3-GC31-MM,historical,r1i1p1f3
1895,288.1801554377114,286.9459007481714,259.3651293605151,HadGEM3-GC31-MM,historical,r1i1p1f3
1896,288.29912506743443,287.0645778497851,259.4772696014826,HadGEM3-GC31-MM,historical,r1i1p1f3
1897,288.32355679327003,287.05384584203404,258.68076549546663,HadGEM3-GC31-MM,historical,r1i1p1f3
1898,288.4300413655936,287.1771219534893,259.1792669197877,HadGEM3-GC31-MM,historical,r1i1p1f3
1899,288.29685308644997,287.0609226111275,259.4427039567496,HadGEM3-GC31-MM,historical,r1i1p1f3
1900,288.250058356524,287.00874203460717,259.2701707456318,HadGEM3-GC31-MM,historical,r1i1p1f3
1901,288.2948250748102,287.0561369451408,259.37629548733776,HadGEM3-GC31-MM,historical,r1i1p1f3
1902,288.2872257692146,286.99106550025397,258.0269462119632,HadGEM3-GC31-MM,historical,r1i1p1f3
1903,288.00849602491985,286.74419981743245,258.49211784398784,HadGEM3-GC31-MM,historical,r1i1p1f3
1904,288.1524091676938,286.86243641002494,258.0365838310649,HadGEM3-GC31-MM,historical,r1i1p1f3
1905,288.27585265104426,287.0460448457823,259.5646439524802,HadGEM3-GC31-MM,historical,r1i1p1f3
1906,288.1769967180171,286.9325793984299,259.1247129238316,HadGEM3-GC31-MM,historical,r1i1p1f3
1907,288.19580066505193,286.9622471889494,259.3971451827216,HadGEM3-GC31-MM,historical,r1i1p1f3
1908,288.2910704231522,287.0459377933133,259.22208692854673,HadGEM3-GC31-MM,historical,r1i1p1f3
1909,288.33779611618695,287.11408566037863,259.76893671149094,HadGEM3-GC31-MM,historical,r1i1p1f3
1910,288.33097462387826,287.1031502193972,259.666070586505,HadGEM3-GC31-MM,historical,r1i1p1f3
1911,288.2734892861936,287.0110186472923,258.7997310011887,HadGEM3-GC31-MM,historical,r1i1p1f3
1912,288.13050668322865,286.89899174800513,259.3794431680085,HadGEM3-GC31-MM,historical,r1i1p1f3
1913,288.0507865866542,286.8180223142998,259.27055592926195,HadGEM3-GC31-MM,historical,r1i1p1f3
1914,288.0621430140691,286.80155307032095,258.6322916150103,HadGEM3-GC31-MM,historical,r1i1p1f3
1915,288.09385963803896,286.84978589483046,259.04959701030555,HadGEM3-GC31-MM,historical,r1i1p1f3
1916,288.3058297232941,287.038292154924,258.713778426313,HadGEM3-GC31-MM,historical,r1i1p1f3
1917,288.2660177027348,287.0060538339353,258.8507827083148,HadGEM3-GC31-MM,historical,r1i1p1f3
1918,288.43522130377954,287.1731692040614,258.9712342739128,HadGEM3-GC31-MM,historical,r1i1p1f3
1919,288.24073968163776,286.9865544657915,258.96041366261176,HadGEM3-GC31-MM,historical,r1i1p1f3
1920,288.2511190514681,286.98065501892665,258.5907462466724,HadGEM3-GC31-MM,historical,r1i1p1f3
1921,288.2466379965825,286.99974947684797,259.13666133131403,HadGEM3-GC31-MM,historical,r1i1p1f3
1922,288.19613599841546,286.92186699635795,258.4469320173962,HadGEM3-GC31-MM,historical,r1i1p1f3
1923,288.2065335711888,286.90751887236183,257.8796142257887,HadGEM3-GC31-MM,historical,r1i1p1f3
1924,288.3106673134134,287.060335572169,259.12030487490233,HadGEM3-GC31-MM,historical,r1i1p1f3
1925,288.37776142992743,287.1374280971302,259.420822775487,HadGEM3-GC31-MM,historical,r1i1p1f3
1926,288.1585449809628,286.90967368361987,259.00227820314666,HadGEM3-GC31-MM,historical,r1i1p1f3
1927,288.19333480892993,286.9440968892653,259.02850883190547,HadGEM3-GC31-MM,historical,r1i1p1f3
1928,288.41909172813195,287.1810814630677,259.51638763149157,HadGEM3-GC31-MM,historical,r1i1p1f3
1929,288.38190703588714,287.13830927330224,259.34875669656475,HadGEM3-GC31-MM,historical,r1i1p1f3
1930,288.5205589972911,287.26392003521164,259.1829475879025,HadGEM3-GC31-MM,historical,r1i1p1f3
1931,288.4643209063768,287.2242147490042,259.51268591076354,HadGEM3-GC31-MM,historical,r1i1p1f3
1932,288.4288274284333,287.16457623918836,258.9135002476253,HadGEM3-GC31-MM,historical,r1i1p1f3
1933,288.3158243512928,287.0582573129951,258.9565459872153,HadGEM3-GC31-MM,historical,r1i1p1f3
1934,288.2598248943678,286.9977547996055,258.79541775050575,HadGEM3-GC31-MM,historical,r1i1p1f3
1935,288.2193753296689,286.97102118859294,259.0751821307063,HadGEM3-GC31-MM,historical,r1i1p1f3
1936,288.3415892078891,287.0604190513681,258.4312702256393,HadGEM3-GC31-MM,historical,r1i1p1f3
1937,288.4013732991269,287.1425769182641,259.0133945878942,HadGEM3-GC31-MM,historical,r1i1p1f3
1938,288.3618598800292,287.10724878248817,259.0715911868955,HadGEM3-GC31-MM,historical,r1i1p1f3
1939,288.42895500813574,287.1560920005553,258.7125755064306,HadGEM3-GC31-MM,historical,r1i1p1f3
1940,288.4054410708662,287.1361186502635,258.77172044577514,HadGEM3-GC31-MM,historical,r1i1p1f3
1941,288.30389148972296,287.0313144771199,258.59418885365983,HadGEM3-GC31-MM,historical,r1i1p1f3
1942,288.29203724308513,286.9931263370303,257.96754105350703,HadGEM3-GC31-MM,historical,r1i1p1f3
1943,288.3914627221937,287.1128784644726,258.54151437655634,HadGEM3-GC31-MM,historical,r1i1p1f3
1944,288.47615618068176,287.2006781435233,258.69872595247585,HadGEM3-GC31-MM,historical,r1i1p1f3
1945,288.39021415852926,287.1221104722559,258.7849462197257,HadGEM3-GC31-MM,historical,r1i1p1f3
1946,288.48520201693964,287.2517423019808,259.68873549109054,HadGEM3-GC31-MM,historical,r1i1p1f3
1947,288.56979180538656,287.3233106984571,259.4693266377848,HadGEM3-GC31-MM,historical,r1i1p1f3
1948,288.3875647555087,287.11846443004214,258.75902918435355,HadGEM3-GC31-MM,historical,r1i1p1f3
1949,288.50868795679514,287.24152663521494,258.9254205527569,HadGEM3-GC31-MM,historical,r1i1p1f3
1950,288.30935864818184,287.0248494257065,258.3210855180866,HadGEM3-GC31-MM,historical,r1i1p1f3
1951,288.3279237707748,287.04740891618565,258.43290352906246,HadGEM3-GC31-MM,historical,r1i1p1f3
1952,288.4363171169451,287.17279202718254,258.9379415229492,HadGEM3-GC31-MM,historical,r1i1p1f3
1953,288.36942979875863,287.1122117248117,259.0182983892384,HadGEM3-GC31-MM,historical,r1i1p1f3
1954,288.3192899560341,287.0323252416333,258.27369068048034,HadGEM3-GC31-MM,historical,r1i1p1f3
1955,288.42575498479346,287.17181081016076,259.15105633660886,HadGEM3-GC31-MM,historical,r1i1p1f3
1956,288.571719287941,287.3368923171158,259.74333267802905,HadGEM3-GC31-MM,historical,r1i1p1f3
1957,288.6629826054871,287.39636438844457,259.09239457107,HadGEM3-GC31-MM,historical,r1i1p1f3
1958,288.6529697296605,287.40722277531796,259.5696441574073,HadGEM3-GC31-MM,historical,r1i1p1f3
