year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,287.59483083887926,286.37804705038354,259.4463089609841,INM-CM5-0,historical,r1i1p1f1
1851,287.5512234612944,286.3499059479786,259.76049134801093,INM-CM5-0,historical,r1i1p1f1
1852,287.5048386660558,286.3156797498937,259.99537800068885,INM-CM5-0,historical,r1i1p1f1
1853,287.56790452187295,286.3557205356237,259.52579237378563,INM-CM5-0,historical,r1i1p1f1
1854,287.547922615069,286.3409794220908,259.6270485911593,INM-CM5-0,historical,r1i1p1f1
1855,287.6309962753754,286.4131230911882,259.4572728138096,INM-CM5-0,historical,r1i1p1f1
1856,287.6042204814112,286.39237055534437,259.5698363294114,INM-CM5-0,historical,r1i1p1f1
1857,287.607042536293,286.3995749702538,259.6740379048591,INM-CM5-0,historical,r1i1p1f1
1858,287.6083428922221,286.3925642703751,259.48307408169387,INM-CM5-0,historical,r1i1p1f1
1859,287.5962222850023,286.3795225498215,259.4496448582102,INM-CM5-0,historical,r1i1p1f1
1860,287.6228040899146,286.4077323672807,259.513888363768,INM-CM5-0,historical,r1i1p1f1
1861,287.56238614924956,286.3548746829173,259.6283659484378,INM-CM5-0,historical,r1i1p1f1
1862,287.5277150065646,286.2998840989808,259.12363410801373,INM-CM5-0,historical,r1i1p1f1
1863,287.4177810816243,286.1804990401342,258.79506195658786,INM-CM5-0,historical,r1i1p1f1
1864,287.5128022156434,286.27083682773076,258.7817406878921,INM-CM5-0,historical,r1i1p1f1
1865,287.54847932333803,286.3426889163096,259.6542733244647,INM-CM5-0,historical,r1i1p1f1
1866,287.59389890440076,286.3442383935431,258.68482190781623,INM-CM5-0,historical,r1i1p1f1
1867,287.53175746434226,286.3319873915622,259.7768231355054,INM-CM5-0,historical,r1i1p1f1
1868,287.56151262060376,286.34235555460634,259.3580884220914,INM-CM5-0,historical,r1i1p1f1
1869,287.6565353316329,286.4121150255363,258.8686828449065,INM-CM5-0,historical,r1i1p1f1
1870,287.6316252157694,286.41479293076094,259.4819814416414,INM-CM5-0,historical,r1i1p1f1
1871,287.556526944165,286.3179993037807,258.9049927017207,INM-CM5-0,historical,r1i1p1f1
1872,287.61873839926267,286.36644885889564,258.6488426316196,INM-CM5-0,historical,r1i1p1f1
1873,287.58381038239725,286.34677410258166,258.96677659598953,INM-CM5-0,historical,r1i1p1f1
1874,287.4800595328809,286.2368758223912,258.72081388561236,INM-CM5-0,historical,r1i1p1f1
1875,287.53835510859784,286.3058089475293,259.025193683887,INM-CM5-0,historical,r1i1p1f1
1876,287.5408000758412,286.3257969416527,259.4334710435433,INM-CM5-0,historical,r1i1p1f1
1877,287.65878878746497,286.4945164996333,260.7250440452118,INM-CM5-0,historical,r1i1p1f1
1878,287.567188709559,286.3727174472045,259.93483464732395,INM-CM5-0,historical,r1i1p1f1
1879,287.448752839639,286.20720695854294,258.7273959914783,INM-CM5-0,historical,r1i1p1f1
1880,287.56237618408625,286.33128505297674,259.0828747596298,INM-CM5-0,historical,r1i1p1f1
1881,287.5719431300927,286.3267579772253,258.7663970265867,INM-CM5-0,historical,r1i1p1f1
1882,287.58059835407687,286.3676219015554,259.5201536522433,INM-CM5-0,historical,r1i1p1f1
1883,287.60102862480505,286.37027643192744,259.12936804300944,INM-CM5-0,historical,r1i1p1f1
1884,287.2656534674843,286.0306228272218,258.6950172328608,INM-CM5-0,historical,r1i1p1f1
1885,287.2817129734705,286.01759141916233,258.03810078518325,INM-CM5-0,historical,r1i1p1f1
1886,287.4092582622444,286.1726799336704,258.8028185112447,INM-CM5-0,historical,r1i1p1f1
1887,287.3279510053673,286.06256924820144,258.055185858236,INM-CM5-0,historical,r1i1p1f1
1888,287.423787546713,286.1927095322196,258.9445895560803,INM-CM5-0,historical,r1i1p1f1
1889,287.56178938820506,286.34678720313264,259.45448231232604,INM-CM5-0,historical,r1i1p1f1
1890,287.43652596109024,286.2321300997431,259.5745807467452,INM-CM5-0,historical,r1i1p1f1
1891,287.45588177969535,286.24160632251704,259.3653864958708,INM-CM5-0,historical,r1i1p1f1
1892,287.5835575876921,286.37460239896274,259.6161389706095,INM-CM5-0,historical,r1i1p1f1
1893,287.6016745674178,286.3852588568754,259.46166763722505,INM-CM5-0,historical,r1i1p1f1
1894,287.51120460098525,286.29516470941434,259.37989169567993,INM-CM5-0,historical,r1i1p1f1
1895,287.54358750018906,286.3204519373242,259.24812656748014,INM-CM5-0,historical,r1i1p1f1
1896,287.5396340284551,286.3256483388778,259.4558420963101,INM-CM5-0,historical,r1i1p1f1
1897,287.5877874062919,286.3401857824294,258.7263397635623,INM-CM5-0,historical,r1i1p1f1
1898,287.62922382154335,286.39756726774976,259.1366421662832,INM-CM5-0,historical,r1i1p1f1
1899,287.63962954032945,286.423097610353,259.49693404269243,INM-CM5-0,historical,r1i1p1f1
1900,287.679183877808,286.44359167231465,259.0955566489437,INM-CM5-0,historical,r1i1p1f1
1901,287.7081377598936,286.4682616584225,259.0254088329384,INM-CM5-0,historical,r1i1p1f1
1902,287.7274508314381,286.5010485801558,259.3564198169654,INM-CM5-0,historical,r1i1p1f1
1903,287.556727520924,286.33570654644353,259.3101845126378,INM-CM5-0,historical,r1i1p1f1
1904,287.5023644072875,286.22547772143747,257.9634494808505,INM-CM5-0,historical,r1i1p1f1
1905,287.66377920528805,286.4417538225014,259.3940006727872,INM-CM5-0,historical,r1i1p1f1
1906,287.7246466141421,286.50127250294383,259.4236672129553,INM-CM5-0,historical,r1i1p1f1
1907,287.75764482099385,286.5159900902742,259.0337698952246,INM-CM5-0,historical,r1i1p1f1
1908,287.7248552434546,286.48074521048,258.9441804737929,INM-CM5-0,historical,r1i1p1f1
1909,287.63371544669155,286.4116888784733,259.36390949095363,INM-CM5-0,historical,r1i1p1f1
1910,287.71249173006703,286.50768206529443,259.8409737757736,INM-CM5-0,historical,r1i1p1f1
1911,287.7806884579567,286.56240403586764,259.59745160610333,INM-CM5-0,historical,r1i1p1f1
1912,287.68481640277236,286.47301663780627,259.65159265482527,INM-CM5-0,historical,r1i1p1f1
1913,287.5957685140795,286.3869102886776,259.6305930024432,INM-CM5-0,historical,r1i1p1f1
1914,287.67099828634224,286.42905086523484,258.94035239447345,INM-CM5-0,historical,r1i1p1f1
1915,287.734990823337,286.5358886687939,259.9955078107336,INM-CM5-0,historical,r1i1p1f1
1916,287.6694808106257,286.4290200508077,258.9732266638082,INM-CM5-0,historical,r1i1p1f1
1917,287.80882393359354,286.5831613380907,259.45490377898597,INM-CM5-0,historical,r1i1p1f1
1918,287.8284759158972,286.6189189116812,259.84713517349144,INM-CM5-0,historical,r1i1p1f1
1919,287.89210154703784,286.68746997819534,260.024703582864,INM-CM5-0,historical,r1i1p1f1
1920,287.8994643269941,286.6861099857746,259.8302777201602,INM-CM5-0,historical,r1i1p1f1
1921,287.87833461310083,286.67560948235274,260.0550393193589,INM-CM5-0,historical,r1i1p1f1
1922,287.81873046763724,286.63833292247455,260.5119513678742,INM-CM5-0,historical,r1i1p1f1
1923,287.7960329320433,286.6123375919941,260.41296414763,INM-CM5-0,historical,r1i1p1f1
1924,287.80679502897624,286.5763308717618,259.34179773300457,INM-CM5-0,historical,r1i1p1f1
1925,287.8122859388638,286.5986398309394,259.73634973399027,INM-CM5-0,historical,r1i1p1f1
1926,287.8590431967351,286.6346731374035,259.5350239851213,INM-CM5-0,historical,r1i1p1f1
1927,287.86937067695436,286.6233426386326,259.0443256453041,INM-CM5-0,historical,r1i1p1f1
1928,287.90000884376224,286.6907528485313,259.92563150609334,INM-CM5-0,historical,r1i1p1f1
1929,287.96090207631244,286.75483906710116,260.06038982271434,INM-CM5-0,historical,r1i1p1f1
1930,287.8884011671685,286.72410826192186,260.95417947102806,INM-CM5-0,historical,r1i1p1f1
