year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,287.29532,286.1507,260.11896,IPSL-CM5A2-INCA,historical,r1i1p1f1
1851,287.1854,286.05823,260.42374,IPSL-CM5A2-INCA,historical,r1i1p1f1
1852,287.0473,285.9478,260.94278,IPSL-CM5A2-INCA,historical,r1i1p1f1
1853,287.08136,285.9607,260.47507,IPSL-CM5A2-INCA,historical,r1i1p1f1
1854,287.29446,286.15283,260.18842,IPSL-CM5A2-INCA,historical,r1i1p1f1
1855,287.11246,285.97467,260.09808,IPSL-CM5A2-INCA,historical,r1i1p1f1
1856,287.06165,285.8935,259.32596,IPSL-CM5A2-INCA,historical,r1i1p1f1
1857,287.21777,286.09125,260.47156,IPSL-CM5A2-INCA,historical,r1i1p1f1
1858,286.99884,285.8403,259.4915,IPSL-CM5A2-INCA,historical,r1i1p1f1
1859,287.0015,285.82288,259.01617,IPSL-CM5A2-INCA,historical,r1i1p1f1
1860,287.25342,286.08798,259.58157,IPSL-CM5A2-INCA,historical,r1i1p1f1
1861,286.89304,285.70905,258.78055,IPSL-CM5A2-INCA,historical,r1i1p1f1
1862,286.79575,285.61014,258.64435,IPSL-CM5A2-INCA,historical,r1i1p1f1
1863,287.01224,285.8531,259.49048,IPSL-CM5A2-INCA,historical,r1i1p1f1
1864,287.1525,286.01138,260.05927,IPSL-CM5A2-INCA,historical,r1i1p1f1
1865,286.92438,285.778,259.70615,IPSL-CM5A2-INCA,historical,r1i1p1f1
1866,286.801,285.62988,258.99402,IPSL-CM5A2-INCA,historical,r1i1p1f1
1867,286.79944,285.64493,259.38776,IPSL-CM5A2-INCA,historical,r1i1p1f1
1868,287.0867,285.8914,258.70483,IPSL-CM5A2-INCA,historical,r1i1p1f1
1869,287.1838,286.03644,259.94162,IPSL-CM5A2-INCA,historical,r1i1p1f1
1870,286.99997,285.85022,259.7022,IPSL-CM5A2-INCA,historical,r1i1p1f1
1871,287.01288,285.873,259.94913,IPSL-CM5A2-INCA,historical,r1i1p1f1
1872,287.13184,286.00238,260.31598,IPSL-CM5A2-INCA,historical,r1i1p1f1
1873,286.98843,285.83826,259.6797,IPSL-CM5A2-INCA,historical,r1i1p1f1
1874,287.2436,286.0932,259.92978,IPSL-CM5A2-INCA,historical,r1i1p1f1
1875,287.1048,285.9499,259.68307,IPSL-CM5A2-INCA,historical,r1i1p1f1
1876,287.22934,286.03452,258.85907,IPSL-CM5A2-INCA,historical,r1i1p1f1
1877,287.03946,285.86313,259.1086,IPSL-CM5A2-INCA,historical,r1i1p1f1
1878,286.86215,285.71387,259.5991,IPSL-CM5A2-INCA,historical,r1i1p1f1
1879,286.86975,285.71976,259.56528,IPSL-CM5A2-INCA,historical,r1i1p1f1
1880,286.90692,285.76724,259.84872,IPSL-CM5A2-INCA,historical,r1i1p1f1
1881,287.0505,285.88644,259.41043,IPSL-CM5A2-INCA,historical,r1i1p1f1
1882,287.12418,285.96762,259.6636,IPSL-CM5A2-INCA,historical,r1i1p1f1
1883,287.0922,285.96118,260.24026,IPSL-CM5A2-INCA,historical,r1i1p1f1
1884,286.77264,285.63312,259.71738,IPSL-CM5A2-INCA,historical,r1i1p1f1
1885,286.9002,285.75882,259.80026,IPSL-CM5A2-INCA,historical,r1i1p1f1
1886,286.91733,285.76797,259.6288,IPSL-CM5A2-INCA,historical,r1i1p1f1
1887,286.9106,285.76202,259.63947,IPSL-CM5A2-INCA,historical,r1i1p1f1
1888,286.97418,285.8133,259.40985,IPSL-CM5A2-INCA,historical,r1i1p1f1
1889,286.9396,285.75848,258.89392,IPSL-CM5A2-INCA,historical,r1i1p1f1
1890,286.94693,285.78946,259.46588,IPSL-CM5A2-INCA,historical,r1i1p1f1
1891,286.98764,285.84113,259.76572,IPSL-CM5A2-INCA,historical,r1i1p1f1
1892,286.85315,285.6696,258.75043,IPSL-CM5A2-INCA,historical,r1i1p1f1
1893,287.03903,285.8381,258.52368,IPSL-CM5A2-INCA,historical,r1i1p1f1
1894,287.2215,286.0688,259.8529,IPSL-CM5A2-INCA,historical,r1i1p1f1
1895,287.1673,286.00665,259.6094,IPSL-CM5A2-INCA,historical,r1i1p1f1
1896,287.17474,286.03775,260.1785,IPSL-CM5A2-INCA,historical,r1i1p1f1
1897,287.27643,286.11612,259.727,IPSL-CM5A2-INCA,historical,r1i1p1f1
1898,286.97903,285.85794,260.36224,IPSL-CM5A2-INCA,historical,r1i1p1f1
1899,287.10083,286.00177,261.00687,IPSL-CM5A2-INCA,historical,r1i1p1f1
1900,287.24637,286.12888,260.7147,IPSL-CM5A2-INCA,historical,r1i1p1f1
1901,287.09335,285.93158,259.5076,IPSL-CM5A2-INCA,historical,r1i1p1f1
1902,286.94324,285.7959,259.70132,IPSL-CM5A2-INCA,historical,r1i1p1f1
1903,287.1593,286.02362,260.19452,IPSL-CM5A2-INCA,historical,r1i1p1f1
1904,287.0459,285.88855,259.5671,IPSL-CM5A2-INCA,historical,r1i1p1f1
1905,286.92163,285.7732,259.6545,IPSL-CM5A2-INCA,historical,r1i1p1f1
1906,287.14844,286.00583,260.02026,IPSL-CM5A2-INCA,historical,r1i1p1f1
1907,287.05896,285.95255,260.78967,IPSL-CM5A2-INCA,historical,r1i1p1f1
1908,287.17032,286.02872,260.0654,IPSL-CM5A2-INCA,historical,r1i1p1f1
1909,287.18124,286.06393,260.65396,IPSL-CM5A2-INCA,historical,r1i1p1f1
1910,287.2933,286.1633,260.46463,IPSL-CM5A2-INCA,historical,r1i1p1f1
1911,287.3114,286.1675,260.15146,IPSL-CM5A2-INCA,historical,r1i1p1f1
1912,287.16425,286.00815,259.7135,IPSL-CM5A2-INCA,historical,r1i1p1f1
1913,287.1538,286.00546,259.88898,IPSL-CM5A2-INCA,historical,r1i1p1f1
1914,286.83698,285.71146,260.115,IPSL-CM5A2-INCA,historical,r1i1p1f1
1915,286.96646,285.82037,259.75446,IPSL-CM5A2-INCA,historical,r1i1p1f1
1916,287.0639,285.91653,259.82208,IPSL-CM5A2-INCA,historical,r1i1p1f1
1917,287.15485,285.98663,259.4164,IPSL-CM5A2-INCA,historical,r1i1p1f1
1918,287.04376,285.92456,260.4715,IPSL-CM5A2-INCA,historical,r1i1p1f1
1919,286.8369,285.68994,259.60452,IPSL-CM5A2-INCA,historical,r1i1p1f1
1920,286.8319,285.65997,259.00565,IPSL-CM5A2-INCA,historical,r1i1p1f1
1921,287.11115,285.97595,260.1584,IPSL-CM5A2-INCA,historical,r1i1p1f1
1922,287.1889,286.05408,260.2464,IPSL-CM5A2-INCA,historical,r1i1p1f1
1923,287.29694,286.15573,260.2021,IPSL-CM5A2-INCA,historical,r1i1p1f1
1924,287.159,285.99048,259.41354,IPSL-CM5A2-INCA,historical,r1i1p1f1
1925,287.1862,286.05032,260.2177,IPSL-CM5A2-INCA,historical,r1i1p1f1
1926,287.13873,285.96237,259.20825,IPSL-CM5A2-INCA,historical,r1i1p1f1
1927,287.31485,286.16742,260.07098,IPSL-CM5A2-INCA,historical,r1i1p1f1
1928,287.2145,286.0669,259.96777,IPSL-CM5A2-INCA,historical,r1i1p1f1
