year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,287.11795,286.028,260.69452,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1851,287.2014,286.13882,261.44113,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1852,287.23633,286.1716,261.42288,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1853,287.19434,286.10803,260.8579,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1854,287.31357,286.23798,261.23676,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1855,287.33325,286.27185,261.6008,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1856,287.23004,286.13123,260.59167,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1857,287.23404,286.1658,261.33646,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1858,287.31525,286.22357,260.84933,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1859,287.07904,285.976,260.33685,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1860,287.0192,285.89056,259.65756,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1861,287.1431,286.06232,260.94138,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1862,287.0765,285.9882,260.691,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1863,287.02484,285.94055,260.73785,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1864,287.2408,286.17603,261.42633,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1865,287.33777,286.21686,260.1622,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1866,287.16544,286.03506,259.76147,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1867,287.24936,286.1604,260.84955,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1868,287.12967,286.0443,260.81668,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1869,287.15714,286.07645,260.9571,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1870,287.10782,286.0162,260.64276,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1871,287.33987,286.24597,260.81985,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1872,287.2718,286.21106,261.5558,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1873,287.33475,286.28268,261.82797,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1874,287.1161,286.0308,260.80423,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1875,287.178,286.0933,260.881,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1876,287.27072,286.15976,260.33774,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1877,287.191,286.11737,261.16193,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1878,287.15555,286.06735,260.77396,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1879,287.39453,286.31442,261.20914,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1880,287.34506,286.2435,260.64026,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1881,287.2296,286.1342,260.67236,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1882,287.4804,286.40744,261.4679,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1883,287.57028,286.48807,261.3335,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1884,286.99603,285.92307,260.9831,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1885,286.9117,285.82605,260.59186,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1886,287.18488,286.1056,261.0192,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1887,287.0721,285.97824,260.5525,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1888,287.1011,286.0105,260.66104,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
