year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,287.9546740393378,286.67529516267706,257.7409245640057,KACE-1-0-G,historical,r1i1p1f1
1851,287.9108331483175,286.64354143396736,257.98253351164186,KACE-1-0-G,historical,r1i1p1f1
1852,287.96540303869125,286.69452219195273,257.9523426256789,KACE-1-0-G,historical,r1i1p1f1
1853,288.0396441276337,286.740751466035,257.3650580540202,KACE-1-0-G,historical,r1i1p1f1
1854,287.8968572365491,286.65925265450187,258.6696474759117,KACE-1-0-G,historical,r1i1p1f1
1855,288.0279512689225,286.72787958950335,257.32552156767184,KACE-1-0-G,historical,r1i1p1f1
1856,288.02674886719217,286.7410787936522,257.6644267916117,KACE-1-0-G,historical,r1i1p1f1
1857,288.0294654519596,286.73997160523106,257.57684133429063,KACE-1-0-G,historical,r1i1p1f1
1858,287.9846851071979,286.7019555341211,257.69180574788027,KACE-1-0-G,historical,r1i1p1f1
1859,288.08090308428723,286.7921431993743,257.64561217323944,KACE-1-0-G,historical,r1i1p1f1
1860,287.98389256139814,286.7245498412732,258.24331598665424,KACE-1-0-G,historical,r1i1p1f1
1861,287.95831915622176,286.6878918341564,257.955969159886,KACE-1-0-G,historical,r1i1p1f1
1862,287.8800687761705,286.6122303088448,257.9388570477502,KACE-1-0-G,historical,r1i1p1f1
1863,287.87589616172284,286.6013627627649,257.77657725271047,KACE-1-0-G,historical,r1i1p1f1
1864,287.98750167026947,286.696441000542,257.497875536678,KACE-1-0-G,historical,r1i1p1f1
1865,287.8404832205443,286.5322601468362,256.94555058727633,KACE-1-0-G,historical,r1i1p1f1
1866,287.9902674937502,286.714657590075,257.865525901574,KACE-1-0-G,historical,r1i1p1f1
1867,287.95146077177776,286.6643971432408,257.55622856900493,KACE-1-0-G,historical,r1i1p1f1
1868,287.999281032374,286.7309390253872,258.0461777357548,KACE-1-0-G,historical,r1i1p1f1
1869,287.98736924115707,286.7205851507458,258.07105762679134,KACE-1-0-G,historical,r1i1p1f1
1870,287.9680809530328,286.64723354721895,256.7750127052866,KACE-1-0-G,historical,r1i1p1f1
1871,287.991416470253,286.695574768922,257.38888172628907,KACE-1-0-G,historical,r1i1p1f1
1872,287.8890492940707,286.5982441743881,257.4054582179454,KACE-1-0-G,historical,r1i1p1f1
1873,287.95310579697195,286.6836613292373,257.9739668408169,KACE-1-0-G,historical,r1i1p1f1
1874,288.13038579824826,286.8765620734435,258.5201455492017,KACE-1-0-G,historical,r1i1p1f1
1875,288.1487084781607,286.8447157843305,257.3536802908311,KACE-1-0-G,historical,r1i1p1f1
1876,287.89606675825866,286.58688293429145,256.9784450934825,KACE-1-0-G,historical,r1i1p1f1
1877,287.9867481388773,286.6914650567746,257.39740571950597,KACE-1-0-G,historical,r1i1p1f1
1878,288.0666590113787,286.7966866133697,258.07505247948126,KACE-1-0-G,historical,r1i1p1f1
1879,288.06894173664966,286.8161915575113,258.484054289971,KACE-1-0-G,historical,r1i1p1f1
