year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,289.4338795665322,288.2548473562915,261.5899120965211,KACE-1-0-G,ssp245,r1i1p1f1
2016,289.4384168576318,288.30927950776294,262.7727639892449,KACE-1-0-G,ssp245,r1i1p1f1
2017,289.6055703232514,288.46424826158267,262.6521638922083,KACE-1-0-G,ssp245,r1i1p1f1
2018,289.5953091176734,288.42843748038024,262.0385251483594,KACE-1-0-G,ssp245,r1i1p1f1
2019,289.6596817940665,288.5393318282055,263.2015513600474,KACE-1-0-G,ssp245,r1i1p1f1
2020,289.73818116647726,288.59765856589354,262.8036547696214,KACE-1-0-G,ssp245,r1i1p1f1
2021,289.8358347398784,288.7101886791423,263.2526319862533,KACE-1-0-G,ssp245,r1i1p1f1
2022,289.9242488761326,288.8188134251971,263.81833890293336,KACE-1-0-G,ssp245,r1i1p1f1
2023,289.8949787473795,288.8033441985913,264.1149902096707,KACE-1-0-G,ssp245,r1i1p1f1
2024,289.93158784332473,288.8294588793699,263.90376370623204,KACE-1-0-G,ssp245,r1i1p1f1
2025,290.0339591286119,288.9504700578262,264.4463338041871,KACE-1-0-G,ssp245,r1i1p1f1
2026,290.058362914831,288.95640935005986,264.0346809963485,KACE-1-0-G,ssp245,r1i1p1f1
2027,290.07136761903763,288.9726962439343,264.12519773250017,KACE-1-0-G,ssp245,r1i1p1f1
2028,290.1089534492052,289.00483001686314,264.03402804345336,KACE-1-0-G,ssp245,r1i1p1f1
2029,290.0616268733114,288.9381543199741,263.5297535649575,KACE-1-0-G,ssp245,r1i1p1f1
2030,290.0887439182483,288.9815522453001,263.9413590912117,KACE-1-0-G,ssp245,r1i1p1f1
2031,290.16555838466246,289.0516357504352,263.8592155026466,KACE-1-0-G,ssp245,r1i1p1f1
2032,290.1766507975619,289.05659663847433,263.7255061219489,KACE-1-0-G,ssp245,r1i1p1f1
2033,290.10122205073753,288.98998021408636,263.8581887542039,KACE-1-0-G,ssp245,r1i1p1f1
2034,290.16319012567334,289.0541181603599,263.9714004053727,KACE-1-0-G,ssp245,r1i1p1f1
2035,290.3836875825845,289.2979099373503,264.7420153950272,KACE-1-0-G,ssp245,r1i1p1f1
2036,290.4336009631996,289.350391711104,264.8525838233868,KACE-1-0-G,ssp245,r1i1p1f1
2037,290.38159539179173,289.3175495486249,265.2531403874253,KACE-1-0-G,ssp245,r1i1p1f1
2038,290.406531942653,289.3423147040312,265.274029271538,KACE-1-0-G,ssp245,r1i1p1f1
2039,290.46745663517237,289.3794541105661,264.77324180431594,KACE-1-0-G,ssp245,r1i1p1f1
2040,290.4797505471151,289.40876084994096,265.1873098234269,KACE-1-0-G,ssp245,r1i1p1f1
2041,290.50980477213784,289.4329377935822,265.07856645651117,KACE-1-0-G,ssp245,r1i1p1f1
2042,290.4005860235778,289.3454349451914,265.4821893526879,KACE-1-0-G,ssp245,r1i1p1f1
2043,290.5959234191517,289.5316375972047,265.4618010875548,KACE-1-0-G,ssp245,r1i1p1f1
2044,290.5297187146668,289.48804664412256,265.9296416389706,KACE-1-0-G,ssp245,r1i1p1f1
2045,290.59031352546776,289.54834870306377,265.9833228360558,KACE-1-0-G,ssp245,r1i1p1f1
2046,290.67571972592987,289.63628884812624,266.1285705492505,KACE-1-0-G,ssp245,r1i1p1f1
2047,290.729968102136,289.67595708133155,265.83849497578524,KACE-1-0-G,ssp245,r1i1p1f1
2048,290.71728323731526,289.6572144968646,265.6827512977146,KACE-1-0-G,ssp245,r1i1p1f1
2049,290.79325124061717,289.7453920416479,266.0470592402345,KACE-1-0-G,ssp245,r1i1p1f1
2050,290.8863433844401,289.83252639771433,265.99945255747235,KACE-1-0-G,ssp245,r1i1p1f1
2051,290.8625280190944,289.80569321715484,265.9043686144684,KACE-1-0-G,ssp245,r1i1p1f1
2052,290.8036507328421,289.76632148095183,266.3061334517652,KACE-1-0-G,ssp245,r1i1p1f1
2053,290.8033066829886,289.75007590251033,265.9302596743232,KACE-1-0-G,ssp245,r1i1p1f1
2054,290.98345618539093,289.9324996931932,266.16411865840917,KACE-1-0-G,ssp245,r1i1p1f1
2055,290.97425378272806,289.9266952283188,266.2351617896895,KACE-1-0-G,ssp245,r1i1p1f1
2056,291.0671964718368,290.01760117201115,266.2800047978696,KACE-1-0-G,ssp245,r1i1p1f1
2057,290.9490103577834,289.90577119956237,266.3119250155454,KACE-1-0-G,ssp245,r1i1p1f1
2058,290.9368221050747,289.89967632753854,266.44363774544144,KACE-1-0-G,ssp245,r1i1p1f1
2059,290.9915628786915,289.9432891552841,266.23558148929055,KACE-1-0-G,ssp245,r1i1p1f1
2060,291.0099944253398,289.98351480135364,266.7687014304159,KACE-1-0-G,ssp245,r1i1p1f1
2061,291.05982510019305,290.01063271947606,266.28214874433957,KACE-1-0-G,ssp245,r1i1p1f1
2062,291.1006788030293,290.0592336515001,266.5059606357768,KACE-1-0-G,ssp245,r1i1p1f1
2063,291.06242170723044,290.03141109313185,266.7141250696553,KACE-1-0-G,ssp245,r1i1p1f1
2064,291.0167734798193,289.9957102696578,266.9033942509732,KACE-1-0-G,ssp245,r1i1p1f1
2065,291.041886314478,290.00525443458,266.56083813653,KACE-1-0-G,ssp245,r1i1p1f1
2066,291.14383398183395,290.1147656855995,266.8414070286984,KACE-1-0-G,ssp245,r1i1p1f1
2067,291.18791202141756,290.1335197196896,266.28743458327347,KACE-1-0-G,ssp245,r1i1p1f1
2068,291.2318795848598,290.19336064305884,266.70626664457274,KACE-1-0-G,ssp245,r1i1p1f1
2069,291.255359138639,290.2155026315455,266.6981583213033,KACE-1-0-G,ssp245,r1i1p1f1
2070,291.1773867920494,290.16032594797593,267.1585272465444,KACE-1-0-G,ssp245,r1i1p1f1
2071,291.1852879606678,290.1512004058781,266.7643264410284,KACE-1-0-G,ssp245,r1i1p1f1
2072,291.2168715528568,290.19076162048907,266.9843091772522,KACE-1-0-G,ssp245,r1i1p1f1
2073,291.33129194227615,290.31554679708876,267.3435038778208,KACE-1-0-G,ssp245,r1i1p1f1
2074,291.21735575275267,290.17856182826193,266.68524883461134,KACE-1-0-G,ssp245,r1i1p1f1
2075,291.1438251561791,290.0965096243985,266.4104723737476,KACE-1-0-G,ssp245,r1i1p1f1
2076,291.3192453862307,290.25393537244906,266.16093578996635,KACE-1-0-G,ssp245,r1i1p1f1
2077,291.24454889432684,290.18959836749207,266.3308884391469,KACE-1-0-G,ssp245,r1i1p1f1
2078,291.26121061732505,290.17949982182694,265.7155809558089,KACE-1-0-G,ssp245,r1i1p1f1
2079,291.2670386784665,290.19043786487026,265.8420861016099,KACE-1-0-G,ssp245,r1i1p1f1
2080,291.2590099971304,290.1949748078253,266.1308065938434,KACE-1-0-G,ssp245,r1i1p1f1
2081,291.29331729215227,290.2370218628655,266.34789568592305,KACE-1-0-G,ssp245,r1i1p1f1
2082,291.4435355529448,290.3872607906234,266.4986020167618,KACE-1-0-G,ssp245,r1i1p1f1
2083,291.375267526243,290.3166730692716,266.3755521937596,KACE-1-0-G,ssp245,r1i1p1f1
2084,291.29381727993797,290.2615851062941,266.9166723514165,KACE-1-0-G,ssp245,r1i1p1f1
2085,291.3342070648869,290.3081941363292,267.10393552655756,KACE-1-0-G,ssp245,r1i1p1f1
2086,291.5030664397766,290.47177644999886,267.1481720797194,KACE-1-0-G,ssp245,r1i1p1f1
2087,291.4602825498138,290.4030883983004,266.49363676308366,KACE-1-0-G,ssp245,r1i1p1f1
2088,291.41226492888586,290.3563089971991,266.4748608815055,KACE-1-0-G,ssp245,r1i1p1f1
2089,291.43087630393364,290.37584944201706,266.51541312316357,KACE-1-0-G,ssp245,r1i1p1f1
2090,291.34861177271955,290.29301525546805,266.4196956392014,KACE-1-0-G,ssp245,r1i1p1f1
2091,291.39902570700156,290.33380676772316,266.2428669217797,KACE-1-0-G,ssp245,r1i1p1f1
2092,291.4639416445487,290.3747180150845,265.740889260616,KACE-1-0-G,ssp245,r1i1p1f1
2093,291.45751582271686,290.40285632461695,266.55072828802037,KACE-1-0-G,ssp245,r1i1p1f1
2094,291.40624611463693,290.3652066918075,266.821109616679,KACE-1-0-G,ssp245,r1i1p1f1
2095,291.4987661430586,290.46853523556103,267.168883018744,KACE-1-0-G,ssp245,r1i1p1f1
2096,291.567226694716,290.5058527683268,266.5018715473251,KACE-1-0-G,ssp245,r1i1p1f1
2097,291.38626381775924,290.325001988435,266.32355594921717,KACE-1-0-G,ssp245,r1i1p1f1
2098,291.33652212019746,290.29412526924443,266.71932866553556,KACE-1-0-G,ssp245,r1i1p1f1
2099,291.4696058065279,290.42150766949544,266.7177710564386,KACE-1-0-G,ssp245,r1i1p1f1
2100,291.5507548676645,290.47287798030925,266.09566659482346,KACE-1-0-G,ssp245,r1i1p1f1
