year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,289.1234144026779,288.0933716207904,263.0324309601329,MCM-UA-1-0,ssp245,r1i1p1f2
2016,289.1303464994651,288.09191671587655,262.8269203056395,MCM-UA-1-0,ssp245,r1i1p1f2
2017,288.99349343257904,288.0025731688089,263.8934833654727,MCM-UA-1-0,ssp245,r1i1p1f2
2018,288.86903187516793,287.83518602936266,262.68171682440027,MCM-UA-1-0,ssp245,r1i1p1f2
2019,288.79918915124966,287.7839646518137,263.08355279999796,MCM-UA-1-0,ssp245,r1i1p1f2
2020,288.90783441982285,287.8800389366433,262.8737750530601,MCM-UA-1-0,ssp245,r1i1p1f2
2021,289.02215094525747,287.9616264816042,262.15906651015763,MCM-UA-1-0,ssp245,r1i1p1f2
2022,289.0891573218353,288.0916370063252,263.82196794561287,MCM-UA-1-0,ssp245,r1i1p1f2
2023,289.0580957351518,288.06841225719853,263.98941345254616,MCM-UA-1-0,ssp245,r1i1p1f2
2024,289.0189885898587,288.029934269785,263.9662428761943,MCM-UA-1-0,ssp245,r1i1p1f2
2025,289.2222529352072,288.23295021823805,264.1632153282409,MCM-UA-1-0,ssp245,r1i1p1f2
2026,289.1397652006669,288.1161988195016,263.2128289869923,MCM-UA-1-0,ssp245,r1i1p1f2
2027,289.11656142793146,288.12495131935043,263.9990775919467,MCM-UA-1-0,ssp245,r1i1p1f2
2028,289.0934560347637,288.1012879741581,263.9618392741131,MCM-UA-1-0,ssp245,r1i1p1f2
2029,289.2142427026553,288.2074794349401,263.7129293490439,MCM-UA-1-0,ssp245,r1i1p1f2
2030,289.3050404504307,288.2953541600783,263.7296869340577,MCM-UA-1-0,ssp245,r1i1p1f2
2031,289.37603642736434,288.36017442090827,263.64425202343017,MCM-UA-1-0,ssp245,r1i1p1f2
2032,289.48055597609135,288.4544968738413,263.49047913789497,MCM-UA-1-0,ssp245,r1i1p1f2
2033,289.5440337427262,288.5526601436475,264.4325406923593,MCM-UA-1-0,ssp245,r1i1p1f2
2034,289.5801715041553,288.5403987362866,263.2427275187907,MCM-UA-1-0,ssp245,r1i1p1f2
2035,289.48488375784547,288.4614106258944,263.56030954678573,MCM-UA-1-0,ssp245,r1i1p1f2
2036,289.531977069246,288.5432385385941,264.4872303015948,MCM-UA-1-0,ssp245,r1i1p1f2
