year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,289.26633707423224,288.09895029519566,259.95968437677544,MIROC-ES2L,historical,r1i1p1f2
1851,289.4124155906336,288.2589256933014,260.454637056408,MIROC-ES2L,historical,r1i1p1f2
1852,289.316034471227,288.1825715812801,260.8610237946767,MIROC-ES2L,historical,r1i1p1f2
1853,289.1388563064755,287.9983208999201,260.50629368943856,MIROC-ES2L,historical,r1i1p1f2
1854,289.1561948560552,288.01283802484824,260.4528018048535,MIROC-ES2L,historical,r1i1p1f2
1855,289.3424331135076,288.2479307881654,261.8655076408528,MIROC-ES2L,historical,r1i1p1f2
1856,289.34541112098134,288.2303304968654,261.35187790006154,MIROC-ES2L,historical,r1i1p1f2
1857,289.4237568532178,288.28115663917697,260.73935829205266,MIROC-ES2L,historical,r1i1p1f2
1858,289.3792499864773,288.20216482117996,259.82912422339757,MIROC-ES2L,historical,r1i1p1f2
1859,289.31254699801957,288.1775728815114,260.8195977455591,MIROC-ES2L,historical,r1i1p1f2
1860,289.4263010399239,288.2906777756977,260.91705526339564,MIROC-ES2L,historical,r1i1p1f2
1861,289.34650072059424,288.2255040436865,261.20444799642354,MIROC-ES2L,historical,r1i1p1f2
1862,289.303072428274,288.17563415166205,260.99930661231036,MIROC-ES2L,historical,r1i1p1f2
1863,289.29726053912833,288.1588106657477,260.717054174137,MIROC-ES2L,historical,r1i1p1f2
1864,289.3575517490748,288.2692620768344,262.0365917799216,MIROC-ES2L,historical,r1i1p1f2
1865,289.6068562002227,288.473687983526,261.15924314608577,MIROC-ES2L,historical,r1i1p1f2
1866,289.4007795567941,288.27394425872654,261.112151211221,MIROC-ES2L,historical,r1i1p1f2
1867,289.12799917625176,288.0039816592766,260.91010979511606,MIROC-ES2L,historical,r1i1p1f2
1868,289.24682010652384,288.1472907548956,261.64369368989946,MIROC-ES2L,historical,r1i1p1f2
1869,289.33636595472166,288.22411326489066,261.41382658897703,MIROC-ES2L,historical,r1i1p1f2
1870,289.32203222876876,288.20050890736695,261.16675836182236,MIROC-ES2L,historical,r1i1p1f2
1871,289.4677854892425,288.3646252865286,261.7735083986015,MIROC-ES2L,historical,r1i1p1f2
1872,289.62670469390076,288.52075262162265,261.86233913457784,MIROC-ES2L,historical,r1i1p1f2
1873,289.3586767397267,288.2248301548697,260.89403359718426,MIROC-ES2L,historical,r1i1p1f2
1874,289.30741004424596,288.17316702212884,260.83281454545727,MIROC-ES2L,historical,r1i1p1f2
1875,289.5615506235183,288.43494296621213,261.27863708374434,MIROC-ES2L,historical,r1i1p1f2
1876,289.6898514918292,288.590710304863,262.0964697520754,MIROC-ES2L,historical,r1i1p1f2
1877,289.47997573866047,288.3686096264254,261.57969345359027,MIROC-ES2L,historical,r1i1p1f2
1878,289.27659050430344,288.18009331240734,261.74958491910235,MIROC-ES2L,historical,r1i1p1f2
1879,289.2656299568867,288.1699083390526,261.7580947649409,MIROC-ES2L,historical,r1i1p1f2
1880,289.27651821694474,288.16719802919295,261.4275978278051,MIROC-ES2L,historical,r1i1p1f2
1881,289.3127167537511,288.1981304991184,261.3315944278418,MIROC-ES2L,historical,r1i1p1f2
1882,289.4551277280757,288.33981075355354,261.4556610501557,MIROC-ES2L,historical,r1i1p1f2
1883,289.35360735298485,288.21906460004,260.87148726386215,MIROC-ES2L,historical,r1i1p1f2
1884,289.0220225198269,287.8750749606382,260.22848606474855,MIROC-ES2L,historical,r1i1p1f2
1885,288.97719408865896,287.8214868061835,259.96374922561154,MIROC-ES2L,historical,r1i1p1f2
1886,289.0954205212366,287.9385365560225,260.05243563514216,MIROC-ES2L,historical,r1i1p1f2
1887,289.30917457040033,288.13270067407876,259.7743944047566,MIROC-ES2L,historical,r1i1p1f2
1888,289.37596793694945,288.1965668715998,259.7677026782329,MIROC-ES2L,historical,r1i1p1f2
1889,289.18845027339586,287.9935997205076,259.1923334698799,MIROC-ES2L,historical,r1i1p1f2
1890,289.0757241434007,287.88279994963034,259.127967607991,MIROC-ES2L,historical,r1i1p1f2
