year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,290.38031406004,289.29091032345184,263.0313860707829,MIROC-ES2L,ssp245,r1i1p1f2
2016,290.0613010982294,288.9830403160262,262.9921113242908,MIROC-ES2L,ssp245,r1i1p1f2
2017,289.95042244258195,288.85446963933754,262.4370834582266,MIROC-ES2L,ssp245,r1i1p1f2
2018,290.12180548155186,289.0425931688589,263.0287280175443,MIROC-ES2L,ssp245,r1i1p1f2
2019,290.2896059762462,289.21925509796677,263.41899032645375,MIROC-ES2L,ssp245,r1i1p1f2
2020,290.5594606129065,289.46035215008277,262.96690039615567,MIROC-ES2L,ssp245,r1i1p1f2
2021,290.288144228612,289.20561199394155,263.11172180803715,MIROC-ES2L,ssp245,r1i1p1f2
2022,290.4392866732131,289.3659829970326,263.4945425305005,MIROC-ES2L,ssp245,r1i1p1f2
2023,290.66108129211256,289.58955782293725,263.7610283428933,MIROC-ES2L,ssp245,r1i1p1f2
2024,290.4144170543197,289.33883734113823,263.4125341576728,MIROC-ES2L,ssp245,r1i1p1f2
2025,290.2140802528674,289.1354244222403,263.134972988726,MIROC-ES2L,ssp245,r1i1p1f2
2026,290.2112827404781,289.12713762936363,262.9943698752429,MIROC-ES2L,ssp245,r1i1p1f2
2027,290.3234679728727,289.2410995176299,263.1511571517146,MIROC-ES2L,ssp245,r1i1p1f2
2028,290.5867963857669,289.51207703162873,263.60651236634357,MIROC-ES2L,ssp245,r1i1p1f2
2029,290.62360645403675,289.5654592887193,264.05935882537466,MIROC-ES2L,ssp245,r1i1p1f2
2030,290.2923336966256,289.2410425885572,263.9002039061086,MIROC-ES2L,ssp245,r1i1p1f2
2031,290.2154049399316,289.1633442578576,263.8039553845133,MIROC-ES2L,ssp245,r1i1p1f2
2032,290.55188275673277,289.5072914417066,264.3279478707231,MIROC-ES2L,ssp245,r1i1p1f2
2033,290.77287392429577,289.7215218941803,264.3792147166952,MIROC-ES2L,ssp245,r1i1p1f2
2034,290.57445589001316,289.53132211695305,264.3871118554316,MIROC-ES2L,ssp245,r1i1p1f2
2035,290.529897959492,289.47626594830035,264.0790009839451,MIROC-ES2L,ssp245,r1i1p1f2
2036,290.5626851893066,289.5210148882988,264.412080877947,MIROC-ES2L,ssp245,r1i1p1f2
2037,290.6390189952523,289.6076672851929,264.74745767351175,MIROC-ES2L,ssp245,r1i1p1f2
2038,290.83839915346704,289.8053533722872,264.9043090359118,MIROC-ES2L,ssp245,r1i1p1f2
2039,290.58430221848386,289.58300499232496,265.44724346392474,MIROC-ES2L,ssp245,r1i1p1f2
2040,290.5269033693654,289.50928158870624,264.98002495795555,MIROC-ES2L,ssp245,r1i1p1f2
2041,290.7304083977065,289.7212714959235,265.3965385648357,MIROC-ES2L,ssp245,r1i1p1f2
2042,291.05185816731483,290.02435275243016,265.25685613412804,MIROC-ES2L,ssp245,r1i1p1f2
2043,290.78930658502463,289.7747295959776,265.31886612194666,MIROC-ES2L,ssp245,r1i1p1f2
2044,290.5462591148767,289.5259522631686,264.9319733573418,MIROC-ES2L,ssp245,r1i1p1f2
2045,290.70809121879614,289.6714858807889,264.68464023335883,MIROC-ES2L,ssp245,r1i1p1f2
2046,290.99331564428434,289.97377654611216,265.3983039496652,MIROC-ES2L,ssp245,r1i1p1f2
2047,290.97451255880736,289.94140309974375,265.03882384028464,MIROC-ES2L,ssp245,r1i1p1f2
2048,290.7504364327666,289.7003658514973,264.388947348183,MIROC-ES2L,ssp245,r1i1p1f2
2049,290.72028866820125,289.7102662707499,265.3641889159164,MIROC-ES2L,ssp245,r1i1p1f2
2050,290.9338573295546,289.93091603376723,265.7555250412486,MIROC-ES2L,ssp245,r1i1p1f2
2051,291.1566436280151,290.1554696358549,266.02267860045,MIROC-ES2L,ssp245,r1i1p1f2
2052,291.0081350834816,290.0016868183448,265.74176210925475,MIROC-ES2L,ssp245,r1i1p1f2
2053,290.8453368880998,289.8330962670227,265.43354975731734,MIROC-ES2L,ssp245,r1i1p1f2
2054,290.8404627657731,289.86861240048205,266.44265251048995,MIROC-ES2L,ssp245,r1i1p1f2
2055,291.1375561058065,290.1493834268291,266.32998244818566,MIROC-ES2L,ssp245,r1i1p1f2
2056,291.3464086607975,290.3493149225986,266.31487633840754,MIROC-ES2L,ssp245,r1i1p1f2
2057,290.9940781195766,290.03693506543874,266.9654874475679,MIROC-ES2L,ssp245,r1i1p1f2
2058,290.91034997246254,289.91012526444,265.80021624145076,MIROC-ES2L,ssp245,r1i1p1f2
2059,291.15341086317414,290.18769887714495,266.9097015043161,MIROC-ES2L,ssp245,r1i1p1f2
2060,291.4009426102874,290.4273625978211,266.9597104403837,MIROC-ES2L,ssp245,r1i1p1f2
2061,291.0771286251246,290.10072390815566,266.56498368208116,MIROC-ES2L,ssp245,r1i1p1f2
2062,290.946667941056,289.9445893417443,265.7899932099968,MIROC-ES2L,ssp245,r1i1p1f2
2063,291.0641647069695,290.0755920465073,266.2465497171444,MIROC-ES2L,ssp245,r1i1p1f2
2064,291.3245862435661,290.3443467710473,266.71617170836885,MIROC-ES2L,ssp245,r1i1p1f2
2065,291.5412975612734,290.56331346715797,266.98950315640235,MIROC-ES2L,ssp245,r1i1p1f2
2066,291.10531070575325,290.1518995769748,267.1704081261342,MIROC-ES2L,ssp245,r1i1p1f2
2067,291.03396844939584,290.05805786210306,266.5342283811244,MIROC-ES2L,ssp245,r1i1p1f2
2068,291.1783032108922,290.1798374515183,266.11232699314894,MIROC-ES2L,ssp245,r1i1p1f2
