year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,289.5412023379451,288.317192877157,261.6042993759979,MIROC6,historical,r1i1p1f1
1851,289.51838995208,288.27890842818135,261.2283512182376,MIROC6,historical,r1i1p1f1
1852,289.5696269118812,288.30208475388645,260.6391297200732,MIROC6,historical,r1i1p1f1
1853,289.6034750324635,288.3545742871078,261.0984511336773,MIROC6,historical,r1i1p1f1
1854,289.8679118545704,288.61959241929947,261.37615582989145,MIROC6,historical,r1i1p1f1
1855,289.95048200739495,288.72332453663137,261.94172858021824,MIROC6,historical,r1i1p1f1
1856,289.50518472800326,288.25716338899383,261.02023247943777,MIROC6,historical,r1i1p1f1
1857,289.52172613610503,288.3020404058252,261.68350839148087,MIROC6,historical,r1i1p1f1
1858,289.5645270373376,288.3462125493525,261.757606651235,MIROC6,historical,r1i1p1f1
1859,289.73501700154594,288.48176427924926,261.13066318629893,MIROC6,historical,r1i1p1f1
1860,289.6548918874841,288.3882706758272,260.7454144584325,MIROC6,historical,r1i1p1f1
1861,289.5452037452249,288.32044555638277,261.59121174625903,MIROC6,historical,r1i1p1f1
1862,289.7096999737074,288.4537231964794,261.04317208160336,MIROC6,historical,r1i1p1f1
1863,289.8333052117224,288.6009061894965,261.704918138515,MIROC6,historical,r1i1p1f1
1864,289.5105002008482,288.263375818662,261.0460201761789,MIROC6,historical,r1i1p1f1
1865,289.4094840085529,288.1536120944888,260.745349522819,MIROC6,historical,r1i1p1f1
1866,289.45966274614705,288.21653709609774,261.0864501464936,MIROC6,historical,r1i1p1f1
1867,289.5436933330005,288.3039757742003,261.24826731715774,MIROC6,historical,r1i1p1f1
1868,289.72214191884797,288.50429136375357,261.9258103791258,MIROC6,historical,r1i1p1f1
1869,289.8503348682413,288.64555313229306,262.3522872421693,MIROC6,historical,r1i1p1f1
1870,289.7230588236354,288.48316964031665,261.42371563420994,MIROC6,historical,r1i1p1f1
1871,289.69348653992773,288.4849860088391,262.1105607962459,MIROC6,historical,r1i1p1f1
1872,289.70528414118,288.44747601333745,260.99695733653135,MIROC6,historical,r1i1p1f1
1873,289.78330057638794,288.54173837195407,261.4457722012792,MIROC6,historical,r1i1p1f1
1874,289.84713969406357,288.6128094444534,261.674674111848,MIROC6,historical,r1i1p1f1
1875,289.6468285545145,288.3874437913688,260.90251648269407,MIROC6,historical,r1i1p1f1
1876,289.68116820444783,288.4336828083714,261.2084483660003,MIROC6,historical,r1i1p1f1
1877,289.57203754958755,288.32296841063055,261.0631702199683,MIROC6,historical,r1i1p1f1
1878,289.6077052750102,288.3775182133266,261.52980418986607,MIROC6,historical,r1i1p1f1
1879,289.66801749899537,288.4446160056844,261.74499084189904,MIROC6,historical,r1i1p1f1
1880,289.6995360595525,288.4330470081718,260.7930750686338,MIROC6,historical,r1i1p1f1
1881,289.63829823103674,288.3954393102586,261.2711734844592,MIROC6,historical,r1i1p1f1
1882,289.70271059343446,288.44658130028415,261.03270166409027,MIROC6,historical,r1i1p1f1
1883,289.7858224266629,288.56522361602515,261.9267644531302,MIROC6,historical,r1i1p1f1
1884,289.4560181368946,288.196472356617,260.708030995448,MIROC6,historical,r1i1p1f1
1885,289.42291663833885,288.1489004286555,260.3446551035375,MIROC6,historical,r1i1p1f1
1886,289.4902683435161,288.2514742118571,261.2159187125108,MIROC6,historical,r1i1p1f1
1887,289.5202627608742,288.2899144337592,261.4386809388944,MIROC6,historical,r1i1p1f1
1888,289.74870137127203,288.49909074474033,261.22747508013543,MIROC6,historical,r1i1p1f1
1889,289.59054733781574,288.3546350533522,261.3819732486085,MIROC6,historical,r1i1p1f1
1890,289.5431290042103,288.27563222100935,260.61366745081483,MIROC6,historical,r1i1p1f1
1891,289.59905200739405,288.36414059960794,261.4133220182587,MIROC6,historical,r1i1p1f1
1892,289.6119674840643,288.36879642096517,261.23771837284096,MIROC6,historical,r1i1p1f1
1893,289.6741221905469,288.4400509257672,261.5075677015993,MIROC6,historical,r1i1p1f1
1894,289.7081990487268,288.46811845229695,261.4044870290967,MIROC6,historical,r1i1p1f1
1895,289.6624296106025,288.39795780415113,260.8020104009308,MIROC6,historical,r1i1p1f1
1896,289.6744118553424,288.41936467995237,261.0291012799199,MIROC6,historical,r1i1p1f1
1897,289.71211837456593,288.471099528196,261.386991653196,MIROC6,historical,r1i1p1f1
1898,289.7189523226131,288.48418256602815,261.53645539334116,MIROC6,historical,r1i1p1f1
1899,289.72894595049553,288.48753621878984,261.39489762676953,MIROC6,historical,r1i1p1f1
1900,289.81468950178845,288.57673942398276,261.55960463248664,MIROC6,historical,r1i1p1f1
1901,289.8231129868921,288.58706834892615,261.61151804933615,MIROC6,historical,r1i1p1f1
1902,289.6917660560966,288.45228626081905,261.4017667764679,MIROC6,historical,r1i1p1f1
1903,289.32660132145065,288.07044120748765,260.65588893508743,MIROC6,historical,r1i1p1f1
1904,289.37336438047276,288.09790453821176,260.2621532447651,MIROC6,historical,r1i1p1f1
1905,289.50388084691247,288.22101612455714,260.2236600562431,MIROC6,historical,r1i1p1f1
1906,289.5694624565643,288.2916423870896,260.4043812808378,MIROC6,historical,r1i1p1f1
1907,289.5947772714051,288.31095761399104,260.2927609563317,MIROC6,historical,r1i1p1f1
1908,289.75280081881505,288.47046650712963,260.4846861693864,MIROC6,historical,r1i1p1f1
1909,289.83418401910194,288.58095663748315,261.2304085817836,MIROC6,historical,r1i1p1f1
1910,289.7607640602516,288.47585360746,260.43385133253577,MIROC6,historical,r1i1p1f1
1911,289.6200679853502,288.3575060801173,260.8032405343377,MIROC6,historical,r1i1p1f1
1912,289.59374968251564,288.31156420536564,260.3290320460285,MIROC6,historical,r1i1p1f1
1913,289.5409053198913,288.28220952701867,260.8123183680842,MIROC6,historical,r1i1p1f1
1914,289.6135270505248,288.3613327178237,261.03333001540955,MIROC6,historical,r1i1p1f1
1915,289.61894728898125,288.32520182021227,260.0903833551857,MIROC6,historical,r1i1p1f1
1916,289.76922042804125,288.5291892781449,261.4666369805781,MIROC6,historical,r1i1p1f1
1917,289.8944289096508,288.65774043958004,261.66813908973734,MIROC6,historical,r1i1p1f1
1918,289.93704549628984,288.72670842833577,262.31220246860306,MIROC6,historical,r1i1p1f1
1919,289.55082087080325,288.30431712384774,261.10050628093325,MIROC6,historical,r1i1p1f1
1920,289.54329946695094,288.3149256459148,261.50678395082014,MIROC6,historical,r1i1p1f1
1921,289.69762804665,288.46008267973895,261.45178033552577,MIROC6,historical,r1i1p1f1
1922,289.7699939646396,288.5498583392222,261.9215077725912,MIROC6,historical,r1i1p1f1
1923,289.7808849930998,288.52985938262424,261.22736298007044,MIROC6,historical,r1i1p1f1
1924,289.8668065863724,288.63600257446626,261.77482417338507,MIROC6,historical,r1i1p1f1
1925,289.83391870985946,288.6045659104994,261.775058903661,MIROC6,historical,r1i1p1f1
1926,289.7398427367629,288.52716962742466,262.06168168861984,MIROC6,historical,r1i1p1f1
1927,289.72646411643126,288.48539312147597,261.40014715101694,MIROC6,historical,r1i1p1f1
1928,289.7117524165483,288.4711264213207,261.39559216528215,MIROC6,historical,r1i1p1f1
1929,289.6681682982249,288.450880362938,261.8846780440234,MIROC6,historical,r1i1p1f1
1930,289.64432177859464,288.4066303417002,261.3951401529174,MIROC6,historical,r1i1p1f1
1931,289.69407662353177,288.4592316123003,261.509862075379,MIROC6,historical,r1i1p1f1
1932,289.7677285490531,288.54487877546626,261.8572943929818,MIROC6,historical,r1i1p1f1
1933,289.6750416162584,288.41003009094544,260.8023038143346,MIROC6,historical,r1i1p1f1
1934,289.76144061058704,288.52631469816026,261.5708147480748,MIROC6,historical,r1i1p1f1
1935,289.78132158374615,288.55972371556203,261.89946103014256,MIROC6,historical,r1i1p1f1
