year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,290.13221491552866,288.9652986651793,263.49841256751785,MIROC6,ssp245,r1i1p1f1
2016,290.08031907929353,288.90246422802426,263.1968531116568,MIROC6,ssp245,r1i1p1f1
2017,290.3253326334356,289.1434455450096,263.34983451917327,MIROC6,ssp245,r1i1p1f1
2018,290.55080855029337,289.38349914809254,263.9080328687636,MIROC6,ssp245,r1i1p1f1
2019,290.32114237176745,289.1657933424923,263.9513513268085,MIROC6,ssp245,r1i1p1f1
2020,290.24373869877576,289.0850927349192,263.79869811986936,MIROC6,ssp245,r1i1p1f1
2021,290.2789568731033,289.09552065533404,263.2681012901841,MIROC6,ssp245,r1i1p1f1
2022,290.4339728168798,289.27703952857996,264.0280225002295,MIROC6,ssp245,r1i1p1f1
2023,290.59081146893266,289.41505278615745,263.7551886411443,MIROC6,ssp245,r1i1p1f1
2024,290.74954717128946,289.6101082448128,264.7428897557926,MIROC6,ssp245,r1i1p1f1
2025,290.4719746517611,289.28812355866074,263.451649916656,MIROC6,ssp245,r1i1p1f1
2026,290.48859729487293,289.3257121387037,263.946801006086,MIROC6,ssp245,r1i1p1f1
2027,290.61249037587606,289.47972516072804,264.75815435311364,MIROC6,ssp245,r1i1p1f1
2028,290.8774651803852,289.7414622113372,264.949230368914,MIROC6,ssp245,r1i1p1f1
2029,290.96384956658056,289.8306806518861,265.1002994687482,MIROC6,ssp245,r1i1p1f1
2030,290.58631931498667,289.43897229302394,264.39916681077756,MIROC6,ssp245,r1i1p1f1
2031,290.58054857406063,289.4555018042223,264.90237904717924,MIROC6,ssp245,r1i1p1f1
2032,290.8177639068111,289.7081165639579,265.49107229830884,MIROC6,ssp245,r1i1p1f1
2033,291.0555851100485,289.94862389890324,265.79020201530335,MIROC6,ssp245,r1i1p1f1
2034,290.9594327321337,289.8194351282366,264.94002401252067,MIROC6,ssp245,r1i1p1f1
2035,290.6551400760658,289.5578778667493,265.6111278788467,MIROC6,ssp245,r1i1p1f1
2036,290.77597873655174,289.66475996083165,265.4134206017536,MIROC6,ssp245,r1i1p1f1
2037,290.9185027522351,289.80289729997094,265.4558227140843,MIROC6,ssp245,r1i1p1f1
2038,291.1176982207351,289.9898751574314,265.3761623199639,MIROC6,ssp245,r1i1p1f1
2039,290.9386948388748,289.8317065028678,265.67269264382406,MIROC6,ssp245,r1i1p1f1
2040,290.66331062671287,289.5468352660629,265.18077572065374,MIROC6,ssp245,r1i1p1f1
2041,290.68526128462076,289.54545210520587,264.6701531824743,MIROC6,ssp245,r1i1p1f1
2042,290.7520252774743,289.66505646119407,265.9429504166299,MIROC6,ssp245,r1i1p1f1
2043,291.05101322826437,289.99620290700045,266.97592677473773,MIROC6,ssp245,r1i1p1f1
