year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,288.1976697593159,286.89749998862465,259.81367055062145,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1851,288.26644737333146,286.9474219210346,259.4708098818197,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1852,288.3126215785121,287.0255621363572,260.21483388094464,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1853,288.1828948111749,286.88801695673675,259.914423397487,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1854,288.1594420113131,286.8308145404115,259.1541829037536,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1855,288.1842384280315,286.8343763587098,258.7154069175837,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1856,288.0865318457331,286.7521533074694,258.95572121779423,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1857,288.1704011998868,286.79922472237195,258.23625495984106,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1858,288.27439823295174,286.93530685182736,259.0407015580877,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1859,288.3089166405238,286.9326788587935,258.2642770956089,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1860,288.2210270899886,286.9134746327752,259.67585649188857,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1861,288.2565483548913,286.963717759663,260.03277064589827,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1862,288.1201374218023,286.8272040163621,259.89411526362977,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1863,288.1746495056379,286.8701331990102,259.6957610944953,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1864,288.3261095634795,287.02665890036263,259.9578091883398,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1865,288.2622977856343,286.97967397256565,260.2613442825837,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1866,288.1992402616815,286.9540263328822,261.0149817391077,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1867,288.1399663186793,286.8597046535828,260.1905808551906,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1868,288.29097860588996,287.011933962847,260.368161944249,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1869,288.2336117741718,286.9751029306458,260.75911204034173,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1870,288.2905136317348,287.0007022989384,260.13264942450445,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1871,288.40365188566045,287.1155850934335,260.283872734136,MPI-ESM-1-2-HAM,historical,r1i1p1f1
