year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,288.2265672224797,287.06461393962394,260.46676090741727,MPI-ESM1-2-HR,historical,r1i1p1f1
1851,288.25201648483966,287.08810006740157,260.44530963033293,MPI-ESM1-2-HR,historical,r1i1p1f1
1852,288.45132150658657,287.2814049964528,260.5012686040374,MPI-ESM1-2-HR,historical,r1i1p1f1
1853,288.5460813849323,287.3881761345452,260.88298515188774,MPI-ESM1-2-HR,historical,r1i1p1f1
1854,288.25859605031854,287.0930877721451,260.41385862578346,MPI-ESM1-2-HR,historical,r1i1p1f1
1855,288.2185281285437,287.0655564422497,260.67329789380784,MPI-ESM1-2-HR,historical,r1i1p1f1
1856,288.2183326976546,287.0637534597288,260.63469702734426,MPI-ESM1-2-HR,historical,r1i1p1f1
1857,288.24969064316565,287.0688437977392,260.038505046938,MPI-ESM1-2-HR,historical,r1i1p1f1
1858,288.26093658280826,287.0966283913315,260.44486999620693,MPI-ESM1-2-HR,historical,r1i1p1f1
1859,288.12802284491016,286.971570840631,260.49964558988404,MPI-ESM1-2-HR,historical,r1i1p1f1
1860,288.0636593996408,286.8685950428619,259.5128083734418,MPI-ESM1-2-HR,historical,r1i1p1f1
1861,288.0982074684094,286.9572116500628,260.8390883704806,MPI-ESM1-2-HR,historical,r1i1p1f1
1862,288.0445983448625,286.9174693202911,261.1167658099043,MPI-ESM1-2-HR,historical,r1i1p1f1
1863,288.17964319048247,287.0124821624227,260.29542051519815,MPI-ESM1-2-HR,historical,r1i1p1f1
1864,288.21434781972795,287.04809042061254,260.3517134172671,MPI-ESM1-2-HR,historical,r1i1p1f1
1865,288.2056505713959,287.015579375162,259.7740893408168,MPI-ESM1-2-HR,historical,r1i1p1f1
1866,288.29150536978887,287.1176332770602,260.2469510717736,MPI-ESM1-2-HR,historical,r1i1p1f1
1867,288.34393960270137,287.1673412271876,260.2342526670887,MPI-ESM1-2-HR,historical,r1i1p1f1
1868,288.3616206182971,287.19591973742985,260.5122817923481,MPI-ESM1-2-HR,historical,r1i1p1f1
1869,288.2955563058011,287.13488412938324,260.56635644205573,MPI-ESM1-2-HR,historical,r1i1p1f1
1870,288.2591017330264,287.1101648806324,260.8102662580692,MPI-ESM1-2-HR,historical,r1i1p1f1
1871,288.25751326651203,287.12244022813945,261.139893166306,MPI-ESM1-2-HR,historical,r1i1p1f1
