year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,289.1373115241855,288.04136812565923,262.9545235203624,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2016,289.12318360701255,288.03146924718794,263.04143003976134,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2017,289.1748335142696,288.0743174992714,262.8828027814256,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2018,289.31521171506745,288.22898104678836,263.3644670424428,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2019,289.4876092237136,288.4061434940856,263.6507019798472,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2020,289.3936737456476,288.31010216552664,263.5064563880485,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2021,289.4458531572018,288.3640220383164,263.6002165305255,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2022,289.443230101853,288.3784147194022,264.0041102901812,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2023,289.38041503284666,288.30092827666124,263.5907867289195,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2024,289.49180503715934,288.42612497386716,264.0320274477323,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2025,289.4446165030331,288.3763949841484,263.92412191573277,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2026,289.28358931767565,288.2073011258827,263.5703767606885,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2027,289.3858302856532,288.31430049292914,263.7862989226276,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2028,289.42242038759815,288.3402172009262,263.5678948237811,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2029,289.59833982445326,288.5507109080934,264.5698156683608,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2030,289.48526572629197,288.42188581374563,264.0804402077821,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2031,289.4267644010772,288.3672449820104,264.1141685383108,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2032,289.57007264954063,288.53327020654933,264.8001998594029,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2033,289.58542461757804,288.54036037742304,264.61817221462616,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2034,289.6751732836295,288.6289923752668,264.6812429637413,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2035,289.625210946623,288.6059682418149,265.27485152083625,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2036,289.5158409470667,288.4784854511292,264.732755368692,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2037,289.63693159772953,288.5714887310205,264.1828207862219,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2038,289.67306540337074,288.5778205106948,263.5069651505963,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2039,289.6124503826515,288.4884243093433,262.7587493358885,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2040,289.7739859798257,288.6714502460239,263.43370287433817,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2041,289.7791464667698,288.69697164085125,263.9252984594686,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2042,289.758295824681,288.6756182931934,263.89243786015317,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2043,289.6177771532486,288.50408924699735,263.0110615226696,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2044,289.6722508957042,288.60063787157765,264.07073108129623,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2045,289.7830874440351,288.6878379434396,263.61687710511654,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2046,289.92738572559296,288.86095377424306,264.4496450500749,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2047,290.0100178872952,288.9586055612715,264.891105657063,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2048,289.987276534145,288.92339347863856,264.57043060885144,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2049,289.90467162798683,288.85228191375364,264.76240896895973,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2050,289.9567377888675,288.9178959021296,265.1381413845968,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2051,290.12713674499616,289.07069935024714,264.88817241233164,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2052,290.09691080603477,289.07404331437385,265.6599529064098,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2053,289.92031162152136,288.8948863254295,265.4222461398242,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2054,289.88808175246527,288.8483602965713,265.04847187908734,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2055,289.8393878841628,288.80101623772435,265.03202582108753,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2056,289.81214956853574,288.7588566483173,264.6483087414562,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2057,289.93027304719476,288.90052120087313,265.32884351621567,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2058,290.1614742139529,289.1136966105234,265.12939782877015,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2059,290.2215767550445,289.1669936076904,265.0269115773483,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2060,290.0711882844571,289.0314711014344,265.23168049270214,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2061,289.9559542657677,288.8923251190752,264.5451743842686,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2062,289.98355329761216,288.9080841441283,264.2899080891261,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2063,290.2190613914328,289.1637503670795,265.0070067671756,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2064,290.19709735542926,289.1435453564802,265.0270669719453,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2065,290.1413884098845,289.1139788464353,265.59591751324683,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2066,290.3497027879303,289.3255640386359,265.8823737312155,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2067,290.14967070191443,289.12834320516,265.74950426452807,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2068,290.0699760975676,289.04857934073436,265.66815499264635,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2069,290.11436894032374,289.07301272814743,265.23570369489175,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2070,290.2785502250568,289.2611539442807,265.9723030490984,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2071,290.3161428380365,289.2896550581584,265.79269393985305,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2072,290.31168371469397,289.28226164531316,265.71813276553075,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2073,290.40941904915314,289.3789359516688,265.7905194606908,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2074,290.460536918798,289.45073987116155,266.3358402778021,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2075,290.4493642226259,289.40006694826735,265.3809819280117,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2076,290.4873641612186,289.4716547159544,266.221416563383,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2077,290.3661912420789,289.3394377489652,265.8363942849273,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2078,290.34977315697205,289.3111925613694,265.53741916486456,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2079,290.28192332708994,289.2545535787711,265.73740363935167,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2080,290.4031687515551,289.392925297882,266.2678071851259,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2081,290.43965297472926,289.4293648883109,266.3032251035,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2082,290.4040291114293,289.3645331350698,265.56980608819055,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2083,290.47033270351085,289.4387475090376,265.8251033138406,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2084,290.43493866149703,289.4252569149543,266.3129966372944,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2085,290.44078520470487,289.428178304037,266.2489593795342,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2086,290.5525320333914,289.5204395302766,265.89518271614793,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2087,290.4750583391479,289.46476197012515,266.3384325912098,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2088,290.5225983411245,289.500774500672,266.1105739356718,MPI-ESM1-2-HR,ssp245,r1i1p1f1
2089,290.52073281870526,289.5218645528888,266.6571317579345,MPI-ESM1-2-HR,ssp245,r1i1p1f1
