year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,287.87478263669107,286.6267225132654,260.6283888546722,MPI-ESM1-2-LR,historical,r1i1p1f1
1851,287.8891228375472,286.6091260091754,259.9455190231595,MPI-ESM1-2-LR,historical,r1i1p1f1
1852,287.89579442616605,286.6161159744422,259.95914109064864,MPI-ESM1-2-LR,historical,r1i1p1f1
1853,288.2165013073611,286.9659103770455,260.91485749386027,MPI-ESM1-2-LR,historical,r1i1p1f1
1854,288.06108798970763,286.8291126071048,261.16584009731713,MPI-ESM1-2-LR,historical,r1i1p1f1
1855,287.9222222814139,286.6846492918088,260.9047730609337,MPI-ESM1-2-LR,historical,r1i1p1f1
1856,287.8642988729359,286.6203703595976,260.7081022483153,MPI-ESM1-2-LR,historical,r1i1p1f1
1857,287.9563758742013,286.69958991947556,260.5194885164266,MPI-ESM1-2-LR,historical,r1i1p1f1
1858,287.94915661094086,286.68723825700056,260.4002238737624,MPI-ESM1-2-LR,historical,r1i1p1f1
1859,287.93105573569335,286.7377785341741,261.88062762454365,MPI-ESM1-2-LR,historical,r1i1p1f1
1860,287.968960902821,286.7440440485603,261.2278077043664,MPI-ESM1-2-LR,historical,r1i1p1f1
1861,288.0531891096492,286.84054022377313,261.5798578624176,MPI-ESM1-2-LR,historical,r1i1p1f1
1862,287.8462303398292,286.64366448493325,261.59302168721234,MPI-ESM1-2-LR,historical,r1i1p1f1
1863,287.8742685812117,286.6741076670873,261.6735621775363,MPI-ESM1-2-LR,historical,r1i1p1f1
1864,288.1202926037669,286.8865657524278,261.1868084069,MPI-ESM1-2-LR,historical,r1i1p1f1
1865,288.07401746359375,286.8352820630101,261.031191655352,MPI-ESM1-2-LR,historical,r1i1p1f1
1866,287.9105923463632,286.6798004245112,261.0411805791963,MPI-ESM1-2-LR,historical,r1i1p1f1
1867,287.9421436202989,286.7270396208297,261.4152148015382,MPI-ESM1-2-LR,historical,r1i1p1f1
1868,287.86303992777124,286.6414506530012,261.19453109911825,MPI-ESM1-2-LR,historical,r1i1p1f1
1869,287.88172725567284,286.65626063066935,261.12857201511616,MPI-ESM1-2-LR,historical,r1i1p1f1
1870,288.0511967147829,286.82533433552226,261.2894017651873,MPI-ESM1-2-LR,historical,r1i1p1f1
1871,288.00129108093745,286.75355348945203,260.7619384919611,MPI-ESM1-2-LR,historical,r1i1p1f1
1872,287.9513603042914,286.7112588342433,260.8787118409755,MPI-ESM1-2-LR,historical,r1i1p1f1
1873,287.95311560101527,286.6955324275544,260.4988241653512,MPI-ESM1-2-LR,historical,r1i1p1f1
1874,287.8457159166447,286.5827498803607,260.2739112319071,MPI-ESM1-2-LR,historical,r1i1p1f1
1875,287.7378816388881,286.508974375402,260.90961383828585,MPI-ESM1-2-LR,historical,r1i1p1f1
1876,287.7885530278159,286.527857476954,260.26631529800517,MPI-ESM1-2-LR,historical,r1i1p1f1
1877,287.8492067975977,286.60213310548767,260.62434779228425,MPI-ESM1-2-LR,historical,r1i1p1f1
1878,287.92363795751214,286.6542818697731,260.21233209413066,MPI-ESM1-2-LR,historical,r1i1p1f1
1879,288.0000117690858,286.74574932607146,260.61821518179164,MPI-ESM1-2-LR,historical,r1i1p1f1
1880,287.9036820771486,286.6545548356166,260.633992045548,MPI-ESM1-2-LR,historical,r1i1p1f1
1881,287.8773012410763,286.6059802945426,260.1231005560148,MPI-ESM1-2-LR,historical,r1i1p1f1
1882,287.8291630491499,286.5865882757198,260.70251991312773,MPI-ESM1-2-LR,historical,r1i1p1f1
1883,287.941170314745,286.6646303413656,260.073033082936,MPI-ESM1-2-LR,historical,r1i1p1f1
1884,287.6197129846195,286.3675429308178,260.283595334865,MPI-ESM1-2-LR,historical,r1i1p1f1
1885,287.6809894021491,286.41616301455866,260.06857139813883,MPI-ESM1-2-LR,historical,r1i1p1f1
1886,287.7708783020421,286.54378796155873,260.9822757376487,MPI-ESM1-2-LR,historical,r1i1p1f1
1887,287.804138081165,286.52470401664505,259.87281996137114,MPI-ESM1-2-LR,historical,r1i1p1f1
1888,287.9172225973072,286.64973713011796,260.24675424100195,MPI-ESM1-2-LR,historical,r1i1p1f1
1889,288.10941399048687,286.8419006852587,260.43833790210414,MPI-ESM1-2-LR,historical,r1i1p1f1
1890,288.10114951305525,286.81615205570847,260.04837699464866,MPI-ESM1-2-LR,historical,r1i1p1f1
1891,287.8938239157459,286.5773540153275,259.1539766634209,MPI-ESM1-2-LR,historical,r1i1p1f1
1892,287.79241778740396,286.52435406581435,260.10932556241676,MPI-ESM1-2-LR,historical,r1i1p1f1
1893,287.95341963340934,286.71894025412223,261.00350700299197,MPI-ESM1-2-LR,historical,r1i1p1f1
1894,287.88963671065113,286.61559032124154,260.0759368969485,MPI-ESM1-2-LR,historical,r1i1p1f1
1895,287.94118685414594,286.66925644303143,260.17368095112676,MPI-ESM1-2-LR,historical,r1i1p1f1
