year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,288.9000870437459,287.7208409944001,263.1559729395549,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2016,289.0019305095233,287.8515294835416,263.88753195386715,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2017,288.97593278087413,287.7737284501463,262.7306165604177,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2018,288.8223807959353,287.6584063308816,263.4116605655595,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2019,288.71449437019123,287.54696705482314,263.2262118838754,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2020,288.8923090320316,287.7100681364676,263.08281445630445,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2021,289.18779538409655,288.00985231813723,263.4721267031451,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2022,289.0370937422867,287.8691773762078,263.5403178920216,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2023,289.00820253826635,287.8477729782534,263.6748711105981,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2024,289.2476928570867,288.0721266349438,263.58391304059967,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2025,289.07349866335665,287.91158757266754,263.7078239475311,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2026,289.0205519504183,287.8906782876551,264.3542861498003,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2027,289.0400360772329,287.8975619803125,264.0986902669019,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2028,289.21211835661796,288.074812020926,264.38358991362253,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2029,289.2129969474492,288.0526300422238,263.88103333610786,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2030,289.29876482682874,288.13607147619723,263.9160125984417,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2031,289.4198187864397,288.27457710792186,264.4180539172746,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2032,289.15306212925213,287.9998516832441,263.97733114024726,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2033,289.2055695647116,288.054127163721,264.0684367568894,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2034,289.26854373072587,288.14214401562765,264.67811766272575,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2035,289.22104294683794,288.0985039202411,264.71489954855974,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2036,289.1706888743297,288.0158548979003,263.9595146015058,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2037,289.2371084157788,288.1191007075025,264.82988820317837,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2038,289.2616289659578,288.12547351926816,264.45822557452465,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2039,289.32859960689535,288.2140757633528,264.99743562638844,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2040,289.4542686142815,288.3534046518349,265.42131342385375,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2041,289.61740130704715,288.5172051324343,265.5990245891963,MPI-ESM1-2-LR,ssp245,r1i1p1f1
2042,289.5737628294401,288.4469857187329,264.97509783995116,MPI-ESM1-2-LR,ssp245,r1i1p1f1
