year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,288.0353927547184,286.93942376659726,262.3297107403332,MRI-ESM2-0,historical,r1i1p1f1
1851,288.07815239318904,286.9911307052616,262.5823270957,MRI-ESM2-0,historical,r1i1p1f1
1852,287.99200598033025,286.91069982511806,262.63023709147524,MRI-ESM2-0,historical,r1i1p1f1
1853,287.9031877182851,286.80576549510295,262.1634204343579,MRI-ESM2-0,historical,r1i1p1f1
1854,287.87297871214736,286.76646457863586,261.9199629163038,MRI-ESM2-0,historical,r1i1p1f1
1855,288.07062457324906,286.9474593059929,261.72706054669334,MRI-ESM2-0,historical,r1i1p1f1
1856,288.0564182320619,286.9445227130997,261.977183369164,MRI-ESM2-0,historical,r1i1p1f1
1857,287.97527994771394,286.8742115805251,262.1499932563692,MRI-ESM2-0,historical,r1i1p1f1
1858,287.97375986248073,286.8559062154537,261.7547785769253,MRI-ESM2-0,historical,r1i1p1f1
1859,288.13771582771767,287.0269818528868,262.0857246956335,MRI-ESM2-0,historical,r1i1p1f1
1860,288.0240046191263,286.8741227685049,261.05380972623857,MRI-ESM2-0,historical,r1i1p1f1
1861,287.97800099494543,286.84517233178207,261.40778440334446,MRI-ESM2-0,historical,r1i1p1f1
1862,287.91224028957186,286.80074249700596,261.84233400110446,MRI-ESM2-0,historical,r1i1p1f1
1863,288.02671551999947,286.8953417539134,261.49062318012136,MRI-ESM2-0,historical,r1i1p1f1
1864,287.8717330275866,286.76623599521497,261.9425730878455,MRI-ESM2-0,historical,r1i1p1f1
1865,288.0103142106469,286.89072391346133,261.7506002244089,MRI-ESM2-0,historical,r1i1p1f1
1866,287.9411037559924,286.8284037963016,261.8430009344285,MRI-ESM2-0,historical,r1i1p1f1
1867,287.97835717180135,286.80273149614317,260.4043472189992,MRI-ESM2-0,historical,r1i1p1f1
1868,288.0784804715908,286.9075663838447,260.61497964994646,MRI-ESM2-0,historical,r1i1p1f1
1869,287.9435631218229,286.7710226258538,260.44191529687606,MRI-ESM2-0,historical,r1i1p1f1
1870,287.9481137059672,286.80405703940795,261.1145470669842,MRI-ESM2-0,historical,r1i1p1f1
1871,288.07223845526073,286.88973481837587,260.3369076200991,MRI-ESM2-0,historical,r1i1p1f1
1872,287.850048511795,286.7217631125341,261.3863930532673,MRI-ESM2-0,historical,r1i1p1f1
1873,287.736815585609,286.61817174234346,261.4993004423884,MRI-ESM2-0,historical,r1i1p1f1
1874,287.88714210793677,286.725570847554,260.64277499529237,MRI-ESM2-0,historical,r1i1p1f1
1875,288.0626834140099,286.95334602303905,262.0434488115319,MRI-ESM2-0,historical,r1i1p1f1
1876,288.0419462175853,286.88826572868203,260.98265520170975,MRI-ESM2-0,historical,r1i1p1f1
