year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,288.14942755099696,286.75054523556463,257.6104356613151,NESM3,historical,r1i1p1f1
1851,288.25669429819817,286.89761921414885,258.5867338509368,NESM3,historical,r1i1p1f1
1852,288.1683852180534,286.81242014086087,258.566319312833,NESM3,historical,r1i1p1f1
1853,288.07142856550695,286.68423116578447,257.7875300043743,NESM3,historical,r1i1p1f1
1854,288.1626590175952,286.76224810304427,257.59029628923065,NESM3,historical,r1i1p1f1
1855,288.12478024132554,286.7145616123262,257.33830535449647,NESM3,historical,r1i1p1f1
1856,288.14193980818766,286.73371453167215,257.39898178811785,NESM3,historical,r1i1p1f1
1857,288.1298574863156,286.75162242629125,258.04161571227496,NESM3,historical,r1i1p1f1
1858,288.2825721271736,286.86476432672725,257.33041808154906,NESM3,historical,r1i1p1f1
1859,288.2514370536029,286.84142077229075,257.46937961798164,NESM3,historical,r1i1p1f1
1860,288.1329208533102,286.76801466865334,258.3356616817718,NESM3,historical,r1i1p1f1
1861,288.18501315805344,286.79122085142575,257.7571412217027,NESM3,historical,r1i1p1f1
1862,288.0670567340927,286.6599276436085,257.3480295450459,NESM3,historical,r1i1p1f1
1863,288.21896726600716,286.82858811364633,257.86560788108494,NESM3,historical,r1i1p1f1
1864,288.0349374190748,286.6996217840417,258.8836693684532,NESM3,historical,r1i1p1f1
1865,288.12755168674886,286.773793513307,258.57366468478534,NESM3,historical,r1i1p1f1
1866,288.1706090523663,286.78679500952074,257.96057253602226,NESM3,historical,r1i1p1f1
1867,288.06606991922683,286.68130287160966,257.8352283611133,NESM3,historical,r1i1p1f1
1868,288.01668744109713,286.6148739824609,257.413705780768,NESM3,historical,r1i1p1f1
1869,288.1025790343126,286.7279903861923,258.0939420578551,NESM3,historical,r1i1p1f1
1870,288.13091710401767,286.74303951794906,257.83216939862143,NESM3,historical,r1i1p1f1
1871,288.18017290167984,286.8034125998226,258.12412656481274,NESM3,historical,r1i1p1f1
1872,287.9938484161035,286.63381530407236,258.30297326540665,NESM3,historical,r1i1p1f1
1873,288.1829016299682,286.81528826668966,258.32654205730364,NESM3,historical,r1i1p1f1
1874,288.21322344371237,286.83870894194104,258.20620515578156,NESM3,historical,r1i1p1f1
1875,288.23948946175193,286.8861437066589,258.6946059624263,NESM3,historical,r1i1p1f1
1876,288.179622157977,286.7921370385596,257.8894423898173,NESM3,historical,r1i1p1f1
1877,288.08955716460844,286.7369178291151,258.56009550755397,NESM3,historical,r1i1p1f1
1878,288.1777095864557,286.85390441061674,259.277726305185,NESM3,historical,r1i1p1f1
1879,288.23311222351026,286.8658927898242,258.38535252555096,NESM3,historical,r1i1p1f1
1880,288.1036836394436,286.7748096059532,259.09304215554334,NESM3,historical,r1i1p1f1
1881,288.2078380240667,286.8687508347974,258.9742331943161,NESM3,historical,r1i1p1f1
1882,288.2519237339626,286.8578602693139,257.8181321483856,NESM3,historical,r1i1p1f1
1883,288.1001731888763,286.7540037539363,258.71195589408075,NESM3,historical,r1i1p1f1
1884,287.86098149601213,286.472636710545,257.55203436319965,NESM3,historical,r1i1p1f1
1885,288.0878355212392,286.67406417834957,257.2238013576273,NESM3,historical,r1i1p1f1
1886,288.14500993903397,286.7500904167186,257.69252976339476,NESM3,historical,r1i1p1f1
1887,288.24677106708333,286.8620917892795,258.01784561126,NESM3,historical,r1i1p1f1
1888,288.2454005568419,286.86303960703015,258.06708650626666,NESM3,historical,r1i1p1f1
1889,288.1754566224457,286.8072268718409,258.3056407015617,NESM3,historical,r1i1p1f1
1890,288.135774254645,286.7358634762402,257.5743299956465,NESM3,historical,r1i1p1f1
