year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,289.3356011444424,288.09199398712315,262.1864203503571,NESM3,ssp245,r1i1p1f1
2016,289.2272069610974,287.9959099603963,262.3467691262856,NESM3,ssp245,r1i1p1f1
2017,289.2522666425562,288.0571687559037,263.1620914611152,NESM3,ssp245,r1i1p1f1
2018,289.3631118564634,288.13010822109453,262.4454164898962,NESM3,ssp245,r1i1p1f1
2019,289.39092842921514,288.1662955325982,262.65597461284204,NESM3,ssp245,r1i1p1f1
2020,289.4651390236176,288.24618080635355,262.8540691000001,NESM3,ssp245,r1i1p1f1
2021,289.6433228224327,288.4204906296569,262.94768016140296,NESM3,ssp245,r1i1p1f1
2022,289.54184965011405,288.3048281255369,262.536439767054,NESM3,ssp245,r1i1p1f1
2023,289.6167585580754,288.37280003612426,262.4599071247007,NESM3,ssp245,r1i1p1f1
2024,289.6654012287945,288.45117196073545,263.157568968429,NESM3,ssp245,r1i1p1f1
2025,289.7183013440506,288.4897648762955,262.89812868831757,NESM3,ssp245,r1i1p1f1
2026,289.5249742928816,288.3083869660068,262.96566326389234,NESM3,ssp245,r1i1p1f1
2027,289.49841316127845,288.31627419262304,263.6911440450873,NESM3,ssp245,r1i1p1f1
2028,289.4392799246483,288.22532346677514,262.93740338190486,NESM3,ssp245,r1i1p1f1
2029,289.62684899978353,288.3794182352263,262.3941950577833,NESM3,ssp245,r1i1p1f1
2030,289.57762610662564,288.34604980972966,262.69109095817265,NESM3,ssp245,r1i1p1f1
2031,289.68627154199174,288.4636268130845,262.99472140360706,NESM3,ssp245,r1i1p1f1
2032,289.61315126860694,288.3973828267393,263.0717173135588,NESM3,ssp245,r1i1p1f1
2033,289.6685782369075,288.43342528863167,262.7039612324685,NESM3,ssp245,r1i1p1f1
2034,289.6145618934481,288.39477171791685,262.9853294936123,NESM3,ssp245,r1i1p1f1
2035,289.67908630137686,288.4855428155794,263.6228452361801,NESM3,ssp245,r1i1p1f1
2036,289.8804513883263,288.6466164225973,262.94460725338996,NESM3,ssp245,r1i1p1f1
2037,289.93587632464755,288.7345920433492,263.7106459967961,NESM3,ssp245,r1i1p1f1
2038,290.03851463816164,288.8450244667619,263.9834374792753,NESM3,ssp245,r1i1p1f1
2039,290.1479039692058,288.9495885075097,263.9874859252441,NESM3,ssp245,r1i1p1f1
2040,290.0083960969294,288.8109958226714,263.86795750472993,NESM3,ssp245,r1i1p1f1
2041,289.84757813584224,288.6646547266419,264.02318390256664,NESM3,ssp245,r1i1p1f1
2042,289.9181254402495,288.7372189667277,264.13776291832573,NESM3,ssp245,r1i1p1f1
