year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,287.8407419348364,286.7304473049974,259.9673586715825,CanESM5,historical,r11i1p1f1
1851,287.9531132333436,286.86800694202014,260.7120704266971,CanESM5,historical,r11i1p1f1
1852,287.77952303873576,286.694633926835,260.54393241130254,CanESM5,historical,r11i1p1f1
1853,287.8601979701636,286.74011815533333,259.74116260318414,CanESM5,historical,r11i1p1f1
1854,287.8552147988892,286.7220475040071,259.4076248864589,CanESM5,historical,r11i1p1f1
1855,287.61428041211093,286.49126341406594,259.4215085509985,CanESM5,historical,r11i1p1f1
1856,287.700520845166,286.54551794719623,258.70475919769467,CanESM5,historical,r11i1p1f1
1857,287.7191980981473,286.57458822150653,258.9843479771926,CanESM5,historical,r11i1p1f1
1858,287.71331159369714,286.56995484603704,259.00992063989247,CanESM5,historical,r11i1p1f1
1859,287.91247936968426,286.77595239380327,259.3805463706457,CanESM5,historical,r11i1p1f1
1860,287.7996112713782,286.65454840701636,259.053389123569,CanESM5,historical,r11i1p1f1
1861,287.7920594590074,286.6745091262528,259.7365254559715,CanESM5,historical,r11i1p1f1
1862,287.7468577194425,286.61514931633684,259.3358925447445,CanESM5,historical,r11i1p1f1
1863,287.7738045795664,286.5953132214828,258.1883770601433,CanESM5,historical,r11i1p1f1
1864,287.75243739480874,286.5927972331174,258.64025959477965,CanESM5,historical,r11i1p1f1
1865,287.70386532872396,286.5541269638394,258.8402671128719,CanESM5,historical,r11i1p1f1
1866,287.6884928776692,286.5495900386185,259.0969150393816,CanESM5,historical,r11i1p1f1
1867,287.56532125784213,286.42357082351725,258.90225598522363,CanESM5,historical,r11i1p1f1
1868,287.7113719895236,286.51667224912967,257.7190412571584,CanESM5,historical,r11i1p1f1
1869,287.7597770463149,286.5928248571057,258.4640345059408,CanESM5,historical,r11i1p1f1
1870,287.66246979207006,286.4724037627106,257.78646602383014,CanESM5,historical,r11i1p1f1
1871,287.72853506773873,286.5814715736639,258.9320881262057,CanESM5,historical,r11i1p1f1
1872,287.953649936512,286.80231992423705,259.050094220601,CanESM5,historical,r11i1p1f1
1873,287.7907924212114,286.6267793321206,258.5688344978495,CanESM5,historical,r11i1p1f1
1874,287.8546922361877,286.6920030748992,258.6659708485034,CanESM5,historical,r11i1p1f1
1875,287.66292351883254,286.5197332963214,258.9637130944024,CanESM5,historical,r11i1p1f1
1876,287.662650353317,286.5349424687284,259.35211616592295,CanESM5,historical,r11i1p1f1
1877,287.7753061926842,286.655940722286,259.6742040801865,CanESM5,historical,r11i1p1f1
1878,287.73150967564226,286.59018361812724,259.0790981674534,CanESM5,historical,r11i1p1f1
1879,287.8900034751268,286.75736451173924,259.45567705675757,CanESM5,historical,r11i1p1f1
1880,287.7838688567598,286.64287769609484,259.139864764085,CanESM5,historical,r11i1p1f1
1881,287.69571078698374,286.561392239648,259.2192192659135,CanESM5,historical,r11i1p1f1
1882,287.66393027251,286.5341204210271,259.3006272728855,CanESM5,historical,r11i1p1f1
1883,287.6322780287887,286.52256025166594,259.77337636027016,CanESM5,historical,r11i1p1f1
1884,287.62333322427116,286.5128434726869,259.7450515286152,CanESM5,historical,r11i1p1f1
1885,287.7148871199098,286.59796126364716,259.675030282319,CanESM5,historical,r11i1p1f1
1886,287.63799507847085,286.48348724086316,258.6546616701618,CanESM5,historical,r11i1p1f1
1887,287.69250851639146,286.5306177542895,258.5238305351143,CanESM5,historical,r11i1p1f1
1888,287.7369694816073,286.53510444734053,257.56475768256894,CanESM5,historical,r11i1p1f1
1889,287.859013694784,286.7142991016621,259.12153471973517,CanESM5,historical,r11i1p1f1
1890,287.7152233801427,286.5481828868889,258.41726401155375,CanESM5,historical,r11i1p1f1
1891,287.58092660886837,286.3980901454614,257.8864174252234,CanESM5,historical,r11i1p1f1
1892,287.565900125473,286.41273348179743,258.6162367102324,CanESM5,historical,r11i1p1f1
1893,287.8100927300186,286.6386748328048,258.4022408562999,CanESM5,historical,r11i1p1f1
1894,287.7599993680593,286.6062996029593,258.7969522100065,CanESM5,historical,r11i1p1f1
1895,287.85011356857757,286.67347334736536,258.311157900973,CanESM5,historical,r11i1p1f1
1896,287.711563243403,286.52961302256836,258.0393027298285,CanESM5,historical,r11i1p1f1
1897,287.74370540720656,286.58449259087337,258.6422558955377,CanESM5,historical,r11i1p1f1
1898,287.95270511004946,286.78221776360346,258.5682142411612,CanESM5,historical,r11i1p1f1
1899,287.7333351710758,286.5548948000262,258.14918765527557,CanESM5,historical,r11i1p1f1
1900,287.84106772251374,286.6863988025758,258.8536904240334,CanESM5,historical,r11i1p1f1
1901,287.8015441021596,286.636021160559,258.5416820977282,CanESM5,historical,r11i1p1f1
1902,287.72851147641023,286.5740256087235,258.745729611837,CanESM5,historical,r11i1p1f1
1903,287.6921406374863,286.5183063044046,258.22362536753786,CanESM5,historical,r11i1p1f1
1904,287.51645147094825,286.3980308293665,259.43906880640975,CanESM5,historical,r11i1p1f1
1905,287.59446618805293,286.4338970415145,258.458966694854,CanESM5,historical,r11i1p1f1
1906,287.78345944503144,286.6390511961786,259.0536710874021,CanESM5,historical,r11i1p1f1
1907,287.733386631387,286.5933402729972,259.11310132038227,CanESM5,historical,r11i1p1f1
1908,287.92101210990916,286.77235413910324,259.0845366391685,CanESM5,historical,r11i1p1f1
1909,287.94607906031354,286.80207749396135,259.2265002604549,CanESM5,historical,r11i1p1f1
1910,287.9334042026501,286.83356167712327,260.32241571423754,CanESM5,historical,r11i1p1f1
1911,287.9235648168388,286.8084478488031,259.9291192002389,CanESM5,historical,r11i1p1f1
1912,287.86536681283707,286.715189685076,258.99075367760605,CanESM5,historical,r11i1p1f1
1913,287.69257193114686,286.54586011029863,258.9049535674896,CanESM5,historical,r11i1p1f1
1914,287.7659178453174,286.629126300044,259.2273429659247,CanESM5,historical,r11i1p1f1
1915,287.75845363119015,286.6003397832286,258.6845931628209,CanESM5,historical,r11i1p1f1
1916,287.73185821539914,286.6045938183982,259.4324575588426,CanESM5,historical,r11i1p1f1
1917,287.7809638591336,286.605855363851,258.28046139367865,CanESM5,historical,r11i1p1f1
1918,287.82014549212835,286.6116997899356,257.4827293641705,CanESM5,historical,r11i1p1f1
1919,287.8799951245848,286.69068362540696,258.0229334536809,CanESM5,historical,r11i1p1f1
1920,287.82753277510574,286.6559483790163,258.4155010316169,CanESM5,historical,r11i1p1f1
1921,287.8641173959065,286.71394286813694,258.9895695321331,CanESM5,historical,r11i1p1f1
1922,287.92738853043164,286.7496559676565,258.3610101821731,CanESM5,historical,r11i1p1f1
1923,287.7634603229858,286.6070722731864,258.7329251417277,CanESM5,historical,r11i1p1f1
1924,287.8106560069453,286.63824780681045,258.3779430809258,CanESM5,historical,r11i1p1f1
1925,287.93673396763353,286.74117679054274,257.9228777220814,CanESM5,historical,r11i1p1f1
1926,287.7227705307129,286.56442872982205,258.6431874197384,CanESM5,historical,r11i1p1f1
1927,287.83754557613287,286.6767418159288,258.6961562259056,CanESM5,historical,r11i1p1f1
1928,287.9312542694982,286.78219524518454,259.08471055393755,CanESM5,historical,r11i1p1f1
