year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,289.3739787554808,288.27479364665226,261.779494379684,CanESM5,ssp245,r22i1p2f1
2016,289.4656053135603,288.4169865468392,263.14056329648474,CanESM5,ssp245,r22i1p2f1
2017,289.46942685649395,288.39923623831436,262.6028344551694,CanESM5,ssp245,r22i1p2f1
2018,289.6060307030817,288.51928022280293,262.323711367062,CanESM5,ssp245,r22i1p2f1
2019,289.41864094577323,288.3371593155052,262.2685934156245,CanESM5,ssp245,r22i1p2f1
2020,289.527703425161,288.46799683808587,262.92430730459165,CanESM5,ssp245,r22i1p2f1
2021,289.68733289116557,288.63619171421897,263.2989670453756,CanESM5,ssp245,r22i1p2f1
2022,289.70247082319395,288.66212706215526,263.58516862463625,CanESM5,ssp245,r22i1p2f1
2023,289.68032802451364,288.63497354694056,263.4372343300351,CanESM5,ssp245,r22i1p2f1
2024,289.4925524134235,288.46470800627975,263.6890401515828,CanESM5,ssp245,r22i1p2f1
2025,289.6512448228658,288.6096932170187,263.5036202932888,CanESM5,ssp245,r22i1p2f1
2026,289.54062298104157,288.51475432627626,263.7867109800804,CanESM5,ssp245,r22i1p2f1
2027,289.5785391018222,288.5896544897838,264.7530927259611,CanESM5,ssp245,r22i1p2f1
2028,289.72567253738663,288.74248960862224,265.0433640268204,CanESM5,ssp245,r22i1p2f1
2029,289.8130372524152,288.82602509690105,265.0345979474208,CanESM5,ssp245,r22i1p2f1
2030,290.0689045840763,289.07022553565247,264.99757385295493,CanESM5,ssp245,r22i1p2f1
2031,290.00929651104354,289.00074766128773,264.6901894259137,CanESM5,ssp245,r22i1p2f1
2032,289.997806022281,288.9877523213959,264.6409204131997,CanESM5,ssp245,r22i1p2f1
2033,290.011896767732,289.02528470879497,265.24350168428447,CanESM5,ssp245,r22i1p2f1
2034,290.1180343733297,289.13916623021925,265.5440463670694,CanESM5,ssp245,r22i1p2f1
2035,290.09503254156385,289.12319953958223,265.6976581833463,CanESM5,ssp245,r22i1p2f1
2036,290.1458800572295,289.1556299389396,265.2861533398665,CanESM5,ssp245,r22i1p2f1
2037,290.1180458748822,289.1510802781379,265.8428652552024,CanESM5,ssp245,r22i1p2f1
2038,289.9790975940511,289.0170656515916,265.82777386158017,CanESM5,ssp245,r22i1p2f1
2039,290.12969231891253,289.1510802114428,265.56213195747773,CanESM5,ssp245,r22i1p2f1
2040,290.0772392696558,289.11832957937315,266.0042980937289,CanESM5,ssp245,r22i1p2f1
2041,290.10094675999375,289.1380997762615,265.9291618299719,CanESM5,ssp245,r22i1p2f1
2042,290.06247765560363,289.0853825569786,265.53300103139406,CanESM5,ssp245,r22i1p2f1
2043,290.2424482123951,289.28946701185527,266.3183387630254,CanESM5,ssp245,r22i1p2f1
2044,290.3859196609208,289.44432878017614,266.74775840999644,CanESM5,ssp245,r22i1p2f1
2045,290.36659999950194,289.414387681216,266.4617929489956,CanESM5,ssp245,r22i1p2f1
2046,290.3769026069075,289.4215392978526,266.3929915320828,CanESM5,ssp245,r22i1p2f1
