year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,287.9089859547669,286.560295097011,256.79985814256645,EC-Earth3,historical,r18i1p1f1
1851,288.0353569720785,286.6728127566454,256.60668530582655,EC-Earth3,historical,r18i1p1f1
1852,288.0495926957928,286.7002350295643,256.9250841683715,EC-Earth3,historical,r18i1p1f1
1853,288.0401015091488,286.7018020105293,257.17066251640944,EC-Earth3,historical,r18i1p1f1
1854,288.08293854927996,286.7376581032714,257.0524758620982,EC-Earth3,historical,r18i1p1f1
1855,288.0477735146384,286.69202171309496,256.7757767977521,EC-Earth3,historical,r18i1p1f1
1856,287.9508950307153,286.62313416823105,257.3245419732097,EC-Earth3,historical,r18i1p1f1
1857,287.9145513221518,286.5765774016892,257.05262216937,EC-Earth3,historical,r18i1p1f1
1858,287.9286521661155,286.6141828004982,257.60888298769,EC-Earth3,historical,r18i1p1f1
1859,288.114336346587,286.85037323833194,258.95955290715636,EC-Earth3,historical,r18i1p1f1
1860,288.24656818722286,286.95317731965764,258.41299915334474,EC-Earth3,historical,r18i1p1f1
1861,288.08177256130375,286.772437548478,257.8804332189713,EC-Earth3,historical,r18i1p1f1
1862,287.9768737737307,286.6474061343062,257.31115191522883,EC-Earth3,historical,r18i1p1f1
1863,288.0101688218953,286.71895274287624,258.2267638226107,EC-Earth3,historical,r18i1p1f1
1864,288.0766857943659,286.7767656353938,258.0925110381075,EC-Earth3,historical,r18i1p1f1
1865,288.2573511406974,286.94635143238634,258.0176136552176,EC-Earth3,historical,r18i1p1f1
1866,288.20264257293496,286.9126828706542,258.44821736861985,EC-Earth3,historical,r18i1p1f1
1867,287.99485241936816,286.69997194619805,258.12692389466605,EC-Earth3,historical,r18i1p1f1
1868,288.1130943966948,286.8108561875628,258.07545110961263,EC-Earth3,historical,r18i1p1f1
1869,288.0893265702738,286.83775367760325,259.220337905846,EC-Earth3,historical,r18i1p1f1
1870,288.0069166785827,286.70154053725025,257.8968933250642,EC-Earth3,historical,r18i1p1f1
1871,288.0569989603617,286.7427144625943,257.74149397453203,EC-Earth3,historical,r18i1p1f1
1872,288.1964828656913,286.87403793204135,257.69274790750524,EC-Earth3,historical,r18i1p1f1
1873,287.9349285619848,286.6377456471243,258.0138915340148,EC-Earth3,historical,r18i1p1f1
1874,288.1856928687951,286.904126840605,258.62487754816624,EC-Earth3,historical,r18i1p1f1
1875,288.3174883201358,287.0443383010542,258.9507980664371,EC-Earth3,historical,r18i1p1f1
1876,288.1342713019984,286.82655049152095,257.9701654197116,EC-Earth3,historical,r18i1p1f1
1877,288.1987263258319,286.92103174341094,258.7272104177104,EC-Earth3,historical,r18i1p1f1
1878,288.36209172770174,287.08846417145793,258.9843865223314,EC-Earth3,historical,r18i1p1f1
1879,288.23564584517254,286.9255871513376,258.01761395622657,EC-Earth3,historical,r18i1p1f1
