year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,289.6481179268551,288.51926390583424,263.6097824908585,EC-Earth3,ssp245,r6i1p1f1
2016,289.5325879503711,288.4059384482938,263.54510231661203,EC-Earth3,ssp245,r6i1p1f1
2017,289.5199810690853,288.36929132136305,262.9779791131023,EC-Earth3,ssp245,r6i1p1f1
2018,289.6313486525626,288.4892186940763,263.2867882251007,EC-Earth3,ssp245,r6i1p1f1
2019,289.4761051125541,288.3827306976748,264.2561481990657,EC-Earth3,ssp245,r6i1p1f1
2020,289.56594066693094,288.4331279675151,263.4362936937345,EC-Earth3,ssp245,r6i1p1f1
2021,289.71505933324704,288.6071536233964,264.1599211423409,EC-Earth3,ssp245,r6i1p1f1
2022,289.75273480043853,288.62271238458396,263.687448974015,EC-Earth3,ssp245,r6i1p1f1
2023,289.72152294118035,288.62570306870526,264.44515869424674,EC-Earth3,ssp245,r6i1p1f1
2024,289.7296981058746,288.6237181730798,264.21898021025913,EC-Earth3,ssp245,r6i1p1f1
2025,289.8154509841025,288.6959407790622,263.9926415684979,EC-Earth3,ssp245,r6i1p1f1
2026,289.7790383361568,288.652544566839,263.7951448602462,EC-Earth3,ssp245,r6i1p1f1
2027,289.9028084360917,288.78603859613924,264.14320873941057,EC-Earth3,ssp245,r6i1p1f1
2028,290.003532636186,288.8584719746357,263.59137212224186,EC-Earth3,ssp245,r6i1p1f1
2029,289.7356173752059,288.6456222013477,264.59360659964693,EC-Earth3,ssp245,r6i1p1f1
2030,289.86636953357885,288.7776010313404,264.7526533705299,EC-Earth3,ssp245,r6i1p1f1
2031,289.97271725262266,288.8628919870474,264.3733022686903,EC-Earth3,ssp245,r6i1p1f1
2032,290.13429307551894,289.0178926438917,264.38321421297996,EC-Earth3,ssp245,r6i1p1f1
2033,289.8833676331474,288.7940862494498,264.75782126067736,EC-Earth3,ssp245,r6i1p1f1
2034,289.7787766404107,288.69762362478264,264.8407205637662,EC-Earth3,ssp245,r6i1p1f1
2035,289.9584045251382,288.8978116405597,265.4945918660725,EC-Earth3,ssp245,r6i1p1f1
2036,290.10790218459283,289.04311527156824,265.5473493647318,EC-Earth3,ssp245,r6i1p1f1
2037,290.4129582447715,289.34522838420577,265.7845229052772,EC-Earth3,ssp245,r6i1p1f1
2038,290.0705214752201,289.0152377914502,265.7291717289631,EC-Earth3,ssp245,r6i1p1f1
2039,290.0995709098123,289.0372933454113,265.5968991445168,EC-Earth3,ssp245,r6i1p1f1
2040,290.20497272718114,289.1218920405028,265.22245266805044,EC-Earth3,ssp245,r6i1p1f1
2041,290.4186500449937,289.36783504303406,266.18037565991585,EC-Earth3,ssp245,r6i1p1f1
2042,290.3896574858296,289.3224202775548,265.7725857463786,EC-Earth3,ssp245,r6i1p1f1
2043,290.43419862246725,289.35677979580703,265.5822759723931,EC-Earth3,ssp245,r6i1p1f1
2044,290.4767307763891,289.4636092048649,267.1078993548235,EC-Earth3,ssp245,r6i1p1f1
2045,290.446109935626,289.4001670510658,266.32021662442196,EC-Earth3,ssp245,r6i1p1f1
2046,290.4798141374815,289.4193813643519,266.0196946358447,EC-Earth3,ssp245,r6i1p1f1
2047,290.68455621231465,289.6057756351506,265.8012231976233,EC-Earth3,ssp245,r6i1p1f1
2048,290.50850008761034,289.41626493418164,265.31482156906605,EC-Earth3,ssp245,r6i1p1f1
2049,290.51639368045653,289.4629172660023,266.2167307101608,EC-Earth3,ssp245,r6i1p1f1
2050,290.53659680639026,289.4660648292346,265.8435273775085,EC-Earth3,ssp245,r6i1p1f1
2051,290.5431656503957,289.46676268110554,265.71467493613,EC-Earth3,ssp245,r6i1p1f1
2052,290.5900621834224,289.5204598507542,265.91843608959516,EC-Earth3,ssp245,r6i1p1f1
2053,290.4801219288432,289.42767736405,266.20425977520944,EC-Earth3,ssp245,r6i1p1f1
2054,290.4427542671414,289.37740410332975,265.86920941052955,EC-Earth3,ssp245,r6i1p1f1
2055,290.49394757995884,289.40004736047047,265.2618623695146,EC-Earth3,ssp245,r6i1p1f1
2056,290.5199025385244,289.46347150816774,266.15208790422025,EC-Earth3,ssp245,r6i1p1f1
2057,290.59276248256185,289.5137120485093,265.70320490379675,EC-Earth3,ssp245,r6i1p1f1
