year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
1850,287.74557261267375,286.4982307275166,258.28840717424436,UKESM1-0-LL,historical,r9i1p1f2
1851,287.90543563285837,286.62912793920964,257.7642150665272,UKESM1-0-LL,historical,r9i1p1f2
1852,287.92433640260805,286.656064739775,257.97289435010555,UKESM1-0-LL,historical,r9i1p1f2
1853,287.880215800417,286.6237297886403,258.2071031114171,UKESM1-0-LL,historical,r9i1p1f2
1854,287.7651884914835,286.5154795501591,258.25212276945916,UKESM1-0-LL,historical,r9i1p1f2
1855,287.7274234100954,286.4442724856687,257.4245934377475,UKESM1-0-LL,historical,r9i1p1f2
1856,287.8741404770139,286.5851841739597,257.4342109646735,UKESM1-0-LL,historical,r9i1p1f2
1857,287.70322572187405,286.42996643534957,257.63399619027416,UKESM1-0-LL,historical,r9i1p1f2
1858,287.85427921344956,286.57078305868566,257.54329629820967,UKESM1-0-LL,historical,r9i1p1f2
1859,287.87101564826764,286.59409641819803,257.71535306748984,UKESM1-0-LL,historical,r9i1p1f2
1860,287.74641978299746,286.45080388102235,257.1492175056629,UKESM1-0-LL,historical,r9i1p1f2
1861,287.62486349742755,286.3173463530672,256.74660205738246,UKESM1-0-LL,historical,r9i1p1f2
1862,287.6797214689964,286.38673340877267,257.14457817496447,UKESM1-0-LL,historical,r9i1p1f2
1863,287.7830167387488,286.506539644331,257.6377956120694,UKESM1-0-LL,historical,r9i1p1f2
1864,287.7872156892999,286.50548828923587,257.51800359922447,UKESM1-0-LL,historical,r9i1p1f2
1865,287.5484932717808,286.24573764104167,256.78267950637974,UKESM1-0-LL,historical,r9i1p1f2
1866,287.59283963442783,286.3155972527203,257.42954552024645,UKESM1-0-LL,historical,r9i1p1f2
1867,287.79136522049384,286.48505457528455,256.9415964058603,UKESM1-0-LL,historical,r9i1p1f2
1868,287.68680807986107,286.39448651795624,257.1674047777899,UKESM1-0-LL,historical,r9i1p1f2
1869,287.67094881246027,286.38625316966255,257.33163884600935,UKESM1-0-LL,historical,r9i1p1f2
1870,287.77447689442107,286.5231551714008,258.22332379812354,UKESM1-0-LL,historical,r9i1p1f2
1871,287.8271248953026,286.5593672055896,257.88782080706574,UKESM1-0-LL,historical,r9i1p1f2
1872,287.6514664673148,286.388998339806,257.8370804234432,UKESM1-0-LL,historical,r9i1p1f2
