year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,288.74695115582125,287.5005309502155,259.31155205695694,UKESM1-0-LL,ssp245,r16i1p1f2
2016,288.8477525571119,287.6383499054884,260.28655821698675,UKESM1-0-LL,ssp245,r16i1p1f2
2017,288.94671335026766,287.74301920193335,260.5203307468476,UKESM1-0-LL,ssp245,r16i1p1f2
2018,288.96926851750663,287.77234340523023,260.70274314119297,UKESM1-0-LL,ssp245,r16i1p1f2
2019,289.0865694385157,287.9035398022067,261.14819894843447,UKESM1-0-LL,ssp245,r16i1p1f2
2020,289.21328213699593,288.01733190093415,260.9697793900658,UKESM1-0-LL,ssp245,r16i1p1f2
2021,289.20549645062516,288.00934613190344,260.9572685613028,UKESM1-0-LL,ssp245,r16i1p1f2
2022,289.26975443262916,288.0653164729691,260.82580601702904,UKESM1-0-LL,ssp245,r16i1p1f2
2023,289.15531784824884,287.9440481256246,260.55003084996395,UKESM1-0-LL,ssp245,r16i1p1f2
2024,289.1814911095801,287.969031139016,260.5480952736993,UKESM1-0-LL,ssp245,r16i1p1f2
2025,289.2015094778086,288.01979462009456,261.29418873523235,UKESM1-0-LL,ssp245,r16i1p1f2
2026,289.26072041694306,288.06583516893124,261.0423683761269,UKESM1-0-LL,ssp245,r16i1p1f2
2027,289.36603380011906,288.19812808233326,261.78482903606346,UKESM1-0-LL,ssp245,r16i1p1f2
2028,289.46707584369506,288.29600000922096,261.8110057577436,UKESM1-0-LL,ssp245,r16i1p1f2
2029,289.44038530444783,288.2838749156576,262.1282920770471,UKESM1-0-LL,ssp245,r16i1p1f2
2030,289.3214737388289,288.1674587229113,262.0683111161103,UKESM1-0-LL,ssp245,r16i1p1f2
2031,289.5119434597652,288.35843187072345,262.27066974171976,UKESM1-0-LL,ssp245,r16i1p1f2
2032,289.69222532901495,288.57417597075516,263.28842593248004,UKESM1-0-LL,ssp245,r16i1p1f2
2033,289.64476104632377,288.52711437785166,263.25047155227355,UKESM1-0-LL,ssp245,r16i1p1f2
2034,289.6625285427143,288.56858005350165,263.82789410020996,UKESM1-0-LL,ssp245,r16i1p1f2
2035,289.5821291387582,288.44978508656556,262.8407469438936,UKESM1-0-LL,ssp245,r16i1p1f2
2036,289.7469676596347,288.60828171609705,262.8558156664715,UKESM1-0-LL,ssp245,r16i1p1f2
2037,289.89155226646164,288.7923339165892,263.93246505031954,UKESM1-0-LL,ssp245,r16i1p1f2
2038,289.76261970611273,288.6248235494975,262.8924808777331,UKESM1-0-LL,ssp245,r16i1p1f2
2039,289.720462065562,288.60643359135196,263.4116196716488,UKESM1-0-LL,ssp245,r16i1p1f2
2040,290.0789575097683,288.9646414103463,263.763322572808,UKESM1-0-LL,ssp245,r16i1p1f2
2041,290.18768023836026,289.08217559348157,264.08013618435893,UKESM1-0-LL,ssp245,r16i1p1f2
2042,290.26551643364746,289.1679227031392,264.3447961495745,UKESM1-0-LL,ssp245,r16i1p1f2
2043,290.0920807726459,289.00134883869754,264.3334083431973,UKESM1-0-LL,ssp245,r16i1p1f2
2044,290.1675574548028,289.08116453074496,264.51135487239594,UKESM1-0-LL,ssp245,r16i1p1f2
2045,290.14145782359964,289.07934013043655,265.0585379161649,UKESM1-0-LL,ssp245,r16i1p1f2
2046,290.2301982858532,289.1773477809042,265.3661318456321,UKESM1-0-LL,ssp245,r16i1p1f2
2047,290.26712201400716,289.22865707136253,265.7427843151709,UKESM1-0-LL,ssp245,r16i1p1f2
2048,290.2861686903639,289.24406262587655,265.67584243476716,UKESM1-0-LL,ssp245,r16i1p1f2
2049,290.39862721549287,289.35755707966416,265.8127654008307,UKESM1-0-LL,ssp245,r16i1p1f2
2050,290.26666243364355,289.2065875302859,265.23198495113326,UKESM1-0-LL,ssp245,r16i1p1f2
2051,290.34356228408143,289.3040232158881,265.7938580884122,UKESM1-0-LL,ssp245,r16i1p1f2
2052,290.4481835611928,289.3845824232559,265.3302306939578,UKESM1-0-LL,ssp245,r16i1p1f2
2053,290.57501225253765,289.5220100126358,265.70736244703943,UKESM1-0-LL,ssp245,r16i1p1f2
2054,290.4591020582036,289.40138383467627,265.4800798122241,UKESM1-0-LL,ssp245,r16i1p1f2
2055,290.65828336816287,289.6013316764586,265.6973635005242,UKESM1-0-LL,ssp245,r16i1p1f2
2056,290.79868968606434,289.76460804191396,266.3778677517975,UKESM1-0-LL,ssp245,r16i1p1f2
2057,290.68674043500346,289.6516792919465,266.24278670208724,UKESM1-0-LL,ssp245,r16i1p1f2
2058,290.57315827201444,289.53014953769826,265.94151460953236,UKESM1-0-LL,ssp245,r16i1p1f2
2059,290.6586596927689,289.64472478453547,266.71362209639017,UKESM1-0-LL,ssp245,r16i1p1f2
2060,290.8255306431964,289.81788773860336,267.02908469949483,UKESM1-0-LL,ssp245,r16i1p1f2
2061,290.82525080473414,289.8066034743946,266.7689248765415,UKESM1-0-LL,ssp245,r16i1p1f2
2062,290.78432236379905,289.7945399510921,267.4096689298808,UKESM1-0-LL,ssp245,r16i1p1f2
2063,290.6831790049575,289.66810733413485,266.7112956784269,UKESM1-0-LL,ssp245,r16i1p1f2
2064,290.81548737096375,289.78614765674354,266.50665062384365,UKESM1-0-LL,ssp245,r16i1p1f2
2065,290.8419292359323,289.83552181910477,267.0746605113579,UKESM1-0-LL,ssp245,r16i1p1f2
2066,291.07083428372954,290.0462982871545,266.87544189944225,UKESM1-0-LL,ssp245,r16i1p1f2
2067,290.99890521694175,289.9990500630806,267.38637441665924,UKESM1-0-LL,ssp245,r16i1p1f2
2068,290.9874494218209,289.9716202174837,266.9976762205608,UKESM1-0-LL,ssp245,r16i1p1f2
2069,290.95699992701714,289.9746198062274,267.75715865985444,UKESM1-0-LL,ssp245,r16i1p1f2
2070,290.99130662967326,289.9951776540842,267.46677307466905,UKESM1-0-LL,ssp245,r16i1p1f2
2071,291.05480595624806,290.0694899353994,267.78563061574573,UKESM1-0-LL,ssp245,r16i1p1f2
2072,291.0547072781478,290.0610989592887,267.5897014301798,UKESM1-0-LL,ssp245,r16i1p1f2
2073,291.0533098234611,290.0602738381992,267.6018201779565,UKESM1-0-LL,ssp245,r16i1p1f2
2074,291.0323182514537,290.03827476015954,267.5570353923692,UKESM1-0-LL,ssp245,r16i1p1f2
2075,290.94304190277427,289.9456449793935,267.3885645542522,UKESM1-0-LL,ssp245,r16i1p1f2
2076,291.1014493648139,290.1068000594992,267.61185963121784,UKESM1-0-LL,ssp245,r16i1p1f2
2077,291.0055443588522,290.02369848044503,267.81831973387455,UKESM1-0-LL,ssp245,r16i1p1f2
2078,291.0654077410605,290.08742641752167,267.96944825634876,UKESM1-0-LL,ssp245,r16i1p1f2
2079,291.2760409376708,290.2951644983897,268.11171054005945,UKESM1-0-LL,ssp245,r16i1p1f2
2080,291.31807339210917,290.3408232260262,268.2393808863966,UKESM1-0-LL,ssp245,r16i1p1f2
2081,291.1075751338261,290.1309563618632,268.04379360101615,UKESM1-0-LL,ssp245,r16i1p1f2
2082,291.24277374285464,290.2562605309171,267.9453255956881,UKESM1-0-LL,ssp245,r16i1p1f2
2083,291.2708698300339,290.3021852736522,268.39446234741916,UKESM1-0-LL,ssp245,r16i1p1f2
2084,291.2186293312136,290.2503646075818,268.352136598449,UKESM1-0-LL,ssp245,r16i1p1f2
2085,291.28816406414234,290.32023731399937,268.42965289689545,UKESM1-0-LL,ssp245,r16i1p1f2
2086,291.28840614794154,290.32498534511626,268.5363072139178,UKESM1-0-LL,ssp245,r16i1p1f2
2087,291.2676718149711,290.3207539843329,268.9053062713833,UKESM1-0-LL,ssp245,r16i1p1f2
2088,291.35436277501964,290.4060311466181,268.9586090520546,UKESM1-0-LL,ssp245,r16i1p1f2
2089,291.40050691351996,290.450404552036,268.962935643997,UKESM1-0-LL,ssp245,r16i1p1f2
2090,291.6517309523803,290.7165768132014,269.56717617552084,UKESM1-0-LL,ssp245,r16i1p1f2
2091,291.5609925800995,290.6331126174042,269.6482244021353,UKESM1-0-LL,ssp245,r16i1p1f2
2092,291.5335695643939,290.60849694083265,269.68709937120394,UKESM1-0-LL,ssp245,r16i1p1f2
2093,291.58234371750234,290.6770750352263,270.20356244080955,UKESM1-0-LL,ssp245,r16i1p1f2
2094,291.6322562994609,290.7253983616021,270.21594324003644,UKESM1-0-LL,ssp245,r16i1p1f2
2095,291.6530038671826,290.72286651649813,269.6869253239898,UKESM1-0-LL,ssp245,r16i1p1f2
2096,291.6764171442998,290.7284734811676,269.2898255903111,UKESM1-0-LL,ssp245,r16i1p1f2
2097,291.5695430977898,290.6300504109844,269.38252939068957,UKESM1-0-LL,ssp245,r16i1p1f2
2098,291.63729951022435,290.68727396379796,269.20154230137587,UKESM1-0-LL,ssp245,r16i1p1f2
2099,291.55402256757054,290.6092173470899,269.24154832296017,UKESM1-0-LL,ssp245,r16i1p1f2
2100,291.539828833759,290.61083637024194,269.60078789035674,UKESM1-0-LL,ssp245,r16i1p1f2
